authid,name,orcid
6503848466,Lovatt F.,
6503853641,Rowling C.M.,0000-0002-5791-6613
6503862791,Ijpma F.F.A.,
6503957547,Lingnau V.,
6504003238,Trappmann M.,
6504021970,Stoerk T.,
6504038764,Heruti I.,
6504039959,Slapin J.,0000-0002-6237-2868
6504054126,Bytzek E.,0000-0002-8510-206X
6504062437,Walrave M.,
6504116289,Peay H.,
6504146915,Strömbäck J.,0000-0001-7392-9791
6504243751,Wedeking J.,0000-0002-3438-225X
6504438666,Ghani A.N.,
6504448777,Tavakolian J.D.,
6504459459,Sulitzeanu-Kenan R.,
6504564382,van den Hengel J.,
6504566147,Abouharb M.R.,
6504591571,Spirling A.,
6504607017,Loizides N.,0000-0002-0327-4643
6504610641,Harfst P.,
6504636510,Navathe A.S.,
6504645781,Weijters B.,0000-0002-8590-0088
6504647839,Decuypere A.,
6504673437,Imdorf C.,
6504691121,Vyhlídal J.,0000-0002-6382-1856
6504713225,Barigozzi F.,0000-0002-4071-5161
6504786889,Chellini G.,
6505509730,Talsania J.,
6505539477,Mattinen L.,
6505541028,Jurado-Guerrero T.,
6505580466,Soetens B.,
6505661154,Vermersch-Langlin A.,0009-0005-7980-6967
6505764222,Evans D.G.,
6505767823,Matczak E.,
6505777923,Franchino F.,
6505782863,Adams A.A.Y.,
6505784593,Bernardes S.F.,
6505784617,Torcal M.,0000-0002-0060-1522
6505791820,Zouridis S.,
6505792950,Brader T.,
6505804802,Ponnet K.,0000-0002-6911-7632
6505805003,Wiljer D.,
6505807414,Bulling A.,0000-0001-6317-7303
6505868314,Dolnicar S.,
6505870464,Kadivar H.,
6505870944,Busha M.,
6505910383,Tomz M.,0000-0002-0453-024X
6505912362,St-Amour P.,
6505936775,Østergaard-Nielsen E.,
6505942728,Zamarro G.,0000-0002-3893-7523
6505943995,Cassino D.,
6505964653,Gronke P.,
6505965176,Sheringham J.,
6506003552,Hillmert S.,
6506018677,Kuusisto H.,
6506029556,Knoll N.,
6506032700,Boeckelman K.,
6506033030,Aardal B.,
6506034661,Chantler T.,
6506037678,Moyano-Díaz E.,0000-0003-2433-9271
6506043463,Luna-Rodriguez A.,0000-0001-6709-3342
6506051867,Hassol S.J.,
6506055888,Pit-ten Cate I.M.,
6506070961,Mageau G.A.,
6506090416,Nijstad B.,
6506118797,Nill A.,
