scopus_id,sample_us_label,filename,source_sha256,page,evidence_quote,rationale,us_and_non_us_samples_reported,reviewer,reviewer_type,review_date,human_validated
84975789795,us_explicit,84975789795.pdf,e32007e599f49b7b72fa12c93b88c196ab04b345ee70eb12667c122ee972d2e1,1,with participants from the United States,Two survey-embedded framing experiments explicitly used US participants.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85073310147,us_inferred,85073310147.pdf,e8161944cc95bd50540cc3aacef1613721301eb1477b3d3cdd56af36f5f02312,14,2014 Cooperative Con- gressional Election Study,The immigration experiment is embedded in the CCES and evaluates President Obama and the US Supreme Court; US sample location follows from the named US election study and context.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
105040241040,non_us,105040241040.pdf,77633ddd6e9d8c7372e28e4d54c031550937767aed0d31a71cd73f947de8c62f,5,our sample to approximate the Danish population,The Voxmeter experiment sampled the Danish population; US literature references describe prior work.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85060580173,us_inferred,85060580173.pdf,41b0076e1b369e8701ca846308cc986fa4d023bf2981b3ba8c4b23966fb31d2a,5,2009 Cooperative Congressional Election Study (CCES),"The original vignette experiments are explicitly embedded in the CCES, supporting US sample inference. The explicit US-resident passage on PDF page 11 describes an ancillary survey and is not used as direct location evidence for the experiments.",false,Codex (GPT-6),AI_assisted,2026-09-09,false
85175738454,non_us,85175738454.pdf,bef72ce5df6ac057db38657dad30c590d3b7b9c74288fb8e3af89f5db92358fe,7,panel of Yougov Denmark,The experimental sample came from YouGov Denmark and represents Danish adults.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85057578602,us_explicit,85057578602.pdf,8aac74304338c8f1c0884c23afbf4cd4201ce924f4ff602381017df3fbd49d46,5,online mode on samples of US residents,The paper explicitly limits the evaluated experiments to online studies of US residents.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85056771847,non_us,85056771847.pdf,8baed0c703b6208c117360abc453fb366fd1edfa5f3fd568a56b9fe472bf7a5b,2,a representative sample of the Flemish population,The experiment sampled the Flemish population of Belgium; US references concern other studies.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85050296213,us_explicit,85050296213.pdf,5ed99ada65263665aef0920de2e5370cf3dd583fef358d98883680600cc0bdc6,12,we mailed letters to 5000 District 1 residents,The recruitment paragraph identifies registered voters in District 1 of the city; PDF pages 9–10 explicitly identify that city as San Francisco. Original survey experiments used these residents.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85101015159,us_explicit,85101015159.pdf,956c55b3d94641854de132505143378c1f1f07408d3901e5e43f241fedf0cf53,7,"Our analyses use a sample of 1,409 Californians",The experimental treatment and control groups were drawn from a California SSI sample.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85174000856,us_explicit,85174000856.pdf,8c6efb96c9d3ffa5e21978463ece0ab48876ca6bd2f5a0c264eb83f47529e4c2,6,"we sent emails to 66,645 San Francisco residents",The study recruited registered voters residing in San Francisco into its original experiment.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
84878013138,us_explicit,84878013138.pdf,bd04b4a248ad6d15e845df5356b6597e73b3f4721ee064bfa933c39add039312,4,U.S. and Indian participants,"The sampling section identifies participants from the United States, India, and additional countries.",true,Codex (GPT-6),AI_assisted,2026-09-09,false
84891492083,us_explicit,84891492083.pdf,30b6ab653c7d5a80c55c7eeea9f75f6037a9a3d7190b54f1bbfc5fb1343461d3,6,Our sample resembles California’s population,"The methods identify 1,000 Californian YouGov respondents in the initiative experiment.",false,Codex (GPT-6),AI_assisted,2026-09-09,false
84921455919,us_explicit,84921455919.pdf,13a1cecac32fb133a1f60bf40523d7165ff490243127c43b64200f52634fee83,5,we restricted the location to U.S. accounts,The researchers restricted Mechanical Turk eligibility to US accounts.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85068002083,non_us,85068002083.pdf,22d76ca439cad54b96eee58b3a7997aa8b8fb11f54844b0844c1a73034ecdc33,11,permanent residence in Denmark,Statistics Denmark sampled adults permanently residing in Denmark.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85070986430,non_us,85070986430.pdf,fb762120b0119ceabd961f7c50f6260864e3171cbcdfcd78c8c502af7e3560ca,4,the Danish population,The Voxmeter recruitment paragraph identifies the Danish population as the source of the experimental sample.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85074603977,us_explicit,85074603977.pdf,a1531d814198f2b162b3f3c28aa7b400caa3854a8e4262d71c29f7c4d63ad747,3,a convenience sample of US residents,Study 1 uses US residents and Study 2 a representative US adult sample.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85103905289,us_inferred,85103905289.pdf,e15cdda6f3822853abb7dbf30939b1fa69581620f872d3111367f907efcd7721,4,in late April 2020 in the United States,The study locates its empirical test in the United States; the vignettes reference participants’ state governors and US party groups. Prolific alone is not the basis for inference.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
105042428497,us_explicit,105042428497.pdf,4ab111970891b60fc7e057c612732a3ed2d065f0e9fcd3a680f3a8d154db8465,8,living in the U.S.,The Prolific eligibility screen explicitly requires adult US residents; Study 2 retains these procedures.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
84861746768,non_us,84861746768.pdf,62a743f59ef6de1470c8746191c5828667a41e393d9cbcc5e9675afdd63c5ea7,13,A total of 303 Swiss and German couples,The original factorial survey recruited couples in Switzerland and Germany.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
84901037027,us_explicit,84901037027.pdf,546b18bc27792fbf9d46cb9ed3274ed39c1c2e38312aaeab6223bf98f7f500fa,10,representative of the U.S. population,The survey experiment used an Internet sample representing the US population.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
84931077293,non_us,84931077293.pdf,365e70c9e74a283e1dd72de7564b1d3f81cc61764f4897ff007d540867bf6969,11,representative sample of Danish citizens,Both experiments recruited Danish citizens from an Internet panel.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
84943199945,us_explicit,84943199945.pdf,d0db313fe9b9782776dd39d500649a2e8078130866c445936251447b26079d82,12,a nationally representative survey in the United States,Both energy-technology experiments were embedded in the US survey.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
84977676153,non_us,84977676153.pdf,338399de4bd4fa5a0509c8f7fe6576176824291f86419a0b95642fc943ce86c0,22,both based on a representative sample of Danish citizens,The two experimental surveys use Danish citizens.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
84980398257,us_explicit,84980398257.pdf,2774cfaa5fdcbf91b908d67cfae3b0da6d18a3734f855e9d7a08be2199c81cb3,10,follow-up experiments in the United States and South Korea,The paper reports experiments in both the United States and South Korea.,true,Codex (GPT-6),AI_assisted,2026-09-09,false
84992341283,us_explicit,84992341283.pdf,833f86afa2a334da822235687ad8a68a8262d93136e5a130228f2abb79c47e73,10,2000 participants from the US,"The longitudinal experiment recruited 2,000 US participants.",false,Codex (GPT-6),AI_assisted,2026-09-09,false
85012122035,us_explicit,85012122035.pdf,bbf8eb9ce5e27107844597fb38a2ec06e42a412283b5d5e69dad75e77894f4ea,9,"polling places in Evanston, Illinois and Ann Arbor, Michigan",One of the five experimental samples was recruited at polling places in these two US cities; the design also includes a US TESS sample.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85012893728,non_us,85012893728.pdf,6627e05871435923826555fb3652f0b0a10e7ce7cc9a4ce91d41fe4ad8e7b45f,6,the UK Household Longitudinal Study,The experiment was embedded in the UK-based Understanding Society Innovation Panel.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85034662474,non_us,85034662474.pdf,37d458b13c4c28cf548005dc5516b564546896ab22b9d25dcc185edf79549968,6,representative of the Danish population,The experimental methods explicitly identify the respondent sample as Danish.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85042721612,us_inferred,85042721612.pdf,3ddc22a01722949d31e45679c28c85db1c2553c6f5df773de26fe0b8888f1884,11,Respondents from MTurk do not represent a random sample of the US population,"The authors target the US population, reweight their sample to its demographics, and ask about US aid; this supports contextual inference. Design compatibility remains separate.",false,Codex (GPT-6),AI_assisted,2026-09-09,false
85056907668,non_us,85056907668.pdf,761ecf6b970ca53597d35ccfc007b540ab88b0aa7022baf4ccf2bd05786d40a5,3,"vignette experiment conducted in Flanders, Belgium","The study recruited people involved in hiring in Flanders, Belgium.",false,Codex (GPT-6),AI_assisted,2026-09-09,false
85059905845,non_us,85059905845.pdf,f748465394897e35c8fb073ddae821fc2b4ba1a0bc33b5fc454b7284b65b824f,11,Danish citizens recruited from an Internet panel,The two survey experiments use Danish citizens recruited by Userneeds.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85062262291,non_us,85062262291.pdf,e2413ef5a028323ce202afd06874318f8b5ade01a67146ecf15bc2918ace9fb9,22,survey experiment on Danish public high school teachers,The original experimental participants are Danish public high-school teachers.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85063328286,us_explicit,85063328286.pdf,848fc96c10d3aad2fa8d9e047bc9f9e44017c90601f75c04a8d2cb1c1e63cc5e,3,"Germany, the Philippines, South Africa, and the US",The survey experiment sampled each of these four countries.,true,Codex (GPT-6),AI_assisted,2026-09-09,false
85075374121,non_us,85075374121.pdf,90310a4aa424368b6aea1b1dabd9144dc5dc5e7aa17dfbf91515eba023d59cdb,4,citizens of the German city of Konstanz,The experiment uses the Konstanz citizen panel in Germany.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85079670115,us_explicit,85079670115.pdf,90b78a916dc59b6a06383187f15561110b9e03d6fb3f2f1ceae12b2481d5c85f,2,"three countries: Germany, the UK and the US",The experiments use samples from all three named countries.,true,Codex (GPT-6),AI_assisted,2026-09-09,false
85081613400,non_us,85081613400.pdf,e062b295561a4044a3a2dc65357d4c32f841dd7d9c7be1bc248d234dccbd9685,3,employers in Flanders,The recruitment description locates the employers in the Dutch-speaking region of Belgium.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85083358513,non_us,85083358513.pdf,50d951b6fe68d4d6ec8d7ebdc16b2f283cf98ff42d7110c9909960179b4b5da5,10,representative of the adult Danish population,The experimental sample is explicitly compared with Denmark’s adult population.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85101069099,us_explicit,85101069099.pdf,7197e68e93b2250e296104c257fd7a66af42b79e9014cb51e4c25d4467a0ecfc,11,"American national distribution on age, gender, ethnicity",The authors explicitly describe their own sample as quota matched to the American population.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85101177545,us_inferred,85101177545.pdf,fc8f7f0792525e4afeefde716b368e58f7c75c55bc3bd3220d5d89964852972f,5,demographic profile of the US adult population,The sampling discussion identifies the US adult population as the intended comparison and the treatments concern US party elites; residence eligibility is not stated directly.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85103049149,us_explicit,85103049149.pdf,e41d48620e853b6211e46d6d015e111842381616bab0d956e2f7fe5e6f266e85,7,Americans recruited from MTurk,The accuracy-prompt experiments explicitly recruited Americans.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85112464435,us_explicit,85112464435.pdf,e7f8d78ddb3c89cabbf667a6c687f40b6abf63f766654f21386c9bf4e0aa53d7,3,"Switzerland, and the United States",The experimental samples cover six countries including the United States.,true,Codex (GPT-6),AI_assisted,2026-09-09,false
85117921915,us_explicit,85117921915.pdf,41eb31cfea32ce5c943485f39d165a65bac9669612a38c7a7144b24805684887,8,"quota matched to the U.S. on age, gender, race, and geographic region",The methods identify a US quota sample supplied by Lucid.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85118791111,non_us,85118791111.pdf,9bd10a2cf23692cd8a35cf749ef6ff0937f40be5bbe42fef9b0634083963e99f,6,"online sample of 4,160 Aus- tralians",The preregistered experiment recruited Australian participants through Ipsos Mori.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85118939204,us_inferred,85118939204.pdf,8e4f832aa41cfe9351c834a52aa1942af466d9d32ca7f083ddbbae63044b55c3,6,newspaper from their state,"US state-specific news sources, the 2020 US election, and nationally calibrated Lucid sampling support US participant inference; the article does not directly state a residence screen.",false,Codex (GPT-6),AI_assisted,2026-09-09,false
85126369047,us_explicit,85126369047.pdf,7931e8009ae256cef6d20f9866681db499b58e2dca2aa59d08d7b9b9ad128cb7,8,a national survey in the US,The randomized trade-vignette study explicitly uses a US national survey.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85129722512,us_explicit,85129722512.pdf,b82fe0078d80d4857c2398288c51f7fbb15246e135d41bcb9190d05b6155c0ec,11,underlying US adult population,Experiment 3 uses quotas to approximate the US adult population; the methods directly specify its population target.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85130585909,us_explicit,85130585909.pdf,7dc5d8c9d35dc0925e33eb53d68fc7851dd97abd306949bec8923dd1338cfff7,2,"a survey of 1,341 Americans",The article identifies the actual respondents as Americans and describes random assignment to headline-rating conditions.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85131596715,us_explicit,85131596715.pdf,94092ab4b8a1ea13cb5fb9c6660241b0657045005df96af9401b0963ba0fbd21,29,an expert sample of 158 U.S. military officers,A separate survey experiment validating the wargames explicitly sampled US military officers.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85149816643,us_inferred,85149816643.pdf,9da4b81ed051e7faf9df2f54f5030eacdc576d7973cb269bdfe14d3e90edd62d,3,Justice Brett Kavanaugh’s alleged misconduct,"Three MTurk/Lucid experiments ask about US federal judges, Supreme Court confirmation and Kavanaugh; this supports US context inference, not a verified residence criterion.",false,Codex (GPT-6),AI_assisted,2026-09-09,false
85172898837,us_explicit,85172898837.pdf,0667fb8546a75e445b6e51c87a5208c378d7c67735391a813a7c017a81679b2f,6,an elite sample of Michigan policy- makers,The study reports Michigan mass-public and policymaker experimental samples.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85175473443,non_us,85175473443.pdf,36607c1742fe7e468e7f4e810925549b90c2088ce024233e9b15d2bfa0c1d4d9,3,representative of German citizens,Study I uses German citizens; Study II on PDF page 5 uses a representative Austrian sample.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85180219290,us_explicit,85180219290.pdf,db8c45bca8c9457295990c6274addb11222dba650be0c45c15db66ed69464916,5,featuring US adults,The methods explicitly identify US adults across the five studies.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85202761631,us_explicit,85202761631.pdf,5d563487897868f134694505b1da654b66bcf29dc2458193dc24e1d68c35285b,17,an additional 998 Californians,The experiment in Study 3 recruited an additional California sample; preceding studies also use California residents.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85202899391,non_us,85202899391.pdf,4f2aae00cce2e2fed1e23989536cf9d4b30f76d68520f2faac5c64f61fdb7af4,7,participants were active in the Flemish context,The experiment uses recruiters in the Flemish labor market in Belgium.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85204053529,us_explicit,85204053529.pdf,66de4162bfba111c15a1de7bd53428a84d40c8f70f9c4024e7bc6b0fdae7e67f,3,target population (US adults),YouGov experimental samples are drawn to represent US adults.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
85208237881,us_explicit,85208237881.pdf,3e93f4eeb10ec41e9a4b57d7d96a4a1d8e99af73359d1132fabd6abcdd731202,7,"a U.S. public sample of 1,511 respondents",The first two experiments use a US Lucid sample; the third uses a US Prolific sample.,false,Codex (GPT-6),AI_assisted,2026-09-09,false
