auid,author_name,source_id,journal,issn,n_articles
6505792950,Ted Brader,12100157009,Politics and Policy,15555623,1
6505792950,Ted Brader,13447,Comparative Political Studies,00104140,1
6505792950,Ted Brader,13448,Comparative Politics,00104159,1
6505792950,Ted Brader,14107,European Journal of Psychological Assessment,10155759,1
6505792950,Ted Brader,15555,American Journal of Political Science,00925853,3
6505792950,Ted Brader,20333,Journal of Politics,00223816,1
6505792950,Ted Brader,22832,Political Behavior,01909320,1
6505792950,Ted Brader,22861,Political Psychology,0162895X,4
6505792950,Ted Brader,23574,Public Opinion Quarterly,0033362X,1
6505792950,Ted Brader,25654,Post Soviet Affairs,1060586X,1
6505910383,Michael Tomz,12137,Journal of Statistical Software,15487660,1
6505910383,Michael Tomz,13447,Comparative Political Studies,00104140,1
6505910383,Michael Tomz,15555,American Journal of Political Science,00925853,2
6505910383,Michael Tomz,15557,American Political Science Review,00030554,7
6505910383,Michael Tomz,16232,British Journal of Political Science,00071234,1
6505910383,Michael Tomz,20333,Journal of Politics,00223816,2
6505910383,Michael Tomz,21101186976,Pnas Nexus,27526542,2
6505910383,Michael Tomz,22697,American Economic Review,00028282,1
6505910383,Michael Tomz,23571,Science,00368075,1
6505910383,Michael Tomz,24519,Environmental Politics,09644016,1
6505910383,Michael Tomz,25848,International Studies Quarterly,00208833,1
6505910383,Michael Tomz,39139,International Organization,00208183,3
6506145630,Christina Wolbrecht,15528,Annals of the American Academy of Political and Social Science,00027162,1
6506145630,Christina Wolbrecht,15555,American Journal of Political Science,00925853,3
6506145630,Christina Wolbrecht,18500158100,Forum Germany,21946183,1
6506145630,Christina Wolbrecht,20333,Journal of Politics,00223816,1
6506145630,Christina Wolbrecht,20444,Legislative Studies Quarterly,03629805,1
6506145630,Christina Wolbrecht,21101260416,Journal of Historical Political Economy,26939290,1
6506145630,Christina Wolbrecht,22197,PS Political Science and Politics,10490965,2
6506145630,Christina Wolbrecht,22832,Political Behavior,01909320,2
6506145630,Christina Wolbrecht,22867,Political Research Quarterly,10659129,1
6506145630,Christina Wolbrecht,23574,Public Opinion Quarterly,0033362X,1
6506145630,Christina Wolbrecht,4000148701,Perspectives on Politics,15375927,1
6506194765,Sophie Trawalter,10600153309,Plos One,19326203,1
6506194765,Sophie Trawalter,1100147103,Analyses of Social Issues and Public Policy,15297489,1
6506194765,Sophie Trawalter,12768,British Journal of Developmental Psychology,0261510X,1
6506194765,Sophie Trawalter,12811,Personality and Social Psychology Bulletin,01461672,3
6506194765,Sophie Trawalter,12812,Personality and Social Psychology Review,10888683,1
6506194765,Sophie Trawalter,13468,Psychological Science,09567976,2
6506194765,Sophie Trawalter,13477,Current Directions in Psychological Science,09637214,1
6506194765,Sophie Trawalter,14117,European Journal of Social Psychology,00462772,1
6506194765,Sophie Trawalter,14823,Social Cognition,0278016X,1
6506194765,Sophie Trawalter,14946,Group Processes and Intergroup Relations,13684302,6
6506194765,Sophie Trawalter,15478,Journal of Experimental Psychology General,00963445,1
6506194765,Sophie Trawalter,15499,Journal of Experimental Social Psychology,00221031,9
6506194765,Sophie Trawalter,17436,Nature Neuroscience,10976256,1
6506194765,Sophie Trawalter,18009,Neuropsychologia,00283932,1
6506194765,Sophie Trawalter,19400158571,Race and Social Problems,18671748,1
6506194765,Sophie Trawalter,19900192137,Social and Personality Psychology Compass,17519004,1
6506194765,Sophie Trawalter,19900193555,Social Psychological and Personality Science,19485506,4
6506194765,Sophie Trawalter,21100857520,Collabra Psychology,24747394,1
6506194765,Sophie Trawalter,21121,Proceedings of the National Academy of Sciences of the United States of America,00278424,2
6506194765,Sophie Trawalter,29492,American Psychologist,0003066X,1
6506194765,Sophie Trawalter,30039,Journal of Personality and Social Psychology,00223514,3
6506194765,Sophie Trawalter,30088,Journal of Social Issues,00224537,2
6506194765,Sophie Trawalter,30090,Journal of Social Psychology,00224545,2
6506256326,Cheryl J. Wakslak,12811,Personality and Social Psychology Bulletin,01461672,4
6506256326,Cheryl J. Wakslak,13456,Psychological Inquiry,1047840X,1
6506256326,Cheryl J. Wakslak,13468,Psychological Science,09567976,2
6506256326,Cheryl J. Wakslak,13477,Current Directions in Psychological Science,09637214,1
6506256326,Cheryl J. Wakslak,14823,Social Cognition,0278016X,1
6506256326,Cheryl J. Wakslak,15478,Journal of Experimental Psychology General,00963445,3
6506256326,Cheryl J. Wakslak,15499,Journal of Experimental Social Psychology,00221031,9
6506256326,Cheryl J. Wakslak,17534,Social Justice Research,08857466,1
6506256326,Cheryl J. Wakslak,19684,Criminology,00111384,1
6506256326,Cheryl J. Wakslak,19700188900,Social Psychology,18649335,1
6506256326,Cheryl J. Wakslak,19900191906,Academy of Management Annals,19416520,1
6506256326,Cheryl J. Wakslak,19900192137,Social and Personality Psychology Compass,17519004,2
6506256326,Cheryl J. Wakslak,19900193555,Social Psychological and Personality Science,19485506,4
6506256326,Cheryl J. Wakslak,20191,Academy of Management Journal,00014273,1
6506256326,Cheryl J. Wakslak,20195,Business History,00076791,1
6506256326,Cheryl J. Wakslak,20537,Journal of Behavioral Decision Making,08943257,1
6506256326,Cheryl J. Wakslak,21100200805,Scientific Reports,20452322,1
6506256326,Cheryl J. Wakslak,21100857520,Collabra Psychology,24747394,1
6506256326,Cheryl J. Wakslak,21100943520,Rutgers Business Review,24742376,1
6506256326,Cheryl J. Wakslak,21121,Proceedings of the National Academy of Sciences of the United States of America,00278424,1
6506256326,Cheryl J. Wakslak,22326,Organizational Behavior and Human Decision Processes,07495978,2
6506256326,Cheryl J. Wakslak,22899,Journal of Consumer Research,00935301,2
6506256326,Cheryl J. Wakslak,28179,Journal of Advertising,00913367,1
6506256326,Cheryl J. Wakslak,28181,Journal of Consumer Psychology,10577408,2
6506256326,Cheryl J. Wakslak,30039,Journal of Personality and Social Psychology,00223514,6
6506256326,Cheryl J. Wakslak,5700167235,International Journal of Consumer Studies,14706423,1
6506537141,Eric Groenendyk,15555,American Journal of Political Science,00925853,3
6506537141,Eric Groenendyk,15557,American Political Science Review,00030554,1
6506537141,Eric Groenendyk,17500155105,Emotion Review,17540739,1
6506537141,Eric Groenendyk,17649,Communication Research,00936502,1
6506537141,Eric Groenendyk,20333,Journal of Politics,00223816,2
6506537141,Eric Groenendyk,22832,Political Behavior,01909320,2
6506537141,Eric Groenendyk,22861,Political Psychology,0162895X,2
6506537141,Eric Groenendyk,23574,Public Opinion Quarterly,0033362X,1
6506688421,Michael J. Hiscox,100147301,Cesifo Economic Studies,1610241X,1
6506688421,Michael J. Hiscox,15557,American Political Science Review,00030554,2
6506688421,Michael J. Hiscox,19799,American Journal of Sports Medicine,03635465,1
6506688421,Michael J. Hiscox,21100238638,Global Policy,17585880,1
6506688421,Michael J. Hiscox,21100838541,Nature Human Behaviour,23973374,1
6506688421,Michael J. Hiscox,21101144505,Data and Policy,26323249,1
6506688421,Michael J. Hiscox,22915,Journal of Economic Psychology,01674870,1
6506688421,Michael J. Hiscox,24204,Review of Economics and Statistics,00346535,1
6506688421,Michael J. Hiscox,24393,Journal of International Economics,00221996,1
6506688421,Michael J. Hiscox,26857,International Migration Review,01979183,1
6506688421,Michael J. Hiscox,28489,Economics and Politics,09541985,1
