auid,author_name,journal,source_id,issn,n_articles
6507043128,Aaron McCright,Studies in History and Philosophy of Science,11600154632,00393681,1
6507043128,Aaron McCright,Inquiry United States,14699,00469580,1
6507043128,Aaron McCright,Environmental Politics,24519,09644016,2
6507043128,Aaron McCright,Plos One,10600153309,19326203,3
6507043128,Aaron McCright,Neuroethics,14300154705,18745490,1
6507043128,Aaron McCright,Environmental Communication,19700182745,17524032,1
6507043128,Aaron McCright,Npj Mental Health Research,21101294447,27314251,2
6507043128,Aaron McCright,Journal of ECT,16704,10950680,1
6507043128,Aaron McCright,Journal of Psychiatric Research,16812,00223956,1
6507043128,Aaron McCright,AJOB Empirical Bioethics,21100324708,23294515,1
6507043128,Aaron McCright,Ssm Mental Health,21101134736,26665603,1
6507043128,Aaron McCright,Comprehensive Psychiatry,14921,0010440X,1
6507043128,Aaron McCright,Proceedings of the National Academy of Sciences of the United States of America,21121,00278424,1
6507043128,Aaron McCright,Psychiatry Research,18729,01651781,1
6507043128,Aaron McCright,Psychiatric Quarterly,18690,00332720,2
6507043128,Aaron McCright,Qualitative Health Research,17712,10497323,1
6507043128,Aaron McCright,Health Risk and Society,21339,13698575,1
6507043128,Aaron McCright,Preventive Medicine Reports,21100372295,22113355,1
6507043128,Aaron McCright,Sustainability Switzerland,21100240100,20711050,1
6507043128,Aaron McCright,Risk Analysis,26372,02724332,1
6507043128,Aaron McCright,International Journal of Sociology,21100972446,15579336,1
6507043128,Aaron McCright,Preventive Medicine,17665,00917435,1
6507043128,Aaron McCright,Perspectives on Science,5600155094,10636145,1
6507043128,Aaron McCright,Sage Open,21100255401,21582440,2
6507043128,Aaron McCright,Anthrozoos,24606,08927936,1
6507043128,Aaron McCright,Fisheries,12760,03632415,1
6507043128,Aaron McCright,Environment,20851,00139157,1
6507043128,Aaron McCright,Journal of Environmental Studies and Sciences,21100464902,21906483,1
6507043128,Aaron McCright,Human Ecology Review,55750,10744827,1
6507043128,Aaron McCright,Energy Research and Social Science,21100325067,22146296,1
6507043128,Aaron McCright,Topics in Cognitive Science,19900191735,17568757,1
56566089400,Abigail Fisher Williamson,Ssm Mental Health,21101134736,26665603,2
56566089400,Abigail Fisher Williamson,Journal of Public Health Management and Practice,21905,10784659,1
56566089400,Abigail Fisher Williamson,Health Education and Behavior,20877,10901981,1
36618122200,Abigail Sussman,Pnas Nexus,21101186976,27526542,1
36618122200,Abigail Sussman,Journal of Marketing,22951,00222429,2
36618122200,Abigail Sussman,Journal of Consumer Research,22899,00935301,2
