author_name,institution_tess,department_aggregated,study_count,auid,scopus_name,affil_found,n_docs,confidence,n_candidates
Aaron McCright,Michigan State University,Sociology,1,6507043128,McCright Aaron M.,Michigan State University,92,high,1
Abigail Fisher Williamson,Trinity College,Political Science,1,56566089400,Williamson Abigail Fisher,Trinity College Hartford,8,high,1
Abigail Sussman,University of Chicago,Business,1,36618122200,Sussman Abigail B.,The University of Chicago Booth School of Business,41,high,1
Adam Berinsky,Massachusetts Institute of Technology,Political Science,4,6602810672,Berinsky Adam J.,Massachusetts Institute of Technology,77,high,1
Adam Glynn,Harvard University,Political Science,1,23396720900,Glynn Adam N.,Emory University,29,high,1
Adam J. Howat,Oberlin College,Political Science,1,56919435100,Howat Adam J.,Oberlin College and Conservatory,8,high,1
Adam Levine,Cornell University,Political Science,2,56489591900,Levin Adam Scott,Johns Hopkins University School of Medicine,134,high,3
Adam Ozer,Deliveroo,Unknown,1,57202576828,Ozer Adam L.,Verian,9,medium,1
Aimee Chabot,Duke University,Marketing,1,51565431700,Chabot Aimee,"University of California, San Diego",2,medium,3
Aldo Cimino,"University of California, Santa Barbara",Anthropology,1,36097540600,Cimino Aldo,Kent State University,14,high,1
Alexander Browman,Northwestern University,Psychology,1,56296869000,Browman Alexander S.,College of the Holy Cross,16,high,1
Alexander Coppock,Yale University,Political Science,2,56590030100,Coppock Alexander,Northwestern University,41,high,1
Alexander Kuo,Cornell University,Political Science,3,55752852700,Kuo Alexander G.,"Christ Church, Oxford",25,high,1
Alexander L Janus,University of Oxford,Sociology,1,35279563000,Janus Alexander L.,The University of Edinburgh,8,medium,3
Alexander Sahn,"University of California, Santa Barbara",Political Science,1,57211585764,Sahn Alexander,The University of North Carolina at Chapel Hill,12,medium,1
Alexander Todorov,Princeton University,Psychology,2,20636168200,Todorov Alexander T.,The University of Chicago Booth School of Business,165,high,1
Alexander Wenz,University of Mannheim,Statistics and Methodology,1,57201644039,Wenz Alexander,Universität Mannheim,24,high,1
Alexandre Morin-Chasse,University of Montreal,Political Science,1,56566709800,Morin-Chassé Alexandre,University of Montreal,9,high,1
