scopus_id,sample_us_label,evidence_field,evidence_quote,rationale,us_and_non_us_samples_reported,title_only_us_signal,title_evidence,separate_us_sample_count_stated,separate_sample_count_quote,abstract_sha256,reviewer,reviewer_type,review_date,human_validated
84931077293,unclear,abstract,,No sample country or country-specific context.,false,false,,,,903279b3242ba9ff6baff7c2aca90b2bf89701492e09304cdbbe392890c21d0b,Codex (GPT-6),AI_assisted,2026-09-08,false
84941353207,us_inferred,abstract,American politics,Experiments follow analysis of US partisan polarization; sample location unstated.,false,false,,,,3a6072976b3ec3949ce9a31de578cd04f0d0cc7843b7c0579e967fef77a183ab,Codex (GPT-6),AI_assisted,2026-09-08,false
84944232504,unclear,abstract,,MTurk and university students do not establish country.,false,false,,,,42c579f0a031ded2b4658ad5d029aad0fcf2c56f2e4820315f2b6c8b8b7bc460,Codex (GPT-6),AI_assisted,2026-09-08,false
84945162574,us_explicit,abstract,African-Americans,Abstract reports experimental results for African-American respondents.,false,false,,,,d68fe3544b30d5c7add23dc57b8a8ad7a19aa3af119fa17b5e322051e0d22398,Codex (GPT-6),AI_assisted,2026-09-08,false
84959343624,us_explicit,abstract,national sample of US Catholic priests,"Abstract explicitly identifies Americans, US respondents, or a US study setting.",false,false,,,,8632962834268599800e5922d3b35a3d6f6001e0753ecf6149f56c5b961e8a2a,Codex (GPT-6),AI_assisted,2026-09-08,false
84959905263,us_inferred,abstract,American electorate,National surveys address US electorate and Fox News; sampling location unstated.,false,false,,,,a2d728c1c3858ebc02b9676509acfa2bc4100713ad148b4b614772788f024bde,Codex (GPT-6),AI_assisted,2026-09-08,false
84963994831,unclear,abstract,,HIV programme without sample location.,false,false,,,,a0cfbab4c7858f25b0b90a265f473e38cc186166ce34749435b5390bd7ff9329,Codex (GPT-6),AI_assisted,2026-09-08,false
84967215008,non_us,abstract,nationally representative survey in Brazil,Study population or findings explicitly situated outside the US.,false,false,,,,fc71f009de379ea73a1c3f9a5d50b3eb198dd34d8a76a14aa97fe98661a6c534,Codex (GPT-6),AI_assisted,2026-09-08,false
84975459634,non_us,abstract,survey experiment in China,Study population or findings explicitly situated outside the US.,false,false,,,,6094b329b8c5c6448582788520ec92696c581fa34ce88fc3c18165386190b3e0,Codex (GPT-6),AI_assisted,2026-09-08,false
84975770291,unclear,abstract,,Online panel location unstated.,false,false,,,,60070733b628b6ec604ea36d1fc9ceffb3690d0a11f4f3c5d22e8b4aeed34930,Codex (GPT-6),AI_assisted,2026-09-08,false
84975789795,unclear,abstract,,Global climate topic does not identify sample country.,false,false,,,,dbe4df603dad02853f0a31b7009a4b74fe012075d896fdff352ecedff09d00f7,Codex (GPT-6),AI_assisted,2026-09-08,false
84977676153,unclear,abstract,,No sample country or country-specific context.,false,false,,,,0610cf3f1942cb72f0bbc2310c18787d3fa200799221be28336c0028e3b53fda,Codex (GPT-6),AI_assisted,2026-09-08,false
84978085703,non_us,abstract,respondents in Japan,Study population or findings explicitly situated outside the US.,false,false,,,,3d809ee27ec20abb7f100b3741495de9b7b3ff9a796734beebaabccd031fdf96,Codex (GPT-6),AI_assisted,2026-09-08,false
84978906427,non_us,abstract,among Britons,Study population or findings explicitly situated outside the US.,false,false,,,,b159505dda97095e2bf9764af857df8e7a5894e4fa89cceeb92fa519c9dbb603,Codex (GPT-6),AI_assisted,2026-09-08,false
84980034387,non_us,abstract,Flemish city councillors,Belgian local politicians.,false,false,,,,7e55445f6b00a328592161cd6e9ca69680bfaa1e16eb5c6e7b3107a7617a49ab,Codex (GPT-6),AI_assisted,2026-09-08,false
84983314158,unclear,abstract,,MTurk and university students do not establish country.,false,false,,,,8efbcb1c52f51a95082d9f584c3b23903e6f6e905cf60efeb78382bd05bff807,Codex (GPT-6),AI_assisted,2026-09-08,false
84989282236,non_us,abstract,national samples of the native Dutch,Study population or findings explicitly situated outside the US.,false,false,,,,f81aa7998b2ea095784e01dc94644bf58a18ef53bc98d5e8bdd26ff2a02b718d,Codex (GPT-6),AI_assisted,2026-09-08,false
84992341283,unclear,abstract,,Global climate summit does not identify sample country.,false,false,,,,5c4f81fa999a8a12a5e220b94da137e63d002e24a55964623786900000e587f9,Codex (GPT-6),AI_assisted,2026-09-08,false
84992655159,non_us,abstract,experimental approach within Japan,Study population or findings explicitly situated outside the US.,false,false,,,,0b2be4da9d04c6f1c995ef485ae6c3df51e670920c28619d130052b66098c1e1,Codex (GPT-6),AI_assisted,2026-09-08,false
84995444937,us_explicit,abstract,nationally representative sample of the United States,"Abstract explicitly identifies Americans, US respondents, or a US study setting.",false,false,,,,90b12194050fad584247fc23e783c33c6f83cb77c412a3691588f53880aa611d,Codex (GPT-6),AI_assisted,2026-09-08,false
84995578409,us_explicit,abstract,we examine the extent to which Americans,"Abstract explicitly identifies Americans, US respondents, or a US study setting.",false,false,,,,595855da9e8b8d72325b2a76cfc90d5b4658cf9907bd314b50f178a315ddfff7,Codex (GPT-6),AI_assisted,2026-09-08,false
85003864913,non_us,abstract,nationwide survey experiment in Brazil,Study population or findings explicitly situated outside the US.,false,false,,,,eb2e6aa7e0df31096f4ec5ae0e57245c1726be51b551e2a23b82588ff03651f0,Codex (GPT-6),AI_assisted,2026-09-08,false
85012118612,unclear,abstract,,No country-specific sampling information.,false,false,,,,3c59dcb80949b9243008d9622a6a83512e753d2cd9abb391a2583b44619a9b4a,Codex (GPT-6),AI_assisted,2026-09-08,false
85012297251,non_us,abstract,original survey experiment in Brazil,Study population or findings explicitly situated outside the US.,false,false,,,,5def812014960d68686cbe930df7b88829c2ec0916a64bef9a94f7bc24881c80,Codex (GPT-6),AI_assisted,2026-09-08,false
85014540568,us_inferred,abstract,Republican female candidates,Democratic versus Republican candidates imply US electoral context.,false,false,,,,3c884491996323c397a8ad3c3abaf584283cd0e14bbbc227d93bb2a4bcbf087a,Codex (GPT-6),AI_assisted,2026-09-08,false
85014593137,us_explicit,abstract,we find that most Americans,"Abstract explicitly identifies Americans, US respondents, or a US study setting.",false,false,,,,9316b3549622ce1b47c760b4df4453d1886298aa7ac609e9e288c32d2546df0b,Codex (GPT-6),AI_assisted,2026-09-08,false
85014596724,us_explicit,abstract,sample of US adults,"Abstract explicitly identifies Americans, US respondents, or a US study setting.",false,false,,,,4fbbd5c91ec2f7a120b0f5daf185a05b2c7925c98b5a024d9db9323d5b574cc9,Codex (GPT-6),AI_assisted,2026-09-08,false
85014649599,us_inferred,abstract,Congress's ability,Congressional checks on unilateral presidential power imply US context.,false,false,,,,586d0b11948fe7ab58bc51302864e5c723dcb50cbb34370512f2bfef3bc555ea,Codex (GPT-6),AI_assisted,2026-09-08,false
85014922403,us_inferred,abstract,U.S. energy market,National opinion experiment framed around American public and US fracking.,false,false,,,,231aff7c2bcd2a785181a331fbb2361f6e0ba2415d041145098ae44b21163fb0,Codex (GPT-6),AI_assisted,2026-09-08,false
85016025310,non_us,abstract,fielded a survey experiment in China,Study population or findings explicitly situated outside the US.,false,false,,,,bb5ef2bbcfd0322a4ec8e622ae261377072b95150da59fa88faaea5e1a5f5532,Codex (GPT-6),AI_assisted,2026-09-08,false
85017479115,us_explicit,abstract,sample of 5042 Americans,"Abstract explicitly identifies Americans, US respondents, or a US study setting.",false,false,,,,407954505da9cd901ae638481b290a5cb4c1d391ef37986ce64b3cb7bb3d0798,Codex (GPT-6),AI_assisted,2026-09-08,false
85019021043,us_explicit,abstract,"1,680 US MTurkers",US and Danish data; experiments do not necessarily equal independent samples.,true,false,,,,f8cbab59077398f8e7b715ba26d1fb1556e042665124d24d2679a308ec672fd7,Codex (GPT-6),AI_assisted,2026-09-08,false
85019041831,non_us,abstract,population-based survey experiment in Turkey,Study population or findings explicitly situated outside the US.,false,false,,,,cce1df73a57ec3b1b44958577055c1795a7808015610fc14151c97d8ebefcb67,Codex (GPT-6),AI_assisted,2026-09-08,false
85020188394,unclear,abstract,,Foreign policy topic without identifiable sample country.,false,false,,,,fa5408e8e779b808a3f13b27a90a1c61db7ddf9df38110895e114a8abaddac78,Codex (GPT-6),AI_assisted,2026-09-08,false
85029279527,unclear,abstract,,Sanctions topic without identifiable sample country.,false,false,,,,e947e02a7ae4f4827046561006329200b2dd545c8cf9ffa892ed5e2e1613dd6f,Codex (GPT-6),AI_assisted,2026-09-08,false
85030544249,unclear,abstract,,Nationwide sample without country.,false,false,,,,ba4f7603a989015b5ded7ce27aaa85bd0b59eaf925047bf69dea8d61b92077da,Codex (GPT-6),AI_assisted,2026-09-08,false
85033714347,unclear,abstract,,National survey without country; labour politics not uniquely American.,false,false,,,,2551c67517cf0600a61f18488c83f25325fd918b1c81c1f0fa67a9f7df895d92,Codex (GPT-6),AI_assisted,2026-09-08,false
85033780100,unclear,abstract,,MTurk and university students do not establish country.,false,false,,,,ba7ce0ca1ceec51f601a9e2e96f9366472d40391748ad23a0f3a44ba330b0868,Codex (GPT-6),AI_assisted,2026-09-08,false
85033788510,unclear,abstract,,Crowdsourced samples without country.,false,false,,,,6f59c04e94b9e0ec3fe0b9d0aef4fc3b9847a665530115544e41de8f8bbea518,Codex (GPT-6),AI_assisted,2026-09-08,false
85034662474,unclear,abstract,,Education and tax policy not uniquely American.,false,false,,,,3987c2f6820e5357b10f421ef5c6458fe87b13edc17aa088d60b845d4465a7bf,Codex (GPT-6),AI_assisted,2026-09-08,false
85035364736,non_us,abstract,Brazilian public opinion,Study population or findings explicitly situated outside the US.,false,false,,,,96e5d71b53149ea6417b504a52062bb76b6435fcdbdfd86bb3d60b791ccbf88b,Codex (GPT-6),AI_assisted,2026-09-08,false
85037044153,us_explicit,abstract,"1,829 U.S. residents","Abstract explicitly identifies Americans, US respondents, or a US study setting.",false,false,,,,0ededf13d87382e3d23e39cd0845cf158436797511e874cdb01a15e566d3d4eb,Codex (GPT-6),AI_assisted,2026-09-08,false
85037647979,us_inferred,abstract,Donald Trump and Bernie Sanders,Nationwide voter experiment about US presidential candidates.,false,false,,,,46cd74f3ed62b3a95732858815d21af62e3d0b091a194a22893cefa7df880459,Codex (GPT-6),AI_assisted,2026-09-08,false
85037698515,us_inferred,abstract,National Collegiate Athletic Association (NCAA) Division 1,US college sports staffing context; country not stated.,false,false,,,,6083c81a82f8a8a40036e732e8ff638b156b50f65ac54a5dfe439b2c19d2fdd1,Codex (GPT-6),AI_assisted,2026-09-08,false
85038355714,not_applicable,abstract,The nine articles of the symposium,Overview of others' experiments; no original sample described.,false,false,,,,4d974e0a16fb3c12896875bd39a7372acbffc2a5cc53ebc498afb16bd7381513,Codex (GPT-6),AI_assisted,2026-09-08,false
85038356713,us_explicit,abstract,823 US citizens,"Abstract explicitly identifies Americans, US respondents, or a US study setting.",false,false,,,,2e814ca6a3db1b1b29a306224fc531dc74ded859592496da680f1a942cca8747,Codex (GPT-6),AI_assisted,2026-09-08,false
85039933179,us_explicit,abstract,understand American citizens’ attitudes,"Abstract explicitly identifies Americans, US respondents, or a US study setting.",false,false,,,,69f6336faab17983accb7c0a7c27239a2f7b6433efc148f0f64984201fdf1cce,Codex (GPT-6),AI_assisted,2026-09-08,false
85040085886,us_explicit,abstract,Americans incorporate information,"Abstract explicitly identifies Americans, US respondents, or a US study setting.",false,false,,,,c8f4a25a68e157c21b880b51b77a45023bff0c0c87a188dfada9e425674606b6,Codex (GPT-6),AI_assisted,2026-09-08,false
85040459526,unclear,abstract,,Adult population without country.,false,false,,,,8d9d4bf2b2d0be8c437d9dc04b10a4c671c6b6cb898ed436963ff2887cf0badb,Codex (GPT-6),AI_assisted,2026-09-08,false
85041371053,non_us,abstract,national sample of the native Dutch,Study population or findings explicitly situated outside the US.,false,false,,,,4ca8da9267941417ff31f470b61f624efe66b32d1e3853fcbd7d190baf0e3491,Codex (GPT-6),AI_assisted,2026-09-08,false
85041603336,unclear,abstract,,Tax and education topics not uniquely American.,false,false,,,,b602e05402bbef245a64a0c357d03599d0aa5421d40d1f4543073d38ce41c0fd,Codex (GPT-6),AI_assisted,2026-09-08,false
85041617753,non_us,abstract,fielded in the United Kingdom,Study population or findings explicitly situated outside the US.,false,false,,,,49f8adccbbe9637e4dd6ab10e4a73e07cca36a3b2a40adb1956335f7bd3e089c,Codex (GPT-6),AI_assisted,2026-09-08,false
85041625323,us_inferred,abstract,US presidents,National opinion experiments concern US congressional war powers.,false,false,,,,ba7d0a849d7a88150c60e42c297f19bb25aa207aec441797584fc8d1ae2c691c,Codex (GPT-6),AI_assisted,2026-09-08,false
