filename,source_sha256,text_cache_sha256,n_pages,source_kind,source_url,scopus_id,doi,title,year,journal,identity_status,document_kind,in_fixed_benchmark,newly_available_fixed_benchmark,fulltext_readiness,fulltext_already_supplied,further_pdf_download_needed
1-s2.0-S0049089X14001720-main.pdf,2673db55015955c4aaedb521b17375e82e4606d70b143a25e5b863a3251f2b31,65296eda3f6845094000f8ec3beb726a790b5af029568378b673c963b2c760f5,13,user_supplied_article_or_manuscript,,84907487526,10.1016/j.ssresearch.2014.08.017,Three experimental approaches to measure the social context dependence of prejudice communication and discriminatory behavior,2015,Social Science Research,verified_title_in_opening_pages,article_or_manuscript,false,false,ready_for_fulltext_review,true,false
1-s2.0-S0738399118306244-main.pdf,374499d992ff8240b9d0cf8079dd9297d24917a0e3fffaf1f620106f9e64b445,3032d109e7d5b22cc73b1cb7e12f852b0597100fc554e6bc324d85d9abae7d1d,9,user_supplied_article_or_manuscript,,85053865862,10.1016/j.pec.2018.08.030,Communicating with providers about racial healthcare disparities: The role of providers’ prior beliefs on their receptivity to different narrative frames,2019,Patient Education and Counseling,verified_title_in_opening_pages,article_or_manuscript,false,false,ready_for_fulltext_review,true,false
2014-12076-001.pdf,0e1430ed1afbbad65998119e93e70379b5c14d3c0b57985aa66479f0a807ede0,c8b7dd5cbd0d7c2ef759614b74ce8c73c9dae3821971d416955291cc59a30c98,14,user_supplied_article_or_manuscript,,84903748767,10.1037/a0034844,Helping victims of intimate partner violence: The influence of group norms among lay people and the police,2014,Psychology of Violence,verified_title_in_opening_pages,article_or_manuscript,false,false,ready_for_fulltext_review,true,false
American J Political Sci - 2017 - Kertzer - A Bottom‐Up Theory of Public Opinion about Foreign Policy.pdf,29c06042829430037ac816d7ba8e3c8c39c4fd97a16cd48bc653791f9cddd218,c12786bf3be59069ace7a4fa90da1455f29cdd71148827e16abf24c6099e60ed,16,user_supplied_article_or_manuscript,,85020188394,10.1111/ajps.12314,A Bottom-Up Theory of Public Opinion about Foreign Policy,2017,American Journal of Political Science,verified_title_in_opening_pages,article_or_manuscript,false,false,ready_for_fulltext_review,true,false
American J Political Sci - 2019 - Hill - On the Meaning of Survey Reports of Roll‐Call  Votes.pdf,f9fcfdc13ba5da583c9ca96ac15a311404746fcc8ead283805f008925cc43118,8b7cf15cba87b71f5f0826d289f7f18e6bee80da5adef4d021306583fb066cc8,15,user_supplied_article_or_manuscript,,85064539825,10.1111/ajps.12430,On the Meaning of Survey Reports of Roll-Call “Votes”,2019,American Journal of Political Science,verified_title_in_opening_pages,article_or_manuscript,false,false,ready_for_fulltext_review,true,false
British J of Dev Psycho - 2014 - Sierksma - In‐group bias in children s intention to help can be overpowered by inducing.pdf,b7beff87ff9439aa915905e8f0fc3d412ec037151b4fb3025f95e12f5640819b,a6d9287266aeb7d884a1eb85d899841f46f7e64da7db5d4654856c1b0a737861,12,user_supplied_article_or_manuscript,,84922551432,10.1111/bjdp.12065,In-group bias in children's intention to help can be overpowered by inducing empathy,2015,British Journal of Developmental Psychology,verified_title_in_opening_pages,article_or_manuscript,false,false,ready_for_fulltext_review,true,false
Social Development - 2015 - Verkuyten - First Arrival and Collective Land Ownership  How Children Reason About Who Owns the.pdf,d3e165f4a179569a3d92efcc70428159cc8dbefc5b9223831e9e381b281bfa50,0f7b89ef025224d62e444ba6cefeff081f96aae4f0110eeb79d88b41e489e6f5,15,user_supplied_article_or_manuscript,,84943817918,10.1111/sode.12128,First Arrival and Collective Land Ownership: How Children Reason About Who Owns the Land,2015,Social Development,verified_title_in_opening_pages,article_or_manuscript,false,false,ready_for_fulltext_review,true,false
baldry-et-al-2014-she-s-not-a-person-she-s-just-a-woman-infra-humanization-and-intimate-partner-violence.pdf,7451c90d78f7d4b0b43f6c89894d5bccc9d6e140f7e693a832541f9d1cf11bff,21b020fc44847e08542805f4368e5b807ea850c3661458cd3b2e14aa58a4b827,16,user_supplied_article_or_manuscript,,84925854096,10.1177/0886260514540801,She’s Not a Person.. She’s Just a Woman! Infra-Humanization and Intimate Partner Violence,2015,Journal of Interpersonal Violence,verified_doi_and_title_in_opening_pages,article_or_manuscript,false,false,ready_for_fulltext_review,true,false
causal-inference-in-conjoint-analysis-understanding-multidimensional-choices-via-stated-preference-experiments.pdf,d2e44ae492aa258c090f7c9f7042c35bc51b36b9115f9eb64073c2e8df310f76,7350d3d2c54c6106074e547669cc4d8095f03ecc1d427b1cfa4d030181518c29,30,user_supplied_article_or_manuscript,,84892498539,10.1093/pan/mpt024,Causal inference in conjoint analysis: Understanding multidimensional choices via stated preference experiments,2014,Political Analysis,verified_title_in_opening_pages,article_or_manuscript,false,false,ready_for_fulltext_review,true,false
chong-mullinix-2018-information-and-issue-constraints-on-party-cues.pdf,35a1a3125f7207d06adf466d2b8ecabee9645d7d1570de597443bb5960f17147,16900917215a0f89d02ab1f44ec0349342c2713826b4563be3c8407434e87f4b,30,user_supplied_article_or_manuscript,,85059103503,10.1177/1532673x18803887,Information and Issue Constraints on Party Cues,2019,American Politics Research,verified_doi_and_title_in_opening_pages,article_or_manuscript,false,false,ready_for_fulltext_review,true,false
