scopus_id,sample_us_label,filename,source_sha256,page,rationale,us_and_non_us_samples_reported,reviewer,reviewer_type,review_date,human_validated,source_url,source_kind,text_cache_sha256,doi,title,year,journal,identity_status,fulltext_readiness,n_pages,fulltext_already_supplied,further_pdf_download_needed,remaining_resolution_needed
84892498539,us_explicit,causal-inference-in-conjoint-analysis-understanding-multidimensional-choices-via-stated-preference-experiments.pdf,d2e44ae492aa258c090f7c9f7042c35bc51b36b9115f9eb64073c2e8df310f76,4,"The first empirical example explicitly recruits US citizens to evaluate presidential candidates. A second example studies immigrant admission to the United States. The article remains one credited publication, irrespective of its methodological focus or reuse of experimental data.",false,root,AI_assisted,2026-09-10,false,,user_supplied_article_or_manuscript,7350d3d2c54c6106074e547669cc4d8095f03ecc1d427b1cfa4d030181518c29,10.1093/pan/mpt024,Causal inference in conjoint analysis: Understanding multidimensional choices via stated preference experiments,2014,Political Analysis,verified_title_in_opening_pages,ready_for_fulltext_review,30,true,false,none
84903748767,non_us,2014-12076-001.pdf,0e1430ed1afbbad65998119e93e70379b5c14d3c0b57985aa66479f0a807ede0,5,Study 1 recruits undergraduates from Naples and explicitly states that all were born and always lived in Italy (pages 4–5). Study 2 recruits police officers during training and describes their Italian policing and legal context (pages 7–8). No US experimental sample is reported.,false,root,AI_assisted,2026-09-10,false,,user_supplied_article_or_manuscript,c8b7dd5cbd0d7c2ef759614b74ce8c73c9dae3821971d416955291cc59a30c98,10.1037/a0034844,Helping victims of intimate partner violence: The influence of group norms among lay people and the police,2014,Psychology of Violence,verified_title_in_opening_pages,ready_for_fulltext_review,14,true,false,none
84907487526,non_us,1-s2.0-S0049089X14001720-main.pdf,2673db55015955c4aaedb521b17375e82e4606d70b143a25e5b863a3251f2b31,9,"All three reported experimental samples are in Germany: school students in the question-order experiment (page 5), university students in the vignette experiment (page 7), and university students in the discrete-choice experiment (page 9). US references describe product origins or background literature, not recruited participants.",false,root,AI_assisted,2026-09-10,false,,user_supplied_article_or_manuscript,65296eda3f6845094000f8ec3beb726a790b5af029568378b673c963b2c760f5,10.1016/j.ssresearch.2014.08.017,Three experimental approaches to measure the social context dependence of prejudice communication and discriminatory behavior,2015,Social Science Research,verified_title_in_opening_pages,ready_for_fulltext_review,13,true,false,none
84922551432,non_us,British J of Dev Psycho - 2014 - Sierksma - In‐group bias in children s intention to help can be overpowered by inducing.pdf,b7beff87ff9439aa915905e8f0fc3d412ec037151b4fb3025f95e12f5640819b,4,The participants section locates the 401 children in seven schools in the Netherlands. They completed classroom questionnaires; no US sample is reported.,false,root,AI_assisted,2026-09-10,false,,user_supplied_article_or_manuscript,a6d9287266aeb7d884a1eb85d899841f46f7e64da7db5d4654856c1b0a737861,10.1111/bjdp.12065,In-group bias in children's intention to help can be overpowered by inducing empathy,2015,British Journal of Developmental Psychology,verified_title_in_opening_pages,ready_for_fulltext_review,12,true,false,none
84925854096,non_us,baldry-et-al-2014-she-s-not-a-person-she-s-just-a-woman-infra-humanization-and-intimate-partner-violence.pdf,7451c90d78f7d4b0b43f6c89894d5bccc9d6e140f7e693a832541f9d1cf11bff,6,The methods identify Italian undergraduates recruited at the Second University of Naples. No US experimental sample is reported.,false,root,AI_assisted,2026-09-10,false,,user_supplied_article_or_manuscript,21b020fc44847e08542805f4368e5b807ea850c3661458cd3b2e14aa58a4b827,10.1177/0886260514540801,She’s Not a Person.. She’s Just a Woman! Infra-Humanization and Intimate Partner Violence,2015,Journal of Interpersonal Violence,verified_doi_and_title_in_opening_pages,ready_for_fulltext_review,16,true,false,none
84928790041,us_explicit,nfu026.pdf,eaf933d1fafbef18b0d2be6c8adab00a31e8ea8c89011b39d101f1b4d80d07b5,10,"The methods explicitly identify invited participants as US adults from the GfK panel. Of these, 5,147 met first-wave criteria and were randomized; 3,118 completed both surveys and formed the final analytic sample. This is one article with US-sample evidence.",false,root,AI_assisted,2026-09-10,false,,user_supplied_article_or_manuscript,79344bbbf0b25266036748c455e3b43ada6d8ff3f3960f689aa7aab0e9245e3a,10.1093/poq/nfu026,Inoculation in competitive framing examining message effects on policy preferences,2014,Public Opinion Quarterly,verified_title_in_opening_pages,ready_for_fulltext_review,22,true,false,none
84943817918,non_us,Social Development - 2015 - Verkuyten - First Arrival and Collective Land Ownership  How Children Reason About Who Owns the.pdf,d3e165f4a179569a3d92efcc70428159cc8dbefc5b9223831e9e381b281bfa50,5,The first experiment recruits Dutch primary-school pupils; experiments 2–4 use another primary-school collection explicitly located in the Netherlands. No US sample is reported.,false,strategy_review,AI_assisted,2026-09-10,false,,user_supplied_article_or_manuscript,0f7b89ef025224d62e444ba6cefeff081f96aae4f0110eeb79d88b41e489e6f5,10.1111/sode.12128,First Arrival and Collective Land Ownership: How Children Reason About Who Owns the Land,2015,Social Development,verified_title_in_opening_pages,ready_for_fulltext_review,15,true,false,none
84945247501,us_explicit,s11109-015-9321-9.pdf,624a807fb9c5edb4694a1a7c35d72acaf4cf0aa022d7764134a7cfe973e6fa7e,7,"Both survey experiments explicitly restrict the reported respondent samples to computers with US-based IP addresses (physical pages 7 and 10), establishing US sampling location rather than relying on MTurk or author affiliations.",false,strategy_review,AI_assisted,2026-09-10,false,,user_supplied_article_or_manuscript,547dee9a0b9562b0b66c386b0fab2a04b08c78480c03ef1f96ae24753b52054a,10.1007/s11109-015-9321-9,When is Changing Policy Positions Costly for Politicians? Experimental Evidence,2016,Political Behavior,verified_title_in_opening_pages,ready_for_fulltext_review,30,true,false,none
84975770291,non_us,pedersen-nielsen-2014-improving-survey-response-rates-in-online-panels.pdf,af59186208e8cff74342f7e7217cf8393d3de4d9a31e20eabee54ab6c108a891,5,"The sampling section explicitly identifies adult Danish panelists and compares their regional distribution with Statistics Denmark. The separate design flag concerns the invitation-response outcome, not sample country.",false,strategy_review,AI_assisted,2026-09-10,false,,user_supplied_article_or_manuscript,2bfb7fefbbf4a0feff44b5f0235227c01b79bf46d7f7e15522e628132281fa77,10.1177/0894439314563916,Improving Survey Response Rates in Online Panels: Effects of Low-Cost Incentives and Cost-Free Text Appeal Interventions,2016,Social Science Computer Review,verified_doi_and_title_in_opening_pages,ready_for_fulltext_review,15,true,false,none
85012118612,us_inferred,wcas-wcas-d-16-0012_1.pdf,cc65ea6d15c5858ce6a698424f31dae2bed01991176b32abf12a05bdb184f8a4,2,"US inference rests on the reported recruitment across 44 states, the participant political-knowledge battery about US institutions (page 9), and linkage of participant ZIP codes to the US weather-station network (page 10). A US residence restriction is not explicitly stated; MTurk alone is not used as country evidence.",false,strategy_review,AI_assisted,2026-09-10,false,,user_supplied_article_or_manuscript,4a147457182ee44d6ef0fb702d38cb5fcc91d889580e8842e6f4c814aa87a62f,10.1175/wcas-d-16-0012.1,The conditional nature of the local warming effect,2017,Weather Climate and Society,verified_title_in_opening_pages,ready_for_fulltext_review,12,true,false,none
