position,score_rank,authid,name,n_articles,n_text_cue_articles,n_first,n_last,n_panel_cue_articles,panel_provider_cues,fractional_credit_on_counted_articles,tess_investigator_in_frozen_roster,article_ids,scopus_author_url,status
34,34,17345249500,Abraham M.,9,1,7,2,0,,3.4,false,77955164049|84861746768|84872322437|84960115436|84975048512|85071372063|85131278479|85144761803|85176382083,https://www.scopus.com/authid/detail.uri?authorId=17345249500,provisional_query_candidates
35,34,23982874600,Liebe U.,9,2,5,4,0,,3.116667,false,80051637855|84907487526|85018788745|85049693637|85077691868|85084071067|85092904088|85162979593|105039696438,https://www.scopus.com/authid/detail.uri?authorId=23982874600,provisional_query_candidates
36,34,24474160700,Calfano B.,9,0,6,3,0,,4.083333,false,84887527789|84959343624|84959905263|85037647979|85053221139|85100970268|85122529325|85124994501|85146866960,https://www.scopus.com/authid/detail.uri?authorId=24474160700,provisional_query_candidates
37,34,35183713000,Pérez E.,9,2,7,4,0,,4.809524,true,84890418441|84955616709|85021736860|85066605513|85127783017|85139216162|85148945547|85162677133|105029060592,https://www.scopus.com/authid/detail.uri?authorId=35183713000,provisional_query_candidates
38,34,35492113000,Zeitzoff T.,9,1,1,8,0,,3.533333,false,85020188394|85042184003|85047903545|85049075124|85068387044|85069682610|85078960506|85183616534|105026243740,https://www.scopus.com/authid/detail.uri?authorId=35492113000,provisional_query_candidates
39,34,55603014300,Heinrich T.,9,0,6,3,0,,3.833333,false,85029279527|85042721612|85078201451|85109308295|85109571277|85133919585|85188096695|85193946140|85200455835,https://www.scopus.com/authid/detail.uri?authorId=55603014300,provisional_query_candidates
40,34,55612017400,Peterson E.,9,1,7,3,0,,4.583333,false,85053665784|85064805724|85099984460|85118939204|85125920680|85205529418|85216671878|105001820017|105003759877,https://www.scopus.com/authid/detail.uri?authorId=55612017400,provisional_query_candidates
41,34,55746145800,Baert S.,9,8,1,8,1,Prolific,2.67619,false,84908021986|85056907668|85081613400|85087287708|85165352675|85202899391|85215433861|105010332441|105047190761,https://www.scopus.com/authid/detail.uri?authorId=55746145800,provisional_query_candidates
42,34,56448439600,Aytaç S.E.,9,3,9,3,0,,5.5,false,85019041831|85053017516|85057946678|85101463174|85109276344|85115941650|85168483699|105002982634|105018624506,https://www.scopus.com/authid/detail.uri?authorId=56448439600,provisional_query_candidates
43,34,56556884300,Brutger R.,9,1,8,2,0,,4.533333,false,85046533072|85096694153|85129014294|85129300276|85130898035|85131738044|85198952844|85216353783|85218245112,https://www.scopus.com/authid/detail.uri?authorId=56556884300,provisional_query_candidates
44,34,56611317200,Kane J.V.,9,2,7,7,0,,6.833333,false,85033714347|85051013258|85061188236|85067402720|85076495848|85159594856|85180219290|85185575879|85205118689,https://www.scopus.com/authid/detail.uri?authorId=56611317200,provisional_query_candidates
45,34,57189074265,Mazepus H.,9,4,5,5,0,,4.7,false,85070813530|85121452284|85147434032|85150819039|85214354427|105025108627|105025248279|105027159077|105029985491,https://www.scopus.com/authid/detail.uri?authorId=57189074265,provisional_query_candidates
46,34,57191360465,Zhang J.,9,0,3,6,0,,3.033333,false,85129226690|85158001358|85160835182|85161446266|85176725704|85205257452|85215379642|105001127398|105046162689,https://www.scopus.com/authid/detail.uri?authorId=57191360465,provisional_query_candidates
