authid,full_name,survey_experiment_articles,previous_us_count,current_us_count,us_article_increase,previous_us_rank,current_us_rank
6602110388,Thomas Bernauer,33,14,14,0,2,2
12767146800,Douglas L. Kriner,21,19,19,0,1,1
57203170141,Niels Bjørn Grund Petersen,15,0,0,0,84,84
7102611306,Christine Horne,14,12,12,0,3,3
25224644900,Rasmus Tue Pedersen,14,1,1,0,73,73
35309171200,Martin Bækgaard,14,1,1,0,73,73
7003787305,Gregg G. Van Ryzin,13,6,7,1,28,19
23095594600,David G. Rand,13,10,10,0,4,4
24168107200,Yusaku Horiuchi,13,7,7,0,18,19
36775562800,Blaine G. Robbins,13,5,6,1,38,32
37065230200,Markus Wagner,13,0,0,0,84,84
7006059165,Maykel Verkuyten,12,0,0,0,84,84
12794521600,Toby Bolsen,12,10,10,0,4,4
23010864600,Samuel Whitt,12,2,2,0,64,64
54881904100,Nichole M. Bauer,12,8,9,1,10,9
55091186500,Yoshikuni Ono,12,0,0,0,84,84
56734108300,Mogens Jin Pedersen,12,3,3,0,53,53
57217457882,Gregory A. Huber,12,9,9,0,9,9
6603696960,James N. Druckman,11,10,10,0,4,4
7202316609,Aseem Prakash,11,8,8,0,10,12
14034772300,Jason Reifler,11,7,7,0,18,19
14832646600,Robin E. Gearing,11,5,5,0,38,40
16305967100,Robb Willer,11,10,10,0,4,4
35725744600,Sarah E. Kreps,11,10,10,0,4,4
35745930100,David Doherty,11,6,7,1,28,19
35861891200,Matthew S. Winters,11,1,1,0,73,73
57190806413,Lukas Rudolph,11,1,1,0,73,73
57203528227,Jonathan A. Chu,11,6,7,1,28,19
35759060800,Brendan Nyhan,10,7,8,1,18,12
36159270600,Teppei Yamamoto,10,3,3,0,53,53
37063497400,Kevin J. Mullinix,10,8,8,0,10,12
38061940400,Justin T. Pickett,10,6,7,1,28,19
57205672554,Seiki Tanaka,10,2,2,0,64,64
17345249500,Martin Abraham,9,0,0,0,84,84
23982874600,Ulf Liebe,9,0,0,0,84,84
24474160700,Brian R. Calfano,9,8,9,1,10,9
35183713000,Efrén O. Pérez,9,7,7,0,18,19
35492113000,Thomas Zeitzoff,9,1,1,0,73,73
55603014300,Tobias Heinrich,9,8,8,0,10,12
55612017400,Erik Peterson,9,6,6,0,28,32
55746145800,Stijn Baert,9,1,1,0,73,73
56448439600,Selim Erdem Aytaç,9,2,2,0,64,64
56556884300,Ryan Brutger,9,8,8,0,10,12
56611317200,John V. Kane,9,6,6,0,28,32
57189074265,Honorata Mazepus,9,1,1,0,73,73
57191360465,Jinfeng Zhang,9,0,0,0,84,84
15757402700,Peter John Loewen,8,1,1,0,73,73
17345075500,Katrin Auspurg,8,0,0,0,84,84
24339564700,David A. Steinberg,8,4,4,0,46,46
36676605900,Gabriele Spilker,8,3,3,0,53,53
49861923700,Ariela Schachter,8,8,8,0,10,12
50861069700,Sveinung Arnesen,8,0,0,0,84,84
55672957800,Michal Smetana,8,4,4,0,46,46
55917294300,Atsushi Tago,8,2,2,0,64,64
56534303500,Anthony Kevins,8,4,4,0,46,46
56590030100,Alexander Coppock,8,6,6,0,28,32
56689411500,Mette Kjærgaard Thomsen,8,0,0,0,84,84
57196390820,Robin Devroe,8,0,0,0,84,84
57200795890,Niloufer A. Siddiqui,8,0,0,0,84,84
57203434746,Liam F. Beiser-McGrath,8,5,5,0,38,40
57203655130,Kathleen Searles,8,3,3,0,53,53
57211410814,Hunter M. Boehme,8,4,4,0,46,46
57220041117,Ondřej Rosendorf,8,7,7,0,18,19
57226018577,Christopher Hoy,8,1,1,0,73,73
57226745341,Li Shao,8,0,0,0,84,84
57952558700,Peter T. McLaughlin,8,8,8,0,10,12
6505910383,Michael Tomz,7,5,5,0,38,40
7003772257,Thomas Hinz,7,0,0,0,84,84
7401620196,Daniel M. Butler,7,3,3,0,53,53
22836955000,Jeroen van der Waal,7,1,1,0,73,73
23479932300,Erik Lin-Greenberg,7,5,6,1,38,32
24554597700,Geoffrey P. R. Wallace,7,4,4,0,46,46
25226021600,Jonathon P. Schuldt,7,7,7,0,18,19
25654666600,Cheryl Boudreau,7,7,7,0,18,19
35233806200,Scott A. MacKenzie,7,7,7,0,18,19
35784707400,Susan M. Miller,7,3,3,0,53,53
36713939500,Paul Musgrave,7,7,7,0,18,19
42161868700,Atte Oksanen,7,2,2,0,64,64
55135830500,Gábor Simonovits,7,2,2,0,64,64
55175754800,Leah Christiani,7,6,6,0,28,32
55454468300,Tatishe M. Nteta,7,7,7,0,18,19
55461249300,Craig M. Burnett,7,6,6,0,28,32
55494876700,David R. Miller,7,3,3,0,53,53
55636964600,Long Doan,7,6,6,0,28,32
56063862300,Sebastian Sattler,7,0,0,0,84,84
56196951600,Omer Yair,7,0,0,0,84,84
56329786700,Joshua Robison,7,5,5,0,38,40
56354967100,Donald P. Moynihan,7,3,3,0,53,53
56868425000,Kai Quek,7,2,2,0,64,64
56924059300,Xiaojun Li,7,1,1,0,73,73
57188880644,Lauren Sukin,7,3,3,0,53,53
57188971604,Sarah R. Maxey,7,5,5,0,38,40
57206937457,Azusa Uji,7,2,2,0,64,64
57220203816,Kaylyn Jackson Schiff,7,5,5,0,38,40
57264879500,Senhu Wang,7,0,0,0,84,84
6601956224,John Gastil,6,4,4,0,46,46
6602533817,Jonas Tallberg,6,4,4,0,46,46
6602698051,Giuliano Bonoli,6,3,3,0,53,53
7006126634,André Blais,6,3,3,0,53,53
7102332636,Oliver James,6,2,2,0,64,64
