queue_position,batch,scopus_id,suggested_filename,title,year,journal,doi,article_url,credited_researchers,n_credited_researchers,rationale,question,requested_evidence,openalex_id,oa_status,acquisition_status,source_url,source_sha256,identity_check,checked_at,n_attempted_urls,open_location_found,open_location_url,reason,downloaded_filename,pdf_kind
1,1,84943199945,84943199945.pdf,Counteracting the Politicization of Science,2015,Journal of Communication,10.1111/jcom.12171,https://doi.org/10.1111/jcom.12171,Toby Bolsen; James N. Druckman,2,The country of the nationally representative experiments is not specified.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W1786233173,closed,downloaded_open_copy,https://faculty.wcas.northwestern.edu/jnd260/pub/Bolsen%20Druckman%20JComm%202015.pdf,d0db313fe9b9782776dd39d500649a2e8078130866c445936251447b26079d82,title_match_in_first_three_pages,2026-09-09T12:50:11.440221+00:00,1,true,https://faculty.wcas.northwestern.edu/jnd260/pub/Bolsen%20Druckman%20JComm%202015.pdf,PDF acquired; geography review pending,84943199945.pdf,article_or_manuscript
2,1,105005626231,105005626231.pdf,Gendered Expectations: Do Voters Reward Women for Supporting Women's Interests?,2025,British Journal of Political Science,10.1017/S0007123424001017,https://doi.org/10.1017/S0007123424001017,Nichole M. Bauer; Kathleen Searles,2,Abortion and equal pay alone do not establish US sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4410483661,gold,downloaded_open_copy,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/1ED531AC25B077F1AFE1A88E5B086A4A/S0007123424001017a.pdf/div-class-title-gendered-expectations-do-voters-reward-women-for-supporting-women-s-interests-div.pdf,341c2c42fc37e2605726372aabecf9c0a0391d21bb360dafb6667065c197472c,title_match_in_first_three_pages,2026-09-09T12:45:06.587490+00:00,1,true,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/1ED531AC25B077F1AFE1A88E5B086A4A/S0007123424001017a.pdf/div-class-title-gendered-expectations-do-voters-reward-women-for-supporting-women-s-interests-div.pdf,PDF acquired; geography review pending,105005626231.pdf,article_or_manuscript
3,1,84891492083,84891492083.pdf,Informing the electorate? How party cues and policy information affect public opinion about initiatives,2014,American Journal of Political Science,10.1111/ajps.12054,https://doi.org/10.1111/ajps.12054,Cheryl Boudreau; Scott A. MacKenzie,2,Initiatives and party cues alone do not identify the electoral jurisdiction.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W1573144025,green,manual_download_needed,,,,2026-09-09T12:54:39.102180+00:00,2,true,https://papers.ssrn.com/sol3/Delivery.cfm/SSRN_ID2405263_code834399.pdf?abstractid=1901608&mirid=4,"Open location indexed, but no verified PDF could be downloaded automatically",,
4,1,85202761631,85202761631.pdf,Ballot Box Representation: Spatial Voting and the Effects of Information in Direct Democracy Elections,2025,Political Behavior,10.1007/s11109-024-09964-4,https://doi.org/10.1007/s11109-024-09964-4,Cheryl Boudreau; Scott A. MacKenzie,2,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4402095881,hybrid,downloaded_open_copy,https://d-nb.info/1348525924/34,5d563487897868f134694505b1da654b66bcf29dc2458193dc24e1d68c35285b,title_match_in_first_three_pages,2026-09-09T12:50:11.440861+00:00,3,true,https://link.springer.com/content/pdf/10.1007/s11109-024-09964-4.pdf,PDF acquired; geography review pending,85202761631.pdf,article_or_manuscript
5,1,84878013138,84878013138.pdf,Effects of civil society involvement on popular legitimacy of global environmental governance,2013,Global Environmental Change,10.1016/j.gloenvcha.2013.01.001,https://doi.org/10.1016/j.gloenvcha.2013.01.001,Thomas Bernauer,1,Global climate governance and civil society do not locate the samples.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2063667499,closed,manual_download_needed,,,,2026-09-09T12:54:39.103897+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
6,1,84992341283,84992341283.pdf,Do global climate summits influence public awareness and policy preferences concerning climate change?,2017,Environmental Politics,10.1080/09644016.2016.1244964,https://doi.org/10.1080/09644016.2016.1244964,Thomas Bernauer,1,Global climate summit does not identify sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2542060646,closed,downloaded_open_copy,https://repository.essex.ac.uk/17736/1/Bakaki%20%20Bernauer.pdf,833f86afa2a334da822235687ad8a68a8262d93136e5a130228f2abb79c47e73,title_match_in_first_three_pages,2026-09-09T12:50:11.443725+00:00,2,true,https://repository.essex.ac.uk/17736/,PDF acquired; geography review pending,84992341283.pdf,article_or_manuscript
7,1,85112464435,85112464435.pdf,Environmental impacts and public opinion about international trade: Experimental evidence from six oecd countries,2021,Global Environmental Politics,10.1162/glep_a_00607,https://doi.org/10.1162/glep_a_00607,Thomas Bernauer,1,Six OECD countries not enumerated; US participation cannot be assumed.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3160953256,bronze,downloaded_open_copy,https://openresearch-repository.anu.edu.au/bitstreams/01ebfb1a-9f8b-4965-8e13-f6ec852098f6/download,e7f8d78ddb3c89cabbf667a6c687f40b6abf63f766654f21386c9bf4e0aa53d7,title_match_in_first_three_pages,2026-09-09T12:50:12.371732+00:00,3,true,https://direct.mit.edu/glep/article-pdf/21/3/49/1955433/glep_a_00607.pdf,PDF acquired; geography review pending,85112464435.pdf,article_or_manuscript
8,1,85062262291,85062262291.pdf,Acceptance or disapproval: Performance information in the eyes of public frontline employees,2019,Journal of Public Administration Research and Theory,10.1093/jopart/muy035,https://doi.org/10.1093/jopart/muy035,Niels Bjørn Grund Petersen,1,High school teachers without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W2836512179,bronze,downloaded_open_copy,https://pure.au.dk/ws/files/210852740/Acceptance_or_Disapproval_Accepted_manuscript_2019.pdf,e2413ef5a028323ce202afd06874318f8b5ade01a67146ecf15bc2918ace9fb9,title_match_in_first_three_pages,2026-09-09T12:45:07.653361+00:00,3,true,https://academic.oup.com/jpart/article-pdf/29/1/101/27365262/muy035.pdf,PDF acquired; geography review pending,85062262291.pdf,article_or_manuscript
9,1,85110788543,85110788543.pdf,Defending your public kin: public sector identification and street-level bureaucrats’ perceptions of performance,2022,International Public Management Journal,10.1080/10967494.2021.1948468,https://doi.org/10.1080/10967494.2021.1948468,Niels Bjørn Grund Petersen,1,Public high-school teachers without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W3192520380,closed,manual_download_needed,,,,2026-09-09T12:54:39.105978+00:00,0,false,,No open location found in the checked metadata; manual search or institutional access may succeed,,
10,1,86000435450,86000435450.pdf,Deservingness at the frontline: How health-related responsibility cues affect sanctioning and prioritization of citizens,2025,Public Administration,10.1111/padm.13004,https://doi.org/10.1111/padm.13004,Niels Bjørn Grund Petersen,1,Caseworker sample without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",https://openalex.org/W4399295104,hybrid,downloaded_open_copy,https://www.vive.dk/media/pure/yz21p61v/28302827.pdf,0a6c5e20b304d4253e826174d68738e46f7625641e127be88a7dc103bafc9031,title_match_in_first_three_pages,2026-09-09T12:50:13.862482+00:00,4,true,https://doi.org/10.1111/padm.13004,PDF acquired; geography review pending,86000435450.pdf,article_or_manuscript
