authid,name,orcid
6506008801,Pullig C.,
6506148364,Aloysius J.A.,
6506222997,Tuunainen V.K.,
6507114201,Esper T.L.,
6507346546,Dall’Olmo Riley F.,
6507378602,Manrodt K.,
6507529361,Janyan A.,
6507962757,Kotzab H.,0000-0002-8973-7847
6602101781,Lindsay N.,0000-0001-8912-6141
6602142819,Joireman J.,
6602297452,Odekerken-Schröder G.,
6602472447,van Prooijen J.W.,
6602602634,Bereby-Meyer Y.,
6602784503,Papamichail K.N.,
6602995523,Zacharia Z.,0000-0002-3728-7338
6603030334,de Vreese C.H.,
6603037138,Glomb T.M.,
6603303861,Nakayachi K.,
6603410852,Knotts T.L.,
6603422942,Oppewal H.,
6603491212,Almanza B.,
6603890542,Machuca J.A.D.,0000-0002-3653-2450
7003316543,Jetten J.,0000-0002-7588-5355
7003377888,Silvera D.H.,
7003655146,Paiva E.L.,
7004079505,Taplin R.,
7004682347,Lukas B.A.,
7004966093,Buchbinder R.,0000-0002-0597-0933
7006591634,Potenza M.N.,
7101734235,Nicholson S.,
7101787367,Maher C.G.,0000-0002-1628-7857
7101873996,Shepherd C.D.,
7102271193,Eastman J.,
7102468527,Ring D.,0000-0003-0704-8464
7102707431,Herbert R.D.,0000-0003-4188-9195
7102907649,Frey D.,
7202201666,Agarwal M.K.,
7202222682,Okazaki S.,
7202797906,Walsh G.,
7401787444,Jensen M.L.,
7402310934,Hwang Y.H.,
7402604702,Baker T.L.,
7407005822,Xu J.(.,0000-0002-9875-7620
7801581983,Trendel O.,
8113149300,Yang Z.,
8365511300,Shao W.,
8652335600,Teller C.,
9337429800,Ma G.,
10239828100,Rahwan T.,
11640306300,Tojib D.,
11641129500,Keeling K.A.,
12753427600,Sellers-Rubio R.,
13606837900,Kandampully J.,
14045335500,Jonason P.K.,0000-0002-8833-048X
14054725600,Pietroni D.D.,
14055335700,Van den Abbeele A.,
14057639400,Benkenstein M.,
14058341300,Hwang J.,
15029554000,Poels K.,
15071217200,Pérez-Naranjo L.,
15119897400,Van Den Bekerom M.,
15734686400,Barattucci M.,
15768919900,Fugate B.S.,
16202361300,He Y.,
16204282200,Purani K.,
16401812800,LIN P.M.C.,
16647594800,Thomas R.,0000-0002-2165-5917
17135420000,Kamineni R.,0000-0002-4599-2707
17345221000,Casado-Díaz A.,0000-0002-9960-0078
22235264000,Süß S.,
22951426700,Kulich C.,0000-0002-9483-2128
23034581700,Gunasti K.,0000-0003-3869-3730
23090485700,Antheunis M.L.,0000-0002-7611-742X
23098716300,Williamson M.G.,0000-0002-6884-626X
23390139000,Qiu X.,
23395982600,Campo S.,
23977893800,Gong T.,
23991820300,Volgger M.,0000-0001-7625-462X
24167530800,Strizhakova Y.,
24171374800,Lee Y.,0000-0003-0584-650X
24332207000,Korolkiewicz M.,
24332344800,Mo Z.,
24447919300,James K.E.,
24512119500,Che C.,
24832691000,Hibbing M.,
25422239000,Pagliaro S.,
25923495200,Ozcan T.,0000-0003-0740-8079
25960230700,Montoro P.R.,
26030072600,Shalvi S.,
26036187400,Lecheler S.,
26421493200,Zeng F.,
26656500500,Chollet B.,
29068063500,Özdoğru A.A.,
30667536000,Biemann T.,0000-0003-1728-6765
31367547700,Mezei J.,
31667482400,Daryanto A.,0000-0002-9380-7780
31767581800,Marmolejo-Ramos F.,
32367821100,Min J.,
35068775900,Wang Q.,
35219387600,Voorveld H.A.M.,
35237108000,Hinojosa J.,
35301535500,Craciun G.,
35331164000,Wong I.K.A.,
35339970700,Stewart I.,
35444997000,Weber M.,
35559092700,Kim J.H.,0000-0001-6223-7167
35609089100,Hancer M.,
35812576400,Thomas R.W.,
36018259700,Alfes K.,0000-0002-6567-970X
36091915300,Ralston R.,
36246588100,Roggeman A.,
36443140300,Su L.,
36453462100,Fan L.,
36457250900,MačEk A.,
36494063900,Bakir A.,
36570166600,Duan J.,
36605926600,Chari S.,
36616825200,Donovan J.,0000-0002-8025-1947
36620925400,Beckmann J.,0009-0001-7521-0913
36662464700,LEYER M.,0000-0001-9429-7770
36701424300,Iqbal M.Z.,0000-0002-9936-1222
36724157500,Bobek V.,
36740097900,Prentice C.,0000-0002-7700-3889
36844717000,Siemens G.,
36856748200,Laverty D.,
36918213900,Giebelhausen M.,
36928617300,Trujillo N.,
