researcher,variant,any_author_position,first_last_candidate_articles,status
Jay J. Van Bavel,previous_expanded,0,0,"Development-case retrieval, not confirmed study counts or population recall"
Jay J. Van Bavel,previous_primary,0,0,"Development-case retrieval, not confirmed study counts or population recall"
Jay J. Van Bavel,previous_candidate,4,1,"Development-case retrieval, not confirmed study counts or population recall"
Jay J. Van Bavel,grouped_clause,1,1,"Development-case retrieval, not confirmed study counts or population recall"
Jay J. Van Bavel,targeted,1,1,"Development-case retrieval, not confirmed study counts or population recall"
Jay J. Van Bavel,minimal,1,1,"Development-case retrieval, not confirmed study counts or population recall"
Jay J. Van Bavel,candidate_plus_clause,5,2,"Development-case retrieval, not confirmed study counts or population recall"
Kurt Gray,previous_expanded,0,0,"Development-case retrieval, not confirmed study counts or population recall"
Kurt Gray,previous_primary,0,0,"Development-case retrieval, not confirmed study counts or population recall"
Kurt Gray,previous_candidate,2,1,"Development-case retrieval, not confirmed study counts or population recall"
Kurt Gray,grouped_clause,1,1,"Development-case retrieval, not confirmed study counts or population recall"
Kurt Gray,targeted,1,1,"Development-case retrieval, not confirmed study counts or population recall"
Kurt Gray,minimal,1,1,"Development-case retrieval, not confirmed study counts or population recall"
Kurt Gray,candidate_plus_clause,3,2,"Development-case retrieval, not confirmed study counts or population recall"
