scopus_id,doi,year,journal,title,source_id,identity,all_scopus_ids,user_clause,grouped_clause,previous_expanded,previous_candidate,previous_primary,named_designs,targeted,minimal,expanded_plus_clause,candidate_plus_clause
105014380817,,2025,Tpm Testing Psychometrics Methodology in Applied Psychology,THE ROLE OF CARING LEADERSHIP IN ENHANCING STRATEGIC HORIZON: AN ANALYTICAL STUDY OF THE OPINIONS OF A RANDOM SAMPLE OF EMPLOYEES IN AL-KAFEEL HOSPITAL,21100228948,SCOPUS_ID:105014380817,105014380817,false,false,false,true,false,false,false,false,false,true
105014386945,,2025,Tpm Testing Psychometrics Methodology in Applied Psychology,PROBABILISTIC MODELLING OF NORM COMPLIANCE IN COLLECTIVE BEHAVIOUR,21100228948,SCOPUS_ID:105014386945,105014386945,false,false,false,true,true,true,true,true,false,true
105023851262,,2025,Annual Review of Cybertherapy and Telemedicine,The human behind the hack: exploiting the representativeness heuristic to combat cyber-attacks,19700174668,SCOPUS_ID:105023851262,105023851262,false,false,false,true,false,false,false,false,false,true
105025552547,,2025,International Journal of Communication,Effective Ways of Casting Doubt? Examining the Different Effects of Blatant and Suggestive Disinformation,21100202907,SCOPUS_ID:105025552547,105025552547,false,false,true,true,true,true,true,true,true,true
105025961866,,2025,Collegiate Aviation Review,Investigating Health-Promoting Lifestyle Factors and Demographic Impacts Among Collegiate Flight Students,19700175904,SCOPUS_ID:105025961866,105025961866,false,false,false,true,true,true,true,true,false,true
105037508683,,2026,Harvard Journal on Legislation,GENERATIVE MISINTERPRETATION,14306,SCOPUS_ID:105037508683,105037508683,false,false,false,true,false,false,false,false,false,true
73149118569,,2010,Teachers College Record,Does moving to better neighborhoods lead to better schooling opportunities? parental school choice in an experimental housing voucher program,13995,SCOPUS_ID:73149118569,73149118569,false,false,false,true,false,false,false,false,false,true
77949526435,,2010,International Journal of Tuberculosis and Lung Disease,Graphic tobacco health warnings: Which genre to choose?,18502,SCOPUS_ID:77949526435,77949526435,false,false,false,true,false,false,false,false,false,true
77952314618,,2010,Preventing Chronic Disease,"Impact of a multimedia campaign to increase intention to call 9-1-1 for stroke symptoms, upstate new york, 2006-2007",4000148311,SCOPUS_ID:77952314618,77952314618,false,false,false,true,false,false,false,false,false,true
77955498716,,2010,Journal of Official Statistics,Effects of answer space size on responses to open-ended questions in mail surveys,12134,SCOPUS_ID:77955498716,77955498716,false,false,false,true,true,true,true,true,false,true
78149237501,,2010,Journal of Official Statistics,Contact strategies to improve participation via the web in a mixed-mode mail and web survey,12134,SCOPUS_ID:78149237501,78149237501,false,false,true,true,true,true,true,true,true,true
79952057994,,2010,Pacific Health Dialog,"Evaluation of a ""traditional food for health"" intervention in Pohnpei, Federated States of Micronesia.",22464,SCOPUS_ID:79952057994,79952057994,false,false,false,true,false,false,false,false,false,true
79960301021,,2011,American Journal of Managed Care,Telemonitoring with case management for seniors with heart failure,69138,SCOPUS_ID:79960301021,79960301021,false,false,false,true,false,false,false,false,false,true
79960980741,,2011,Monographs of the Society for Research in Child Development,The development of ambiguous figure perception.,15269,SCOPUS_ID:79960980741,79960980741,false,false,false,true,false,false,false,false,false,true
83655182264,,2011,Georgetown Law Journal,Are all contractual obligations created equal?,13600,SCOPUS_ID:83655182264,83655182264,false,false,true,true,true,true,true,true,true,true
