identity,scopus_id,all_scopus_ids,metadata_scopus_id,doi,title,year,journal,source_id,authids,first_authid,last_authid,byline_complete,n_authors,byline_issue,metadata_source,metadata_retrieved_at,current_raw,original_query,narrower_query,current_published_credited,current_local_phrase_verified
SCOPUS_ID:105014386945,105014386945,105014386945,105014386945,,PROBABILISTIC MODELLING OF NORM COMPLIANCE IN COLLECTIVE BEHAVIOUR,2025,Tpm Testing Psychometrics Methodology in Applied Psychology,21100228948,58861017600|59398532800|59979143800,58861017600,59979143800,true,3,,private/query_rankings_2026_09_10/requests/a78133d74d24d203a487ebd715b14deb5dda0d3117ea0a725e92b20e3ebddb81.json,2026-09-10T14:05:18.721386+00:00,false,true,true,false,
SCOPUS_ID:105025552547,105025552547,105025552547,105025552547,,Effective Ways of Casting Doubt? Examining the Different Effects of Blatant and Suggestive Disinformation,2025,International Journal of Communication,21100202907,60251018100|60147893700|60251018200|59012260400|58043876500,60251018100,58043876500,true,5,,private/cache/search/2584ec4fb613d5c2096cf249d3c67b606837a84389e4edc0dcf2869b5e07cccc.json,2026-09-08T09:41:56.133274+00:00,true,true,true,true,true
SCOPUS_ID:105025961866,105025961866,105025961866,105025961866,,Investigating Health-Promoting Lifestyle Factors and Demographic Impacts Among Collegiate Flight Students,2025,Collegiate Aviation Review,19700175904,59318301900|57204726350,59318301900,57204726350,true,2,,private/query_rankings_2026_09_10/requests/9a5683442e635bf5db020046af8ec676199832afa32f7962db8bdbad892ff7b6.json,2026-09-10T14:05:18.794983+00:00,false,true,true,false,
SCOPUS_ID:77955498716,77955498716,77955498716,77955498716,,Effects of answer space size on responses to open-ended questions in mail surveys,2010,Journal of Official Statistics,12134,7103270008,7103270008,7103270008,true,1,,private/query_rankings_2026_09_10/requests/dd58782896c4b9e26e0451535375cb76d872554c0a2ac2f2c57667f41ff70067.json,2026-09-10T14:04:54.412343+00:00,false,true,true,false,
SCOPUS_ID:78149237501,78149237501,78149237501,78149237501,,Contact strategies to improve participation via the web in a mixed-mode mail and web survey,2010,Journal of Official Statistics,12134,36615226900|36615540800|36615948100,36615226900,36615948100,true,3,,private/cache/query_revision_2026_09_10/eaf4d5b5eddfe32ada414127a71733c71e8d681adf6784150538f146f1feee44.json,2026-09-10T11:02:05.536898+00:00,true,true,true,true,true
SCOPUS_ID:83655182264,83655182264,83655182264,83655182264,,Are all contractual obligations created equal?,2011,Georgetown Law Journal,13600,25947420500|23766385600,25947420500,23766385600,true,2,,private/cache/query_revision_2026_09_10/8d2c371533283be5a95cd9f0634f474722465b58ce542ddce7333066738ea467.json,2026-09-10T11:22:51.266527+00:00,false,true,true,false,
SCOPUS_ID:84863659470,84863659470,84863659470,84863659470,,Childhood sexual behavior as an indicator of sexual abuse: Professionals' criteria and biases,2012,Psicothema,13378,55676611200|24775253900|36728266100,55676611200,36728266100,true,3,,private/cache/search/9768136bc9006e84992ebb970f6beb4c0f9a2e2f63525a3dc4ff819e6ead7fca.json,2026-09-09T07:53:06.622415+00:00,true,true,true,true,true
SCOPUS_ID:84872322437,84872322437,84872322437,84872322437,,Why commuting is no perfect solution: Preferences for different mobility forms in dual career couples,2012,Zeitschrift Fur Familienforschung,19700174730,17345249500|55555810400,17345249500,55555810400,true,2,,private/cache/search/9768136bc9006e84992ebb970f6beb4c0f9a2e2f63525a3dc4ff819e6ead7fca.json,2026-09-09T07:53:06.622415+00:00,true,true,true,true,true
SCOPUS_ID:84874980565,84874980565,84874980565,84874980565,,"Why do (we think) they hate us: Anti-Americanism, patriotic messages, and attributions of blame",2013,International Journal of Communication,21100202907,55623046600|54946647500|6701491860,55623046600,6701491860,true,3,,private/query_rankings_2026_09_10/requests/6e1c850d7ef1c0aa249492395cd066f8177487b0cbfa2e3329421be6b9747f83.json,2026-09-10T14:04:56.016420+00:00,false,true,true,false,
SCOPUS_ID:84875507076,84875507076,84875507076,84875507076,,The application of factorial surveys in general population samples: The effects of respondent age and education on response times and response consistency,2014,Survey Research Methods,21100256106,47062211000|17345075500|7003772257|7004375365,47062211000,7004375365,true,4,,private/cache/search/937978350c39771c335040ded51d6cef66ae4eef58ad00d0083826edd9af7eb4.json,2026-09-09T07:53:09.770463+00:00,true,true,true,true,true
