authid,name,orcid,name_source_scopus_id
6503848466,Lovatt F.,,85064079071
6503853641,Rowling C.M.,0000-0002-5791-6613,85130930099
6503862791,Ijpma F.F.A.,,105012935442
6503957547,Lingnau V.,,85154575564
6503959466,Orthwein J.,,78650087695
6503968082,Alarifi M.,0000-0002-8269-2367,105041448429
6504003238,Trappmann M.,,85168088349
6504021970,Stoerk T.,,84924221338
6504038764,Heruti I.,,80955136594
6504039959,Slapin J.,0000-0002-6237-2868,105038382881
6504054126,Bytzek E.,0000-0002-8510-206X,85144956495
6504062437,Walrave M.,,85027420513
6504116289,Peay H.,,84902186245
6504146915,Strömbäck J.,0000-0001-7392-9791,105039637371
6504180121,Qiuxia W.,,84884198040
6504243751,Wedeking J.,0000-0002-3438-225X,105016166477
6504309371,Bogos B.,,84905969902
6504397587,Gouwens N.W.,,85082815928
6504402383,Brabers A.E.M.,,85088676018
6504434791,Matarazzo O.,,85122081765
6504448777,Tavakolian J.D.,,105012935442
6504459459,Sulitzeanu-Kenan R.,,85205897280
6504511608,Pakalniškienė V.,0000-0002-8042-2910,105031824184
6504566147,Abouharb M.R.,,105035719746
6504589688,Rodríguez-Arias D.,,85205771824
6504591571,Spirling A.,,84857236813
6504607017,Loizides N.,0000-0002-0327-4643,85132859647
6504610641,Harfst P.,,85150968807
6504645781,Weijters B.,0000-0002-8590-0088,85120410059
6504647839,Decuypere A.,,85214704822
6504673437,Imdorf C.,,85087371588
6504713225,Barigozzi F.,0000-0002-4071-5161,105019094345
6504717695,Nahari G.,,85064149443
6504784320,Betancor V.,0000-0001-5663-9055,85113793445
6504799526,Elena Medina-Mora M.,,85084521601
6505477789,Vanpaemel W.,,85064149443
6505489090,Marler S.,,85030317816
6505539477,Mattinen L.,,85124773382
6505541028,Jurado-Guerrero T.,,85089502197
6505763978,Gerster A.,,85077148678
6505764222,Evans D.G.,,105046637828
6505777923,Franchino F.,,85063158201
6505784593,Bernardes S.F.,,85162889653
6505784617,Torcal M.,0000-0002-0060-1522,85198858118
6505791820,Zouridis S.,,85173923907
6505792950,Brader T.,,85079376382
6505802379,Hoerl C.,,85081291207
6505804802,Ponnet K.,0000-0002-6911-7632,105032532691
6505807414,Bulling A.,0000-0001-6317-7303,85193254362
6505807840,van Anders S.M.,,85013670616
6505811940,Brighton H.,,84928920386
6505815274,Werrij M.,,78649608763
6505835155,Prinzie P.,0000-0003-3441-7157,105049008875
6505843046,Matera D.,,84875243382
6505846340,Sellnow T.L.,,84890056315
6505868314,Dolnicar S.,,105038796493
6505869891,Grabner-Kräuter S.,,84929252904
6505870464,Kadivar H.,,84906994329
6505880640,Rockloff M.J.,,85126683962
6505880934,Flykt A.,,85183048904
6505883328,Massett H.,,79953841969
6505902304,Stenstrom D.,,85087411027
6505910383,Tomz M.,0000-0002-0453-024X,105018760904
6505912362,St-Amour P.,,105048604572
6505914903,Marette S.,,77953487320
6505942728,Zamarro G.,0000-0002-3893-7523,85146041280
6505943995,Cassino D.,,77649214051
6505952696,Manzano García G.,0000-0003-4546-0513,85102308344
6505957239,Flavián C.,0000-0001-7118-9013,85115049582
6505959671,Smythe I.,,77954410975
6505964653,Gronke P.,,85084977757
6505965129,Tentori K.,,85050639442
6505965176,Sheringham J.,,85104620647
6505972415,Kummervold P.E.,,84894768898
6506008801,Pullig C.,,85086906996
6506018677,Kuusisto H.,,85199373363
6506029556,Knoll N.,,84983778266
6506032700,Boeckelman K.,,85071849197
6506033030,Aardal B.,,85101368479
6506034661,Chantler T.,,85133865161
6506037678,Moyano-Díaz E.,0000-0003-2433-9271,85136176787
6506070961,Mageau G.A.,,85070736573
6506090416,Nijstad B.,,105003936982
6506133639,Ayede A.I.,,85067129058
6506138853,van Swol L.M.,0000-0002-2484-748X,105030283088
6506153820,Zagalo C.,,85148353191
6506165520,Lewinsohn-Zamir D.,,84970021918
6506166520,Alperstein N.,0000-0003-3906-3474,85136089056
6506186141,Musto M.,,80054794799
6506188357,Beutell N.J.,,85086908064
6506194765,Trawalter S.,,85037698515
6506205495,van Kleef G.A.,,105034183699
6506208475,McAleer P.,,84905920842
6506216106,Eifler S.,,85136695741
6506217442,Lopoo L.,0000-0003-2675-4962,85167336441
6506217789,Bekelman J.E.,,105011879767
6506220577,Mespoulet M.,,84982851871
6506222997,Tuunainen V.K.,,105041455414
6506223338,Piquero N.,,77956070111
6506238671,Gouliquer L.,,105037052423
6506245937,Stocklmayer S.,0000-0002-2363-1345,105040392937
6506256777,Ruthig J.C.,,85094167956
6506262757,Amirkhanyan A.A.,,85145684182
6506265295,Wampler B.,0000-0001-8338-8095,85175422942
6506266920,Sade O.,0000-0002-2651-1007,105004994941
6506268654,Tumuluru R.,,85030317816
6506273541,Bruzzese J.M.,,84872173752
6506276662,Vase L.,0000-0002-0379-2256,85182501125
6506299096,Kreyenfeld M.,,105015194773
6506305282,Ortner C.N.M.,0000-0002-2250-3608,85160045248
6506309293,Ruva C.,0000-0001-8911-786X,85108822591
6506310989,Collins C.,,84928403676
6506312265,Schmeelk-Cone K.,,85062658754
6506313950,Velthuijsen H.,,85178190396
6506366863,Mockabee S.T.,,85069221239
6506373454,Buijzen M.,,105028017881
6506375580,Vringer K.,0000-0003-4575-1775,105033985432
6506381190,García-Albacete G.,,85153601137
6506385442,Vavreck L.,0000-0003-4582-7960,105009530392
6506393509,Dégremont L.,,85049318932
6506394349,Segrist D.J.,,85059301804
6506394702,Smithpeter M.,,79959287525
6506399893,Kwortnik R.J.,,85013469498
6506412868,Bartholomae S.,0000-0001-5779-6239,85059587282
6506424926,Sánchez-Ferrer L.,0000-0002-4727-0804,85205939738
6506426641,Yackee S.W.,,105004666144
6506429297,Cramon D.,,84861569619
6506429707,Legood R.,,105046637828
6506434525,Kulygina M.,,85084521601
6506438236,Bliesener T.,0000-0002-8696-338X,105026494277
6506445759,Schildcrout J.S.,0000-0003-2276-2551,85053701626
6506462990,Knobe J.,,84951189777
6506467966,DeHart-Davis L.,0000-0001-9406-3851,85046755053
6506488889,Stasio M.J.,,105029378857
6506502222,Ditman T.,,77549086343
6506510374,Janeiro V.,,85156219887
6506514689,Togeby L.,,79959301476
6506520658,Geistfeld L.,,84911957828
6506524593,Epstude K.,,105022694840
6506538663,Ferree K.E.,,105032843624
6506544165,Gwebu K.L.,,85120655057
6506544927,Otondo R.F.,,85042398288
6506550455,Terrance C.,,85021979578
6506553717,Shafritz A.B.,,105012935442
6506556076,Blaydes L.,0000-0002-3422-071X,85180204009
6506563137,Chantala K.,,77955460063
6506566027,Wielhouwer J.L.,,105005377017
6506575232,Wyble B.,,85146994265
6506605530,Lopresto C.T.,,77953598313
6506624643,Verhagen T.,,85071495181
6506626599,Hobman E.V.,,85007339908
6506664051,Tozan Y.,,85070899643
6506674965,Polikoff L.,,85134493142
6506680755,Ballart X.,,85188795319
6506685612,Bloemers F.W.,,105012935442
6506686976,Suffredini E.,0000-0001-7605-0539,85136340359
6506688421,Hiscox M.J.,,77952421759
6506693387,DeSilva G.,,105012935442
6506712323,Polverari A.,,84910069085
6506715804,Bliemer M.C.J.,,105022440877
6506718378,Midtbø T.,0000-0001-6904-0260,105042526917
6506723970,Varakin D.,,77952861020
6506764099,Krakower D.S.,,85150648929
6506786136,Helmig B.,,85162976989
6506789846,Djupe P.A.,0000-0001-6944-429X,85199470820
6506793350,Van Aelst P.,0000-0002-2548-0309,85115173163
6506805639,Muratbekova-Touron M.,0000-0003-0366-258X,85110520492
6506806340,Lippert-Rasmussen K.,0000-0003-0950-0215,85180210862
6506813830,Zohlnhöfer R.,,85038391565
6506833394,Doel P.,,85126624477
6506837974,Halberda J.,,85084409884
6506856864,Baxamusa T.,,85150751341
6506857788,Bliuc A.M.,,85071936113
6506859557,Rovira T.,0000-0003-1317-1282,85079037666
6506865108,Van Bavel R.,,84908049616
6506915028,Palacios W.R.,0000-0002-4926-4088,85138407074
6506917465,Soberman D.,,85126256655
6506938260,Armingeon K.,0000-0003-4186-3155,85213043524
6506941820,Nancollas M.P.,,105012935442
6506961885,Mangurian C.,,85134512380
6506999189,Elmendorf C.S.,,85174000856
6506999505,Jirásek I.,,85050541810
6507006777,Vansweevelt T.,,85215629624
6507017287,Babul-Hirji R.,,85123307033
6507030977,Bettinger E.P.,,84865352111
6507031044,Ceccato V.,,85190438856
6507039971,Hönnige C.,0000-0001-7596-4363,85116854412
6507043128,McCright A.M.,0000-0001-6251-5251,105004829427
6507055185,Settles I.H.,0000-0001-5015-7231,85189804981
6507058640,Dechter A.,0000-0002-1681-4733,85126184203
