authid,name,current_raw_n_articles,current_raw_competition_rank,current_raw_display_position,current_raw_top100,current_raw_top100_including_ties,original_query_n_articles,original_query_competition_rank,original_query_display_position,original_query_top100,original_query_top100_including_ties,narrower_query_n_articles,narrower_query_competition_rank,narrower_query_display_position,narrower_query_top100,narrower_query_top100_including_ties,current_published_n_articles,current_published_competition_rank,current_published_display_position,current_published_top100,current_published_top100_including_ties,original_minus_current_raw_count,narrower_minus_original_count,current_raw_minus_published_count
6503853641,Rowling C.M.,1,2242,2242,false,false,1,2703,2703,false,false,1,2652,2652,false,false,1,2190,2190,false,false,0,0,0
6503957547,Lingnau V.,1,2242,2243,false,false,1,2703,2704,false,false,1,2652,2653,false,false,1,2190,2191,false,false,0,0,0
6503959466,Orthwein J.,0,,,false,false,1,2703,2705,false,false,1,2652,2654,false,false,0,,,false,false,1,0,0
6503968082,Alarifi M.,0,,,false,false,1,2703,2706,false,false,1,2652,2655,false,false,0,,,false,false,1,0,0
6504003238,Trappmann M.,1,2242,2244,false,false,2,1170,1170,false,false,2,1164,1164,false,false,1,2190,2192,false,false,1,0,0
6504021970,Stoerk T.,1,2242,2245,false,false,1,2703,2707,false,false,1,2652,2656,false,false,1,2190,2193,false,false,0,0,0
6504039959,Slapin J.,1,2242,2246,false,false,1,2703,2708,false,false,1,2652,2657,false,false,1,2190,2194,false,false,0,0,0
6504062437,Walrave M.,1,2242,2247,false,false,1,2703,2709,false,false,1,2652,2658,false,false,1,2190,2195,false,false,0,0,0
6504243751,Wedeking J.,1,2242,2248,false,false,1,2703,2710,false,false,1,2652,2659,false,false,1,2190,2196,false,false,0,0,0
6504434791,Matarazzo O.,0,,,false,false,1,2703,2711,false,false,1,2652,2660,false,false,0,,,false,false,1,0,0
6504459459,Sulitzeanu-Kenan R.,2,997,997,false,false,2,1170,1171,false,false,2,1164,1165,false,false,2,984,984,false,false,0,0,0
6504511608,Pakalniškienė V.,0,,,false,false,1,2703,2712,false,false,1,2652,2661,false,false,0,,,false,false,1,0,0
6504589688,Rodríguez-Arias D.,0,,,false,false,1,2703,2713,false,false,1,2652,2662,false,false,0,,,false,false,1,0,0
6504591571,Spirling A.,1,2242,2249,false,false,1,2703,2714,false,false,1,2652,2663,false,false,1,2190,2197,false,false,0,0,0
6504607017,Loizides N.,2,997,998,false,false,2,1170,1172,false,false,2,1164,1166,false,false,2,984,985,false,false,0,0,0
6504610641,Harfst P.,1,2242,2250,false,false,1,2703,2715,false,false,1,2652,2664,false,false,1,2190,2198,false,false,0,0,0
6504645781,Weijters B.,3,520,520,false,false,3,604,604,false,false,3,599,599,false,false,3,513,513,false,false,0,0,0
6504647839,Decuypere A.,1,2242,2251,false,false,1,2703,2716,false,false,1,2652,2665,false,false,1,2190,2199,false,false,0,0,0
6504713225,Barigozzi F.,1,2242,2252,false,false,1,2703,2717,false,false,1,2652,2666,false,false,1,2190,2200,false,false,0,0,0
6505777923,Franchino F.,2,997,999,false,false,2,1170,1173,false,false,2,1164,1167,false,false,2,984,986,false,false,0,0,0
6505784617,Torcal M.,2,997,1000,false,false,2,1170,1174,false,false,2,1164,1168,false,false,2,984,987,false,false,0,0,0
6505791820,Zouridis S.,1,2242,2253,false,false,1,2703,2718,false,false,1,2652,2667,false,false,1,2190,2201,false,false,0,0,0
6505792950,Brader T.,2,997,1001,false,false,2,1170,1175,false,false,2,1164,1169,false,false,2,984,988,false,false,0,0,0
6505804802,Ponnet K.,1,2242,2254,false,false,1,2703,2719,false,false,1,2652,2668,false,false,1,2190,2202,false,false,0,0,0
6505807414,Bulling A.,1,2242,2255,false,false,1,2703,2720,false,false,1,2652,2669,false,false,1,2190,2203,false,false,0,0,0
6505807840,van Anders S.M.,0,,,false,false,1,2703,2721,false,false,1,2652,2670,false,false,0,,,false,false,1,0,0
6505846340,Sellnow T.L.,0,,,false,false,1,2703,2722,false,false,1,2652,2671,false,false,0,,,false,false,1,0,0
6505868314,Dolnicar S.,5,168,168,false,false,6,115,115,false,false,6,115,115,false,false,5,166,166,false,false,1,0,0
6505869891,Grabner-Kräuter S.,0,,,false,false,1,2703,2723,false,false,1,2652,2672,false,false,0,,,false,false,1,0,0
6505870464,Kadivar H.,2,997,1002,false,false,2,1170,1176,false,false,2,1164,1170,false,false,0,,,false,false,0,0,2
6505880640,Rockloff M.J.,0,,,false,false,1,2703,2724,false,false,0,,,false,false,0,,,false,false,1,-1,0
6505902304,Stenstrom D.,0,,,false,false,2,1170,1177,false,false,2,1164,1171,false,false,0,,,false,false,2,0,0
6505910383,Michael Tomz,7,70,70,true,true,7,83,83,true,true,7,83,83,true,true,7,67,67,true,true,0,0,0
6505912362,St-Amour P.,1,2242,2256,false,false,1,2703,2725,false,false,1,2652,2673,false,false,1,2190,2204,false,false,0,0,0
6505914903,Marette S.,0,,,false,false,1,2703,2726,false,false,1,2652,2674,false,false,0,,,false,false,1,0,0
6505942728,Zamarro G.,1,2242,2257,false,false,0,,,false,false,0,,,false,false,1,2190,2205,false,false,-1,0,0
6505943995,Cassino D.,1,2242,2258,false,false,1,2703,2727,false,false,1,2652,2675,false,false,1,2190,2206,false,false,0,0,0
6505952696,Manzano García G.,0,,,false,false,1,2703,2728,false,false,1,2652,2676,false,false,0,,,false,false,1,0,0
6505957239,Flavián C.,0,,,false,false,1,2703,2729,false,false,1,2652,2677,false,false,0,,,false,false,1,0,0
6505965176,Sheringham J.,1,2242,2259,false,false,1,2703,2730,false,false,1,2652,2678,false,false,1,2190,2207,false,false,0,0,0
6506008801,Pullig C.,0,,,false,false,1,2703,2731,false,false,1,2652,2679,false,false,0,,,false,false,1,0,0
6506018677,Kuusisto H.,1,2242,2260,false,false,1,2703,2732,false,false,1,2652,2680,false,false,1,2190,2208,false,false,0,0,0
6506033030,Aardal B.,1,2242,2261,false,false,1,2703,2733,false,false,1,2652,2681,false,false,1,2190,2209,false,false,0,0,0
6506037678,Moyano-Díaz E.,1,2242,2262,false,false,1,2703,2734,false,false,1,2652,2682,false,false,1,2190,2210,false,false,0,0,0
6506070961,Mageau G.A.,1,2242,2263,false,false,1,2703,2735,false,false,1,2652,2683,false,false,1,2190,2211,false,false,0,0,0
6506090416,Nijstad B.,1,2242,2264,false,false,1,2703,2736,false,false,1,2652,2684,false,false,1,2190,2212,false,false,0,0,0
6506138853,van Swol L.M.,0,,,false,false,1,2703,2737,false,false,1,2652,2685,false,false,0,,,false,false,1,0,0
6506216106,Eifler S.,2,997,1003,false,false,2,1170,1178,false,false,2,1164,1172,false,false,2,984,989,false,false,0,0,0
6506217442,Lopoo L.,1,2242,2265,false,false,1,2703,2738,false,false,1,2652,2686,false,false,1,2190,2213,false,false,0,0,0
6506223338,Piquero N.,1,2242,2266,false,false,1,2703,2739,false,false,1,2652,2687,false,false,1,2190,2214,false,false,0,0,0
6506245937,Stocklmayer S.,1,2242,2267,false,false,1,2703,2740,false,false,1,2652,2688,false,false,1,2190,2215,false,false,0,0,0
6506256777,Ruthig J.C.,0,,,false,false,1,2703,2741,false,false,1,2652,2689,false,false,0,,,false,false,1,0,0
6506262757,Amirkhanyan A.A.,2,997,1004,false,false,2,1170,1179,false,false,2,1164,1173,false,false,2,984,990,false,false,0,0,0
6506265295,Wampler B.,1,2242,2268,false,false,1,2703,2742,false,false,1,2652,2690,false,false,1,2190,2216,false,false,0,0,0
6506266920,Sade O.,0,,,false,false,1,2703,2743,false,false,1,2652,2691,false,false,0,,,false,false,1,0,0
6506273541,Bruzzese J.M.,0,,,false,false,1,2703,2744,false,false,1,2652,2692,false,false,0,,,false,false,1,0,0
6506305282,Ortner C.N.M.,0,,,false,false,1,2703,2745,false,false,1,2652,2693,false,false,0,,,false,false,1,0,0
6506309293,Ruva C.,0,,,false,false,1,2703,2746,false,false,1,2652,2694,false,false,0,,,false,false,1,0,0
6506310989,Collins C.,1,2242,2269,false,false,1,2703,2747,false,false,1,2652,2695,false,false,1,2190,2217,false,false,0,0,0
6506373454,Buijzen M.,0,,,false,false,2,1170,1180,false,false,2,1164,1174,false,false,0,,,false,false,2,0,0
6506375580,Vringer K.,1,2242,2270,false,false,1,2703,2748,false,false,1,2652,2696,false,false,1,2190,2218,false,false,0,0,0
6506385442,Vavreck L.,1,2242,2271,false,false,1,2703,2749,false,false,1,2652,2697,false,false,1,2190,2219,false,false,0,0,0
6506393509,Dégremont L.,0,,,false,false,1,2703,2750,false,false,1,2652,2698,false,false,0,,,false,false,1,0,0
6506394349,Segrist D.J.,0,,,false,false,1,2703,2751,false,false,1,2652,2699,false,false,0,,,false,false,1,0,0
6506412868,Bartholomae S.,0,,,false,false,1,2703,2752,false,false,1,2652,2700,false,false,0,,,false,false,1,0,0
6506424926,Sánchez-Ferrer L.,1,2242,2272,false,false,1,2703,2753,false,false,1,2652,2701,false,false,1,2190,2220,false,false,0,0,0
6506426641,Yackee S.W.,2,997,1005,false,false,3,604,605,false,false,3,599,600,false,false,2,984,991,false,false,1,0,0
6506462990,Knobe J.,0,,,false,false,1,2703,2754,false,false,0,,,false,false,0,,,false,false,1,-1,0
6506502222,Ditman T.,0,,,false,false,1,2703,2755,false,false,1,2652,2702,false,false,0,,,false,false,1,0,0
6506514689,Togeby L.,1,2242,2273,false,false,1,2703,2756,false,false,1,2652,2703,false,false,1,2190,2221,false,false,0,0,0
6506520658,Geistfeld L.,0,,,false,false,1,2703,2757,false,false,1,2652,2704,false,false,0,,,false,false,1,0,0
6506538663,Ferree K.E.,5,168,169,false,false,5,195,195,false,false,5,195,195,false,false,5,166,167,false,false,0,0,0
6506544165,Gwebu K.L.,0,,,false,false,1,2703,2758,false,false,1,2652,2705,false,false,0,,,false,false,1,0,0
6506544927,Otondo R.F.,1,2242,2274,false,false,1,2703,2759,false,false,1,2652,2706,false,false,1,2190,2222,false,false,0,0,0
6506556076,Blaydes L.,1,2242,2275,false,false,1,2703,2760,false,false,1,2652,2707,false,false,1,2190,2223,false,false,0,0,0
6506566027,Wielhouwer J.L.,1,2242,2276,false,false,1,2703,2761,false,false,1,2652,2708,false,false,1,2190,2224,false,false,0,0,0
6506575232,Wyble B.,0,,,false,false,1,2703,2762,false,false,0,,,false,false,0,,,false,false,1,-1,0
6506680755,Ballart X.,2,997,1006,false,false,2,1170,1181,false,false,2,1164,1175,false,false,2,984,992,false,false,0,0,0
6506686976,Suffredini E.,0,,,false,false,1,2703,2763,false,false,1,2652,2709,false,false,0,,,false,false,1,0,0
6506688421,Hiscox M.J.,1,2242,2277,false,false,1,2703,2764,false,false,1,2652,2710,false,false,1,2190,2225,false,false,0,0,0
