authid,name,current_all_count,current_all_rank,current_all_position,current_us_count,current_us_rank,current_us_position,current_pool_count,current_pool_rank,current_pool_position,current_unclear,current_unreviewed,current_us_upper,full_all_count,full_all_rank,full_all_position,full_us_count,full_us_rank,full_us_position,full_pool_count,full_pool_rank,full_pool_position,full_unclear,full_unreviewed,full_us_upper,narrow_all_count,narrow_all_rank,narrow_all_position,narrow_us_count,narrow_us_rank,narrow_us_position,narrow_pool_count,narrow_pool_rank,narrow_pool_position,narrow_unclear,narrow_unreviewed,narrow_us_upper
6503853641,Rowling C.M.,1,2190,2190,,,,,,,,,,1,2703,2703,0,510,2890,,,,0,1,1,1,2652,2652,0,506,2835,,,,0,1,1
6503957547,Lingnau V.,1,2190,2191,,,,,,,,,,1,2703,2704,0,510,2891,,,,0,1,1,1,2652,2653,0,506,2836,,,,0,1,1
6503959466,Orthwein J.,0,,,,,,,,,,,,1,2703,2705,0,510,2892,,,,0,1,1,1,2652,2654,0,506,2837,,,,0,1,1
6503968082,Alarifi M.,0,,,,,,,,,,,,1,2703,2706,0,510,2893,,,,0,1,1,1,2652,2655,0,506,2838,,,,0,1,1
6504003238,Trappmann M.,1,2190,2192,,,,,,,,,,2,1170,1170,0,510,1448,,,,0,1,1,2,1164,1164,0,506,1438,,,,0,1,1
6504021970,Stoerk T.,1,2190,2193,,,,,,,,,,1,2703,2707,0,510,2894,,,,0,1,1,1,2652,2656,0,506,2839,,,,0,1,1
6504039959,Slapin J.,1,2190,2194,,,,,,,,,,1,2703,2708,0,510,2895,,,,0,1,1,1,2652,2657,0,506,2840,,,,0,1,1
6504062437,Walrave M.,1,2190,2195,,,,,,,,,,1,2703,2709,0,510,2896,,,,0,1,1,1,2652,2658,0,506,2841,,,,0,1,1
6504243751,Wedeking J.,1,2190,2196,,,,,,,,,,1,2703,2710,1,151,323,,,,0,0,1,1,2652,2659,1,151,323,,,,0,0,1
6504434791,Matarazzo O.,0,,,,,,,,,,,,1,2703,2711,0,510,2897,,,,0,1,1,1,2652,2660,0,506,2842,,,,0,1,1
6504459459,Sulitzeanu-Kenan R.,2,984,984,,,,,,,,,,2,1170,1171,0,510,1449,,,,0,2,2,2,1164,1165,0,506,1439,,,,0,2,2
6504511608,Pakalniškienė V.,0,,,,,,,,,,,,1,2703,2712,0,510,2898,,,,0,1,1,1,2652,2661,0,506,2843,,,,0,1,1
6504589688,Rodríguez-Arias D.,0,,,,,,,,,,,,1,2703,2713,0,510,2899,,,,0,1,1,1,2652,2662,0,506,2844,,,,0,1,1
6504591571,Spirling A.,1,2190,2197,,,,,,,,,,1,2703,2714,0,510,2900,,,,0,0,0,1,2652,2663,0,506,2845,,,,0,0,0
6504607017,Loizides N.,2,984,985,,,,,,,,,,2,1170,1172,0,510,1450,,,,0,2,2,2,1164,1166,0,506,1440,,,,0,2,2
6504610641,Harfst P.,1,2190,2198,,,,,,,,,,1,2703,2715,0,510,2901,,,,0,1,1,1,2652,2664,0,506,2846,,,,0,1,1
6504645781,Weijters B.,3,513,513,,,,,,,,,,3,604,604,0,510,941,,,,0,3,3,3,599,599,0,506,932,,,,0,3,3
