variant,display_position,competition_rank,authid,name,n_articles,n_first,n_last,article_ids,status
current_published,96,96,6601956224,John Gastil,6,3,3,85044835879|85052006071|85065670412|85112265805|85165893967|105024003881,actual_frozen_dashboard_ranking
current_published,97,96,6602533817,Jonas Tallberg,6,0,6,85063328286|85079670115|85143234663|85213405493|105012399638|105022218358,actual_frozen_dashboard_ranking
current_published,98,96,6602698051,Giuliano Bonoli,6,2,4,85096834370|85111715301|85113190278|85124909847|85199078378|85212286208,actual_frozen_dashboard_ranking
current_published,99,96,7006126634,André Blais,6,4,2,85078899431|85088578914|85108140441|85120876506|85160106921|85201964089,actual_frozen_dashboard_ranking
current_published,100,96,7102332636,Oliver James,6,4,2,85014596724|85038355714|85088856469|85089985354|85095755893|85101865548,actual_frozen_dashboard_ranking
current_published,101,96,7801629573,Gollust S.E.,6,2,4,84855649978|84922827993|85032820440|85053865862|85135189737|85135896966,actual_frozen_dashboard_ranking
current_published,102,96,8159413200,Tucker J.A.,6,0,6,84881256137|85079376382|85098065841|85134755415|85176605621|105014443993,actual_frozen_dashboard_ranking
current_published,103,96,8223892400,Kam C.D.,6,4,3,77951243471|84965060503|84983269069|85074396257|85075487342|85076668775,actual_frozen_dashboard_ranking
current_published,104,96,8532420500,Wauters B.,6,1,5,85045047689|85056771847|85074752487|85087715181|85195873095|85210157920,actual_frozen_dashboard_ranking
current_published,105,96,8547908900,Geys B.,6,1,5,85042566118|85102431958|85125415908|85164153637|85181832228|105005871889,actual_frozen_dashboard_ranking
current_published,106,96,12779778800,Hopkins D.J.,6,6,1,77952988385|84987948210|85019962970|85053875657|85086564155|85200315574,actual_frozen_dashboard_ranking
current_published,107,96,14035294700,Dafoe A.,6,4,2,85054537592|85076132830|85091726021|85095409059|85102415653|85128232507,actual_frozen_dashboard_ranking
current_published,108,96,16029149900,Niederdeppe J.,6,2,4,84891364778|84895906473|84955165916|85032820440|85073105603|85184585795,actual_frozen_dashboard_ranking
current_published,109,96,16066752900,Aharoni E.,6,6,0,85057293626|85089124721|85120438138|85132734289|85159865660|85205233423,actual_frozen_dashboard_ranking
current_published,110,96,16308652800,Christenson D.P.,6,6,0,84995578409|85014649599|85014922403|85073310147|85091800462|85096943476,actual_frozen_dashboard_ranking
current_published,111,96,16744169900,Johns R.,6,3,3,84867729433|84910055748|85042088759|85097599267|85193702342|105000064992,actual_frozen_dashboard_ranking
current_published,112,96,23986892700,Woessmann L.,6,0,6,85054296507|85087123386|85091761345|85092077537|85140091650|85169833302,actual_frozen_dashboard_ranking
current_published,113,96,25958739200,Socia K.M.,6,4,3,85047170366|85075248126|85120698313|85129583494|85138407074|105039666012,actual_frozen_dashboard_ranking
current_published,114,96,35173613400,Robertson C.,6,5,1,85083499796|85116325673|85141941005|85168628918|85173862640|105024187231,actual_frozen_dashboard_ranking
current_published,115,96,35233854900,Kaneko S.,6,0,6,85098731592|85100440176|85111671884|85116940241|85123170519|85161902670,actual_frozen_dashboard_ranking
current_published,116,96,35727190200,Nagler R.H.,6,4,2,85063166355|85122303516|85135189737|85171600308|85216006550|86000382291,actual_frozen_dashboard_ranking
current_published,117,96,36196237600,Balcells L.,6,5,1,84890164457|84938819185|85121049446|105003059726|105012502605|105039068556,actual_frozen_dashboard_ranking
current_published,118,96,36469243000,Stout C.T.,6,3,3,85053307757|85053519179|85113933079|85120311367|85143980366|85158850487,actual_frozen_dashboard_ranking
current_published,119,96,36473880700,Pardos-Prado S.,6,1,5,85071244588|85092319398|85113821753|85129147790|105015663876|105041479806,actual_frozen_dashboard_ranking
current_published,120,96,36992463600,Tilcsik A.,6,1,6,85002271166|85062990725|85097428724|85149278306|85173221804|105028036068,actual_frozen_dashboard_ranking
current_published,121,96,47062211000,Sauer C.,6,2,5,84875507076|84881086329|84894064305|84898884449|85011629108|85092469299,actual_frozen_dashboard_ranking
current_published,122,96,53983153400,Powers R.M.,6,3,4,85088843042|85122069202|85197394346|85200031287|85218098424|105032860235,actual_frozen_dashboard_ranking
current_published,123,96,54385071100,Grimmelikhuijsen S.G.,6,4,2,85054185907|85078863162|85087950052|85180178091|85183088890|85217151653,actual_frozen_dashboard_ranking
current_published,124,96,54402038900,Willems J.,6,2,4,85115302760|85125332474|85129214191|85210732773|105022491747|105032162844,actual_frozen_dashboard_ranking
current_published,125,96,54785521400,Utych S.M.,6,2,4,85092503959|85111802478|85113217939|85128342626|85128710149|85166397064,actual_frozen_dashboard_ranking
current_published,126,96,54939771600,Ayoub P.M.,6,6,0,85099962519|85216486046|105000519465|105002134171|105023045092|105041965396,actual_frozen_dashboard_ranking
current_published,127,96,55364149100,Newman B.J.,6,5,2,84995356828|85033714347|85056606391|85067402720|85079694710|85159616043,actual_frozen_dashboard_ranking
current_published,128,96,55498802400,Werner A.,6,1,5,85134217067|85143389438|85174613791|85184208831|85190383981|85209221117,actual_frozen_dashboard_ranking
current_published,129,96,55604227800,Porumbescu G.,6,4,2,85026363078|85054185907|85077701916|85195165540|85210949815|105024575250,actual_frozen_dashboard_ranking
current_published,130,96,55735410100,Schlipphak B.,6,3,3,85064750490|85124711493|85134557919|85134570877|85182157282|85209079402,actual_frozen_dashboard_ranking
current_published,131,96,55738296700,Huang H.,6,5,3,85017439852|85046799072|85053873561|85091036820|85100758392|105040150837,actual_frozen_dashboard_ranking
current_published,132,96,55787363800,Liu B.,6,4,2,85129226690|85160835182|85161446266|85176725704|105001127398|105017167951,actual_frozen_dashboard_ranking
current_published,133,96,55955809300,Petzold K.,6,5,4,85012923611|85050192071|85058308933|85066796429|85083390320|85136695741,actual_frozen_dashboard_ranking
current_published,134,96,56056445200,Lim S.,6,4,2,85061035641|85126806972|85158154615|85206340986|85217138203|105001641509,actual_frozen_dashboard_ranking
current_published,135,96,56168369200,Thau M.,6,1,5,85176091880|85196067903|105002152711|105020764129|105024555682|105039885285,actual_frozen_dashboard_ranking
current_published,136,96,56180409500,Banda K.K.,6,4,5,84928809792|84991766097|85045027073|85065410868|85068611268|85071449219,actual_frozen_dashboard_ranking
current_published,137,96,56256131200,Kantorowicz J.,6,4,2,85107472095|85177160946|85184401293|85211024270|105004056027|105041049895,actual_frozen_dashboard_ranking
current_published,138,96,56281778100,Yeh Y.Y.,6,2,4,85017439852|85109261971|85174313637|85201967593|105041986691|105047389993,actual_frozen_dashboard_ranking
current_published,139,96,56394620600,Kiratli O.S.,6,5,4,85075140130|85089676686|85124711493|85146277524|85182157282|105019246500,actual_frozen_dashboard_ranking
current_published,140,96,56421548300,McDowell D.,6,3,3,85198640867|85198928846|85198999643|85205707787|105014746447|105035324372,actual_frozen_dashboard_ranking
current_published,141,96,56432557600,Fossati F.,6,5,1,85077337141|85096301151|85096834370|85144266639|85154072857|85195662019,actual_frozen_dashboard_ranking
current_published,142,96,56487997200,Wratil C.,6,1,5,85087511720|85123717163|85146260244|85167901790|85210970407|105003592596,actual_frozen_dashboard_ranking
current_published,143,96,56523595800,Liu M.,6,6,2,84943378770|84992630887|85042199807|85048798335|85056541355|85114939275,actual_frozen_dashboard_ranking
current_published,144,96,56554105500,Gummer T.,6,3,3,85030673307|85077722204|85090236618|85127278669|85139110080|85162915967,actual_frozen_dashboard_ranking
current_published,145,96,56964283000,Anson I.G.,6,5,5,84980002227|85044778098|85053912540|85084576941|85199807893|105025476971,actual_frozen_dashboard_ranking
current_published,146,96,57052662100,Höhne J.K.,6,5,1,85019054655|85076491034|85077537628|85081597577|85101878202|85130462555,actual_frozen_dashboard_ranking
current_published,147,96,57059866500,George B.,6,2,4,84980034387|85041652929|85063679523|85145548995|105015338737|105046885381,actual_frozen_dashboard_ranking
current_published,148,96,57188561529,Armaly M.T.,6,5,4,85042913904|85076564809|85089595931|85109173631|85196367284|105037852370,actual_frozen_dashboard_ranking
current_published,149,96,57190216222,Igarashi A.,6,6,0,85113817293|85129159055|85135896371|85146656510|85215270505|85219095528,actual_frozen_dashboard_ranking
