variant,display_position,competition_rank,authid,name,n_articles,n_first,n_last,article_ids,status
current_published,1,1,6602110388,Thomas Bernauer,33,7,26,84878013138|84938946159|84975459634|84975789795|84992341283|85003864913|85016025310|85062085474|85064636420|85067680513|85082430134|85083863861|85103645348|85104056574|85104712462|85112464435|85120781136|85124196620|85124455446|85141374427|85159235309|85159334579|85159582567|85179742651|85182577401|85187132462|85202949339|85203879255|85206976729|105006801172|105034645576|105037769935|105043534448,actual_frozen_dashboard_ranking
current_published,2,2,12767146800,Douglas L. Kriner,21,7,16,84870179613|84897075398|84907224950|84946070200|84978906427|84995578409|85014593137|85014649599|85014922403|85040085886|85041625323|85073310147|85094221120|85096943476|85099406266|85125698803|85127254828|85127581823|85136722514|85179678265|105042603565,actual_frozen_dashboard_ranking
current_published,3,3,57203170141,Niels Bjørn Grund Petersen,15,7,12,85062262291|85067407501|85074029219|85076524004|85087880256|85091181242|85092586367|85110788543|85174613687|85186919352|85214572618|86000435450|105002152711|105024555682|105040241040,actual_frozen_dashboard_ranking
current_published,4,4,7102611306,Christine Horne,14,9,5,84878482584|84921455919|85053509639|85058618008|85058698012|85074603977|85085764776|85103905289|85111820523|85111834004|85133863087|85207005517|86000296951|105042428497,actual_frozen_dashboard_ranking
current_published,5,4,25224644900,Rasmus Tue Pedersen,14,13,4,85034662474|85046645518|85061936887|85068002083|85070986430|85071235282|85083358513|85083672997|85110876599|85125441524|85196067903|85214572618|105019779764|105040241040,actual_frozen_dashboard_ranking
current_published,6,4,35309171200,Martin Bækgaard,14,10,5,84931077293|84931440609|84940822479|84977676153|84980034387|85019021043|85059905845|85063679523|85067407501|85073946170|85103173621|85118144335|85175738454|105010591172,actual_frozen_dashboard_ranking
current_published,7,7,7003787305,Gregg G. Van Ryzin,13,4,11,84878955277|84884806119|84908554750|84918780367|84963994831|85014596724|85038355714|85067581830|85087950052|85089815116|85096111198|85104756695|85112316568,actual_frozen_dashboard_ranking
current_published,8,7,23095594600,David G. Rand,13,0,13,85101069099|85103049149|85117921915|85120323140|85120491400|85127735283|85130585909|85149118557|85163212575|85193970570|85205594046|85206618776|105008878283,actual_frozen_dashboard_ranking
current_published,9,7,24168107200,Yusaku Horiuchi,13,5,8,85039933179|85052643404|85055870318|85062479527|85067962902|85115188399|85123926675|85125415127|85136473193|85145327725|85145409036|105030588739|105042398599,actual_frozen_dashboard_ranking
current_published,10,7,36775562800,Blaine G. Robbins,13,12,7,84944232504|84983314158|85033780100|85033788510|85044032298|85066959974|85089290541|85097264174|85126184203|85136531185|85197852159|85200831312|105008067194,actual_frozen_dashboard_ranking
