variant,display_position,competition_rank,authid,name,n_articles,n_first,n_last,n_sole,n_first_excluding_sole,n_last_excluding_sole,score_tie_size,article_ids,scopus_author_url,status
current_raw,100,100,6601956224,John Gastil,6,3,3,0,3,3,68,85044835879|85052006071|85065670412|85112265805|85165893967|105024003881,https://www.scopus.com/authid/detail.uri?authorId=6601956224,unvalidated_query_candidate_articles
current_raw,101,100,6602533817,Jonas Tallberg,6,0,6,0,0,6,68,85063328286|85079670115|85143234663|85213405493|105012399638|105022218358,https://www.scopus.com/authid/detail.uri?authorId=6602533817,unvalidated_query_candidate_articles
current_raw,102,100,6602698051,Giuliano Bonoli,6,2,4,0,2,4,68,85096834370|85111715301|85113190278|85124909847|85199078378|85212286208,https://www.scopus.com/authid/detail.uri?authorId=6602698051,unvalidated_query_candidate_articles
current_raw,103,100,7006126634,André Blais,6,4,2,0,4,2,68,85078899431|85088578914|85108140441|85120876506|85160106921|85201964089,https://www.scopus.com/authid/detail.uri?authorId=7006126634,unvalidated_query_candidate_articles
current_raw,104,100,7102332636,Oliver James,6,4,2,0,4,2,68,85014596724|85038355714|85088856469|85089985354|85095755893|85101865548,https://www.scopus.com/authid/detail.uri?authorId=7102332636,unvalidated_query_candidate_articles
current_raw,105,100,7801629573,Gollust S.E.,6,2,4,0,2,4,68,84855649978|84922827993|85032820440|85053865862|85135189737|85135896966,https://www.scopus.com/authid/detail.uri?authorId=7801629573,unvalidated_query_candidate_articles
current_raw,106,100,8159413200,Tucker J.A.,6,0,6,0,0,6,68,84881256137|85079376382|85098065841|85134755415|85176605621|105014443993,https://www.scopus.com/authid/detail.uri?authorId=8159413200,unvalidated_query_candidate_articles
current_raw,107,100,8223892400,Kam C.D.,6,4,3,1,3,2,68,77951243471|84965060503|84983269069|85074396257|85075487342|85076668775,https://www.scopus.com/authid/detail.uri?authorId=8223892400,unvalidated_query_candidate_articles
current_raw,108,100,8532420500,Wauters B.,6,1,5,0,1,5,68,85045047689|85056771847|85074752487|85087715181|85195873095|85210157920,https://www.scopus.com/authid/detail.uri?authorId=8532420500,unvalidated_query_candidate_articles
current_raw,109,100,8547908900,Geys B.,6,1,5,0,1,5,68,85042566118|85102431958|85125415908|85164153637|85181832228|105005871889,https://www.scopus.com/authid/detail.uri?authorId=8547908900,unvalidated_query_candidate_articles
current_raw,110,100,12779778800,Hopkins D.J.,6,6,1,1,5,0,68,77952988385|84987948210|85019962970|85053875657|85086564155|85200315574,https://www.scopus.com/authid/detail.uri?authorId=12779778800,unvalidated_query_candidate_articles
current_raw,111,100,14035294700,Dafoe A.,6,4,2,0,4,2,68,85054537592|85076132830|85091726021|85095409059|85102415653|85128232507,https://www.scopus.com/authid/detail.uri?authorId=14035294700,unvalidated_query_candidate_articles
current_raw,112,100,16066752900,Aharoni E.,6,6,0,0,6,0,68,85057293626|85089124721|85120438138|85132734289|85159865660|85205233423,https://www.scopus.com/authid/detail.uri?authorId=16066752900,unvalidated_query_candidate_articles
current_raw,113,100,16308652800,Christenson D.P.,6,6,0,0,6,0,68,84995578409|85014649599|85014922403|85073310147|85091800462|85096943476,https://www.scopus.com/authid/detail.uri?authorId=16308652800,unvalidated_query_candidate_articles
current_raw,114,100,16744169900,Johns R.,6,3,3,0,3,3,68,84867729433|84910055748|85042088759|85097599267|85193702342|105000064992,https://www.scopus.com/authid/detail.uri?authorId=16744169900,unvalidated_query_candidate_articles
current_raw,115,100,23986892700,Woessmann L.,6,0,6,0,0,6,68,85054296507|85087123386|85091761345|85092077537|85140091650|85169833302,https://www.scopus.com/authid/detail.uri?authorId=23986892700,unvalidated_query_candidate_articles
current_raw,116,100,25958739200,Socia K.M.,6,4,3,1,3,2,68,85047170366|85075248126|85120698313|85129583494|85138407074|105039666012,https://www.scopus.com/authid/detail.uri?authorId=25958739200,unvalidated_query_candidate_articles
current_raw,117,100,35173613400,Robertson C.,6,5,1,0,5,1,68,85083499796|85116325673|85141941005|85168628918|85173862640|105024187231,https://www.scopus.com/authid/detail.uri?authorId=35173613400,unvalidated_query_candidate_articles
