metric,candidate,comparator,change,authid,name,current_all_count,current_all_rank,current_all_position,current_us_count,current_us_rank,current_us_position,current_pool_count,current_pool_rank,current_pool_position,current_unclear,current_unreviewed,current_us_upper,full_all_count,full_all_rank,full_all_position,full_us_count,full_us_rank,full_us_position,full_pool_count,full_pool_rank,full_pool_position,full_unclear,full_unreviewed,full_us_upper,narrow_all_count,narrow_all_rank,narrow_all_position,narrow_us_count,narrow_us_rank,narrow_us_position,narrow_pool_count,narrow_pool_rank,narrow_pool_position,narrow_unclear,narrow_unreviewed,narrow_us_upper
all,full,current,enter,6603030334,Claes H. de Vreese,3,513,530,,,,0,99,119,,,,7,83,84,0,510,525,0,101,116,7,0,7,7,83,84,0,506,521,0,101,116,7,0,7
all,full,current,enter,6603559510,Mathieu Turgeon,5,166,171,,,,0,99,117,,,,8,53,53,1,151,159,1,87,95,1,0,2,8,53,53,1,151,159,1,87,95,1,0,2
all,full,current,enter,7801629573,Sarah E. Gollust,6,96,101,,,,4,48,55,,,,8,53,55,5,43,46,5,43,46,3,0,8,8,53,55,5,43,46,5,43,46,3,0,8
all,full,current,enter,8967284700,Colleen L. Barry,4,292,318,,,,3,58,69,,,,7,83,86,4,53,62,4,51,60,3,0,7,7,83,86,4,53,62,4,51,60,3,0,7
all,full,current,enter,16023197400,Magdalena Wojcieszak,5,166,185,,,,4,48,57,,,,7,83,87,5,43,48,5,43,48,2,0,7,7,83,87,5,43,48,5,43,48,2,0,7
all,full,current,enter,16029149900,Jeff Niederdeppe,6,96,108,,,,6,34,41,,,,10,33,33,8,14,17,8,14,17,2,0,10,10,33,33,8,14,17,8,14,17,2,0,10
all,full,current,enter,16066752900,Eyal Aharoni,6,96,109,,,,2,70,79,,,,7,83,88,2,88,93,2,74,79,5,0,7,7,83,88,2,88,93,2,74,79,5,0,7
all,full,current,enter,16244346100,James Gerard Caillier,4,292,333,,,,1,85,98,,,,7,83,89,2,88,94,2,74,80,5,0,7,7,83,89,2,88,94,2,74,80,5,0,7
all,full,current,enter,25422239000,Stefano Pagliaro,2,984,1271,,,,0,99,120,,,,10,33,34,0,510,513,0,101,104,8,0,8,10,33,34,0,506,509,0,101,104,8,0,8
all,full,current,enter,26036187400,Sophie Lecheler,5,166,197,,,,0,99,118,,,,8,53,60,0,510,519,0,101,110,6,0,6,8,53,60,0,506,515,0,101,110,6,0,6
all,full,current,enter,35727190200,Rebekah H. Nagler,6,96,116,,,,4,48,56,,,,7,83,94,4,53,63,4,51,61,3,0,7,7,83,94,4,53,63,4,51,61,3,0,7
all,full,current,enter,36196237600,Laia Balcells,6,96,117,,,,0,99,115,,,,7,83,96,0,510,527,0,101,118,0,0,0,7,83,96,0,506,523,0,101,118,0,0,0
all,full,current,enter,55319086800,Laura Y. Cabrera,4,292,394,,,,2,70,83,,,,8,53,64,4,53,56,4,51,54,4,0,8,8,53,64,4,53,56,4,51,54,4,0,8
all,full,current,enter,56180409500,Kevin K. Banda,6,96,136,,,,2,70,80,,,,8,53,69,4,53,59,4,51,57,4,0,8,8,53,69,4,53,59,4,51,57,4,0,8
all,full,current,enter,57190437914,Janet Z. Yang,2,984,1726,,,,2,70,84,,,,14,5,9,5,43,43,5,43,43,9,0,14,13,9,15,5,43,43,5,43,43,8,0,13
all,full,current,enter,57201338729,Eric Merkley,6,96,154,,,,1,85,97,,,,8,53,76,1,151,161,1,87,97,2,0,3,8,53,76,1,151,161,1,87,97,2,0,3
