authid,full_name,institution,department,country,role,source_url,verified_on,verification_status
6602110388,Thomas Bernauer,ETH Zurich,"Humanities, Social and Political Sciences (D-GESS)",Switzerland,Professor,https://cis.ethz.ch/people/person-detail.thbernauer.html,2026-09-08,institutional_profile
12767146800,Douglas L. Kriner,Cornell University,Government,United States,Professor,https://government.cornell.edu/douglas-l-kriner,2026-09-08,institutional_profile
57203170141,Niels Bjørn Grund Petersen,VIVE – Danish Center for Social Science Research,Governance and Public Economics,Denmark,Senior Researcher,https://www.vive.dk/en/staff/niels-bjoern-grund-petersen-1vdjjjvn/,2026-09-08,institutional_profile
7102611306,Christine Horne,Washington State University,Sociology,United States,Professor,https://facsen.wsu.edu/2025-2026-senate-chair-elect-candidates/,2026-09-08,institutional_profile
25224644900,Rasmus Tue Pedersen,VIVE – Danish Center for Social Science Research,Governance and Public Economics,Denmark,Professor MSO; Deputy Head,https://www.vive.dk/da/medarbejdere/rasmus-tue-pedersen-d63pj4vz/,2026-09-08,institutional_profile
35309171200,Martin Bækgaard,Aarhus University,Political Science,Denmark,Professor,https://ps.au.dk/en/contact/staff/show/person/martinb%40ps.au.dk,2026-09-08,institutional_profile
7003787305,Gregg G. Van Ryzin,Rutgers University–Newark,School of Public Affairs and Administration,United States,Professor; Interim Dean of Graduate School–Newark,https://gsn.newark.rutgers.edu/meet-the-team,2026-09-08,institutional_profile
23095594600,David G. Rand,Cornell University,Information Science; Marketing and Management Communications; Psychology,United States,Professor,https://psychology.cornell.edu/david-rand,2026-09-08,institutional_profile
24168107200,Yusaku Horiuchi,Dartmouth College,Government; Quantitative Social Science,United States,Professor,https://govt.dartmouth.edu/people/yusaku-horiuchi,2026-09-08,institutional_profile
36775562800,Blaine G. Robbins,New York University Abu Dhabi,Social Science Division; Social Research and Public Policy,United Arab Emirates,Associate Professor,https://nyuad.nyu.edu/en/academics/divisions/social-science/faculty/blaine-robbins.html,2026-09-08,institutional_profile
37065230200,Markus Wagner,University of Vienna,Government,Austria,Professor,https://staatswissenschaft.univie.ac.at/en/about-us/scientific-staff/markus-wagner/,2026-09-08,institutional_profile
7006059165,Maykel Verkuyten,Utrecht University,Interdisciplinary Social Science,Netherlands,Emeritus Professor,https://www.uu.nl/staff/MJAMVerkuyten,2026-09-08,institutional_profile
12794521600,Toby Bolsen,Georgia State University,Political Science,United States,Professor,https://cas.gsu.edu/profile/toby-bolsen/,2026-09-08,institutional_profile
23010864600,Samuel Whitt,High Point University,Political Science,United States,Professor,https://www.highpoint.edu/faculty-staff/political-science/samuel-whitt/,2026-09-08,institutional_profile
54881904100,Nichole M. Bauer,Louisiana State University,Political Science; Manship School of Mass Communication,United States,Associate Professor,https://www.lsu.edu/hss/polisci/faculty_and_staff/bauer.php,2026-09-08,institutional_profile
55091186500,Yoshikuni Ono,Waseda University,School of Political Science and Economics,Japan,Professor,https://w-rdb.waseda.jp/html/100002058_en.html,2026-09-08,institutional_profile
56734108300,Mogens Jin Pedersen,University of Copenhagen,Political Science,Denmark,Associate Professor,https://politicalscience.ku.dk/staff/Academic_staff/?pure=en%2Fpersons%2F609388,2026-09-08,institutional_profile
57217457882,Gregory A. Huber,Yale University,Political Science,United States,Professor,https://politicalscience.yale.edu/people/gregory-huber,2026-09-08,institutional_profile
6603696960,James N. Druckman,University of Rochester,Political Science,United States,Professor,https://www.sas.rochester.edu/psc/people/view.php?fid=20230315,2026-09-08,institutional_profile
7202316609,Aseem Prakash,University of Washington,Political Science,United States,Professor,https://www.polisci.washington.edu/people/aseem-prakash,2026-09-08,institutional_profile
14034772300,Jason Reifler,University of Southampton,Politics and International Relations,United Kingdom,Professor,https://www.southampton.ac.uk/people/65dh7n/professor-jason-reifler,2026-09-08,institutional_profile
14832646600,Robin E. Gearing,University of Houston,Graduate College of Social Work,United States,Professor,https://www.uh.edu/socialwork/about/faculty-directory/r-gearing/index.php,2026-09-08,institutional_profile
16305967100,Robb Willer,Stanford University,Sociology,United States,Professor,https://sociology.stanford.edu/people/robb-willer,2026-09-08,institutional_profile
35725744600,Sarah E. Kreps,Cornell University,Government,United States,Professor,https://government.cornell.edu/sarah-kreps,2026-09-08,institutional_profile
35745930100,David Doherty,Loyola University Chicago,Political Science,United States,Professor; Department Chair,https://www.luc.edu/politicalscience/profiles/daviddoherty.shtml,2026-09-08,institutional_profile
35861891200,Matthew S. Winters,University of Illinois Urbana-Champaign,Political Science,United States,Professor,https://pol.illinois.edu/directory/profile/mwinters,2026-09-08,institutional_profile
57190806413,Lukas Rudolph,University of Konstanz,Politics and Public Administration,Germany,Assistant Professor (Juniorprofessor),https://www.polver.uni-konstanz.de/cdm/people/faculty/lukas-rudolph/,2026-09-08,institutional_profile
57203528227,Jonathan A. Chu,National University of Singapore,Lee Kuan Yew School of Public Policy,Singapore,Associate Professor; Assistant Dean (Research),https://lkyspp.nus.edu.sg/our-people/faculty/chu-jonathan-art,2026-09-08,institutional_profile
35759060800,Brendan Nyhan,Dartmouth College,Government,United States,Professor,https://faculty-directory.dartmouth.edu/brendan-nyhan,2026-09-08,institutional_profile
36159270600,Teppei Yamamoto,Waseda University,Faculty of Political Science and Economics,Japan,Professor,https://www.waseda.jp/fpse/faculty-en/2024/06/01/2566,2026-09-08,institutional_profile
37063497400,Kevin J. Mullinix,University of Kansas,Political Science,United States,Associate Professor,https://kups.ku.edu/people/kevin-mullinix,2026-09-08,institutional_profile
38061940400,Justin T. Pickett,"University at Albany, SUNY",School of Criminal Justice,United States,Professor,https://www.albany.edu/scj/faculty/justin-pickett,2026-09-08,institutional_profile
57205672554,Seiki Tanaka,University of Groningen,Faculty of Arts; International Relations,Netherlands,Assistant Professor,https://www.rug.nl/staff/s.tanaka/,2026-09-08,institutional_profile
17345249500,Martin Abraham,Friedrich-Alexander-Universität Erlangen-Nürnberg,"Sociology and Empirical Social Research; School of Business, Economics and Society",Germany,Professor; Chair,https://www.wiso.rw.fau.eu/research/research-profile/professors/prof-dr-martin-abraham/,2026-09-08,institutional_profile
23982874600,Ulf Liebe,University of Warwick,Sociology,United Kingdom,Professor; Head of Department,https://profiles.warwick.ac.uk/u1771864-ulf-liebe,2026-09-08,institutional_profile
24474160700,Brian R. Calfano,latakoo,No academic department verified,United States,Scholar in Residence,https://www.latakoo.com/news/latakoo-powered-by-real-intelligence/,2026-09-08,dated_employer_reference
35183713000,Efrén O. Pérez,"University of California, Los Angeles",Political Science; Psychology,United States,Professor,https://www.psych.ucla.edu/faculty-page/perezeo/,2026-09-08,institutional_profile
35492113000,Thomas Zeitzoff,American University,"Justice, Law, Criminology and Security; School of Public Affairs",United States,Professor,https://www.american.edu/spa/faculty/zeitzoff.cfm,2026-09-08,institutional_profile
55603014300,Tobias Heinrich,University of Houston,Political Science,United States,Associate Professor,https://www.uh.edu/class/political-science/faculty-and-staff/professors/heinrich/,2026-09-08,institutional_profile
55612017400,Erik Peterson,Rice University,Political Science,United States,Associate Professor,https://profiles.rice.edu/faculty/erik-peterson,2026-09-08,institutional_profile
55746145800,Stijn Baert,Ghent University,Economics,Belgium,Associate Professor,https://research.ugent.be/web/person/stijn-baert-0/en,2026-09-08,institutional_profile
56448439600,Selim Erdem Aytaç,Koç University,International Relations,Türkiye,Associate Professor,https://sites.google.com/view/seaytac/home,2026-09-08,self_report_corroborated_by_institutional_cv
