identity,scopus_id,doi,title,year,journal,review_id,status,in_uniform_leader_pool,maximum_author_us_upper_count,selection
doi:10.1080/01419870.2013.851396,84908514129,10.1080/01419870.2013.851396,"Public opinion, prejudice and the racialization of welfare in Canada",2014,Ethnic and Racial Studies,GEO-000544a2dd02,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1007/s11109-020-09629-y,85087511720,10.1007/s11109-020-09629-y,The Populist Marketplace: Unpacking the Role of “Thin” and “Thick” Ideology,2022,Political Behavior,GEO-0006dd05924b,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1027/1614-2241/a000161,85058308933,10.1027/1614-2241/a000161,What Can We Learn from Factorial Surveys about Human Behavior?: A Validation Study Comparing Field and Survey Experiments on Discrimination,2019,Methodology,GEO-0147521c8a29,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1080/08824096.2022.2130227,85139817255,10.1080/08824096.2022.2130227,Reducing psychological reactance to bystander intervention messages: comparing preemptive and postscript mitigation strategies,2022,Communication Research Reports,GEO-0193f4a2cde6,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1162/rest_a_00499,84978383963,10.1162/rest_a_00499,The price is right: Updating inflation expectations in arandomized price information experiment,2016,Review of Economics and Statistics,GEO-01cd50a463f9,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1177/0022343314544779,84910055748,10.1177/0022343314544779,Coalitions of the willing? International backing and British public support for military action,2014,Journal of Peace Research,GEO-03b788826407,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1016/j.socscimed.2021.113884,85104620919,10.1016/j.socscimed.2021.113884,How information about race-based health disparities affects policy preferences: Evidence from a survey experiment about the COVID-19 pandemic in the United States,2021,Social Science and Medicine,GEO-05142dd9bea2,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1177/0010414020957672,85091036820,10.1177/0010414020957672,When “Fake News” Becomes Real: The Consequences of False Government Denials in an Authoritarian Country,2021,Comparative Political Studies,GEO-06e38e1c23e0,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1007/s11109-021-09683-0,85100758392,10.1007/s11109-021-09683-0,"Propaganda, Presumed Influence, and Collective Protest",2022,Political Behavior,GEO-07364b9ec567,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1177/0891243219842147,85065436262,10.1177/0891243219842147,The Penalties For Self-Reporting Sexual Harassment,2019,Gender and Society,GEO-07d89851615f,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1111/psq.12391,85048827300,10.1111/psq.12391,The Contextual Determinants of Support for Unilateral Action,2017,Presidential Studies Quarterly,GEO-087e09b55dd5,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1057/s41295-023-00367-z,85174613791,10.1057/s41295-023-00367-z,The strange bedfellows of populism and liberalism: the effect of populist attitudes on the perception of the COVID-19 pandemic and policies to contain it,2024,Comparative European Politics,GEO-094ff81c1949,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1177/0894439318755336,85042199807,10.1177/0894439318755336,Where Should I Start? On Default Values for Slider Questions in Web Surveys,2019,Social Science Computer Review,GEO-0a63273bb32e,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1017/jlc.2024.14,85215106934,10.1017/jlc.2024.14,Elections Improve Support for State Trial Court Judges in the United States,2025,Journal of Law and Courts,GEO-0b5396e89ae3,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1177/2329496518761999,85044078762,10.1177/2329496518761999,The Stereotype Content of Sexual Orientation,2018,Social Currents,GEO-0b597f1965b3,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1017/s1743923x14000221,84905820874,10.1017/s1743923x14000221,Gender stereotypes and corruption: How candidates affect perceptions of election fraud,2014,Politics and Gender,GEO-0b801a0c7be3,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1080/10584609.2016.1170081,84965060503,10.1080/10584609.2016.1170081,"Organizations, Credibility, and the Psychology of Collective Action",2017,Political Communication,GEO-0b9ada73e7c9,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1111/1475-6765.12574,85143389438,10.1111/1475-6765.12574,How rational are voters when expecting government parties to fulfil pledges? A cross-national survey experiment,2023,European Journal of Political Research,GEO-0c79fce27cd0,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1080/13501763.2026.2685818,105041479806,10.1080/13501763.2026.2685818,"Immigration, tax progressivity, and support for redistribution",2026,Journal of European Public Policy,GEO-0ce1657794d3,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.17645/pag.9187,105005000103,10.17645/pag.9187,Leader Effects in an Era of Negative Politics: Who Has a Negativity Bias?,2025,Politics and Governance,GEO-0e76bf9466e5,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1111/puar.13904,85210732773,10.1111/puar.13904,Bureaucratic prioritizing among clients in the eyes of the public: Experimental evidence from three countries,2025,Public Administration Review,GEO-0ec3cbcab953,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1111/pops.12714,85097547967,10.1111/pops.12714,The Racialization of International Trade,2021,Political Psychology,GEO-107fa7150372,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1007/s10680-019-09529-w,85066796429,10.1007/s10680-019-09529-w,"Migration, Commuting, or a Second Home? Insights from an Experiment Among Academics",2020,European Journal of Population,GEO-115668ce5e94,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1371/journal.pone.0224289,85074396257,10.1371/journal.pone.0224289,"Has the “M” word been framed? Marijuana, cannabis, and public opinion",2019,Plos One,GEO-12b531bd60e4,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1016/j.electstud.2014.03.003,84899665631,10.1016/j.electstud.2014.03.003,From voter ID to party ID: How political parties affect perceptions of election fraud in the U.S.,2014,Electoral Studies,GEO-12d522e158f3,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1093/isq/sqac068,85144975057,10.1093/isq/sqac068,Where Is the Money From? Attitudes toward Donor Countries and Foreign Aid in the Arab World,2022,International Studies Quarterly,GEO-14fb0cad780b,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1093/isq/sqad090,85178020236,10.1093/isq/sqad090,The Gendered Peace Premium,2023,International Studies Quarterly,GEO-151b9a2a5eb6,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1016/j.foodqual.2019.103808,85073221738,10.1016/j.foodqual.2019.103808,Consumer associations about other buyers of suboptimal food – And what it means for food waste avoidance actions,2020,Food Quality and Preference,GEO-156cc06a6922,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1016/j.vaccine.2026.128284,105029543895,10.1016/j.vaccine.2026.128284,Willingness to vaccinate in a future pandemic. Evidence from a vignette experiment,2026,Vaccine,GEO-16c1c3ebdff9,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1111/padm.12892,85142635785,10.1111/padm.12892,A behavioral view on responsibility attribution in multi-level governance: Upward and downward responsibility attribution in response to performance below aspirations,2023,Public Administration,GEO-16cfbd69a905,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1017/spq.2021.2,85166397064,10.1017/spq.2021.2,The Effect of Partisan Representation at Different Levels of Government on Satisfaction with Democracy in the United States,2021,State Politics and Policy Quarterly,GEO-16f17aa67dc8,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1111/risa.70076,105012405225,10.1111/risa.70076,Generating targeted and tailored health communication narratives with AI,2025,Risk Analysis,GEO-17ffb63ea98f,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1017/s0007123425000201,105003592596,10.1017/s0007123425000201,Winning Votes and Changing Minds: Do Populist Arguments Affect Candidate Evaluations and Issue Preferences?,2025,British Journal of Political Science,GEO-19f58ef439b1,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.3389/fpos.2021.663858,85125142584,10.3389/fpos.2021.663858,Valuing Liberty or Equality? Empathetic Personality and Political Intolerance of Harmful Speech,2021,Frontiers in Political Science,GEO-1b6fa92fda6f,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1080/13510347.2021.1929180,85107370348,10.1080/13510347.2021.1929180,"Elections, legitimacy, and compliance in authoritarian regimes: evidence from the Arab world",2021,Democratization,GEO-1b97bb455507,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1177/23780231241290545,85208651782,10.1177/23780231241290545,Sexual Harassment and Hierarchical Workplace Relationships after #MeToo: Consequences for Women Subordinates,2024,Socius,GEO-1dcce0a00d2b,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1007/s11558-024-09560-5,85200031287,10.1007/s11558-024-09560-5,Is context pretext? Institutionalized commitments and the situational politics of foreign economic policy,2025,Review of International Organizations,GEO-1dcea342e6b9,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1007/s11109-025-10027-5,105000064992,10.1007/s11109-025-10027-5,"Hope, Optimism, and Expectations for the Political Future",2026,Political Behavior,GEO-1e45f7200699,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1016/j.electstud.2024.102867,85204778122,10.1016/j.electstud.2024.102867,Sorry Not Sorry: Presentational strategies and the electoral punishment of corruption,2024,Electoral Studies,GEO-1f61a3179e32,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1057/s41269-021-00229-0,85120071375,10.1057/s41269-021-00229-0,(Un)Expected effects of policy rhetoric: value framing of policy proposals and voters’ reactions to subsequent information,2022,Acta Politica,GEO-1f6558122cc8,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1016/j.giq.2022.101683,85125332474,10.1016/j.giq.2022.101683,Ethics of robotized public services: The role of robot design and its actions,2022,Government Information Quarterly,GEO-2074c2d62fe7,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1017/s0020818317000327,85046652073,10.1017/s0020818317000327,The impact of in-group favoritism on trade preferences,2017,International Organization,GEO-20b368d54137,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1111/1475-6765.12507,85123717163,10.1111/1475-6765.12507,Majority representation and legitimacy: Survey-experimental evidence from the European Union,2023,European Journal of Political Research,GEO-20c664a23d90,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1057/s41309-016-0001-x,85032020748,10.1057/s41309-016-0001-x,Assessing citizen views of interest group alliances,2016,Interest Groups and Advocacy,GEO-229be87ddf83,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1017/s0003055420000623,85090433615,10.1017/s0003055420000623,How Much is One American Worth? How Competition Affects Trade Preferences,2020,American Political Science Review,GEO-2373891f5352,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1111/psj.12578,85210949815,10.1111/psj.12578,Can reducing learning costs improve public support for means-tested benefit programs?,2025,Policy Studies Journal,GEO-24ae0f3204f1,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1017/xps.2014.8,85020679995,10.1017/xps.2014.8,Partisan Bias in Blame Attribution: When Does it Occur?,2014,Journal of Experimental Political Science,GEO-263210948904,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1111/padm.12977,85180178091,10.1111/padm.12977,The power of framing: The role of information provision in promoting whistleblowing,2024,Public Administration,GEO-2695a8a7be97,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1177/1065912920944470,85089595931,10.1177/1065912920944470,Loyalty over Fairness: Acceptance of Unfair Supreme Court Procedures,2021,Political Research Quarterly,GEO-26a451136e68,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1111/jasp.12827,85112735080,10.1111/jasp.12827,Communicating expert consensus increases personal support for COVID-19 mitigation policies,2022,Journal of Applied Social Psychology,GEO-270e406577d7,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1007/s11109-020-09592-8,85077627374,10.1007/s11109-020-09592-8,Who Cares? Explaining Perceptions of Compassion in Candidates for Office,2021,Political Behavior,GEO-2769a0dadd9e,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1177/10659129261465675,105046226583,10.1177/10659129261465675,Depictions of Partisan Bias at Oral Argument and Public Evaluations of the U.S. Supreme Court,2026,Political Research Quarterly,GEO-281b7119f031,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1016/j.econlet.2024.112104,85211024270,10.1016/j.econlet.2024.112104,Debt beliefs and public support for restrictive fiscal rules,2025,Economics Letters,GEO-2844dacf7cc0,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1177/00220027231177592,85163023503,10.1177/00220027231177592,Public Reactions to Secret Negotiations in International Politics,2024,Journal of Conflict Resolution,GEO-2981ccba068a,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1093/sf/soaf012,105010706705,10.1093/sf/soaf012,Racial prisms: experimental evidence on families’ race-based evaluations of school safety,2025,Social Forces,GEO-2b2484c38efc,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1080/14719037.2022.2026692,85124077537,10.1080/14719037.2022.2026692,What drives the perceived legitimacy of collaborative governance? An experimental study,2023,Public Management Review,GEO-2bbc0ab04a76,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1086/696863,85046799072,10.1086/696863,The pathology of hard propaganda,2018,Journal of Politics,GEO-2c4ca418fbbf,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1177/0003122418759544,85044060138,10.1177/0003122418759544,Precarious Sexuality: How Men and Women Are Differentially Categorized for Similar Sexual Behavior,2018,American Sociological Review,GEO-2ccf3f69f106,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1016/j.jpubeco.2017.11.002,85034756014,10.1016/j.jpubeco.2017.11.002,Intended college attendance: Evidence from an experiment on college returns and costs,2018,Journal of Public Economics,GEO-2da3cb7e55e2,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1016/j.jclepro.2024.144266,85209691542,10.1016/j.jclepro.2024.144266,Communicating default changes to hotel room cleaning without reducing guest satisfaction,2024,Journal of Cleaner Production,GEO-2e95119071e7,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1080/10967494.2021.1971125,85115302760,10.1080/10967494.2021.1971125,Processing stereotypes: professionalism confirmed or disconfirmed by sector affiliation?,2023,International Public Management Journal,GEO-2f1e25b8cdbc,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1093/ijpor/edaf018,105008209441,10.1093/ijpor/edaf018,Trust in Election Polls. The Role of the Source Institution and the Results of the Poll,2025,International Journal of Public Opinion Research,GEO-303533c3c12c,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
doi:10.1007/s11109-018-9466-4,85047659603,10.1007/s11109-018-9466-4,Religion and the Extension of Trust,2019,Political Behavior,GEO-3109efac07fd,unreviewed,false,6,article of an author reaching total top100 or possible US top100 in either variant; all cutoff ties included
