variant,display_position,competition_rank,authid,name,n_articles,n_first,n_last,n_sole,n_first_excluding_sole,n_last_excluding_sole,score_tie_size,article_ids,scopus_author_url,status
original_query,1,1,6602110388,Thomas Bernauer,35,7,28,0,7,28,1,84878013138|84938946159|84975459634|84975789795|84992341283|85003864913|85016025310|85062085474|85064636420|85067680513|85082430134|85083863861|85100168757|85103645348|85104056574|85104712462|85112464435|85120781136|85124196620|85124455446|85141374427|85159235309|85159334579|85159582567|85179742651|85182577401|85187132462|85188598133|85202949339|85203879255|85206976729|105006801172|105034645576|105037769935|105043534448,https://www.scopus.com/authid/detail.uri?authorId=6602110388,unvalidated_query_candidate_articles
original_query,2,2,12767146800,Douglas L. Kriner,20,7,15,2,5,13,1,84870179613|84897075398|84907224950|84946070200|84978906427|84995578409|85014593137|85014922403|85040085886|85041625323|85073310147|85094221120|85096943476|85099406266|85125698803|85127254828|85127581823|85136722514|85179678265|105042603565,https://www.scopus.com/authid/detail.uri?authorId=12767146800,unvalidated_query_candidate_articles
original_query,3,3,35309171200,Martin Bækgaard,15,11,6,2,9,4,2,84931077293|84931411751|84931440609|84940822479|84977676153|84980034387|85019021043|85059905845|85063679523|85067407501|85073946170|85103173621|85118144335|85175738454|105010591172,https://www.scopus.com/authid/detail.uri?authorId=35309171200,unvalidated_query_candidate_articles
original_query,4,3,57203170141,Niels Bjørn Grund Petersen,15,7,12,4,3,8,2,85062262291|85067407501|85074029219|85076524004|85087880256|85091181242|85092586367|85110788543|85174613687|85186919352|85214572618|86000435450|105002152711|105024555682|105040241040,https://www.scopus.com/authid/detail.uri?authorId=57203170141,unvalidated_query_candidate_articles
original_query,5,5,7102611306,Christine Horne,14,9,5,0,9,5,5,84878482584|84921455919|85053509639|85058618008|85058698012|85074603977|85085764776|85103905289|85111820523|85111834004|85133863087|85207005517|86000296951|105042428497,https://www.scopus.com/authid/detail.uri?authorId=7102611306,unvalidated_query_candidate_articles
original_query,6,5,12794521600,Toby Bolsen,14,12,2,0,12,2,5,84888601092|84901037027|84943199945|85008246775|85044370343|85057148304|85062719018|85070298879|85120615821|85130733510|85167408025|85209378959|85216215252|85217158927,https://www.scopus.com/authid/detail.uri?authorId=12794521600,unvalidated_query_candidate_articles
original_query,7,5,25224644900,Rasmus Tue Pedersen,14,13,4,3,10,1,5,85034662474|85046645518|85061936887|85068002083|85070986430|85071235282|85083358513|85083672997|85110876599|85125441524|85196067903|85214572618|105019779764|105040241040,https://www.scopus.com/authid/detail.uri?authorId=25224644900,unvalidated_query_candidate_articles
original_query,8,5,37065230200,Markus Wagner,14,2,12,0,2,12,5,84927910242|85041617753|85065801512|85092367680|85102185208|85170705867|85174062271|85175473443|85175495163|85193819898|105001443304|105014927185|105018032059|105048098704,https://www.scopus.com/authid/detail.uri?authorId=37065230200,unvalidated_query_candidate_articles
original_query,9,5,57190437914,Yang J.,14,1,13,0,1,13,5,84871574553|84931003726|85054463912|85075347270|85078680582|85093981491|85115869196|85148430045|85148586642|85174311475|85175564499|105006979320|105024319232|105041055052,https://www.scopus.com/authid/detail.uri?authorId=57190437914,unvalidated_query_candidate_articles
original_query,10,10,7003787305,Gregg G. Van Ryzin,13,4,11,2,2,9,6,84878955277|84884806119|84908554750|84918780367|84963994831|85014596724|85038355714|85067581830|85087950052|85089815116|85096111198|85104756695|85112316568,https://www.scopus.com/authid/detail.uri?authorId=7003787305,unvalidated_query_candidate_articles
original_query,11,10,7006059165,Maykel Verkuyten,13,9,5,1,8,4,6,84878661854|84894591630|84922551432|84943817918|84989282236|85041371053|85073950357|85075548198|85100961712|85131358788|85133968124|85140277195|85140278720,https://www.scopus.com/authid/detail.uri?authorId=7006059165,unvalidated_query_candidate_articles
original_query,12,10,16305967100,Robb Willer,13,0,13,0,0,13,6,85052331497|85083887195|85084324260|85091718485|85111979067|85120885789|85160596820|85176547661|85191915888|105005029873|105009546258|105029946035|105044369270,https://www.scopus.com/authid/detail.uri?authorId=16305967100,unvalidated_query_candidate_articles
original_query,13,10,23095594600,David G. Rand,13,0,13,0,0,13,6,85101069099|85103049149|85117921915|85120323140|85120491400|85127735283|85130585909|85149118557|85163212575|85193970570|85205594046|85206618776|105008878283,https://www.scopus.com/authid/detail.uri?authorId=23095594600,unvalidated_query_candidate_articles
original_query,14,10,24168107200,Yusaku Horiuchi,13,5,8,0,5,8,6,85039933179|85052643404|85055870318|85062479527|85067962902|85115188399|85123926675|85125415127|85136473193|85145327725|85145409036|105030588739|105042398599,https://www.scopus.com/authid/detail.uri?authorId=24168107200,unvalidated_query_candidate_articles
original_query,15,10,36775562800,Blaine G. Robbins,13,12,7,6,6,1,6,84944232504|84983314158|85033780100|85033788510|85044032298|85066959974|85089290541|85097264174|85126184203|85136531185|85197852159|85200831312|105008067194,https://www.scopus.com/authid/detail.uri?authorId=36775562800,unvalidated_query_candidate_articles
