authid,name,orcid
6503865492,Zdanowska J.,
6503939575,Fouli T.,
6504003238,Trappmann M.,
6504180121,Qiuxia W.,
6504309371,Bogos B.,
6504364157,Viriri S.,
6504397587,Gouwens N.W.,
6504541859,Nocilla A.,0000-0003-0665-8826
6504589688,Rodríguez-Arias D.,
6504656595,Di Fiandra T.,
6504658274,Capillo G.,
6505543160,Nobata C.,
6505730510,Coutandin D.,
6505758336,Barbui M.,
6505763978,Gerster A.,
6505815274,Werrij M.,
6505843046,Matera D.,
6505859316,Gil de Sola L.,
6505883328,Massett H.,
6505910383,Tomz M.R.,
6505942728,Zamarro G.,0000-0002-3893-7523
6505956338,Bahamon N.,
6505973706,Follesa M.C.,
6506046005,Vessia G.,
6506060617,Marengo-Mogollón H.,
6506138853,van Swol L.M.,0000-0002-2484-748X
6506172748,Miller-Perrin C.,0000-0002-0093-8037
6506180758,Maurici M.,
6506186141,Musto M.,
6506220577,Mespoulet M.,
6506266920,Sade O.,0000-0002-2651-1007
6506309293,Ruva C.,0000-0001-8911-786X
6506316640,Chamnanvanakij S.,
6506393509,Dégremont L.,
6506394349,Segrist D.J.,
6506412868,Bartholomae S.,0000-0001-5779-6239
6506438236,Bliesener T.,0000-0002-8696-338X
6506445759,Schildcrout J.S.,0000-0003-2276-2551
6506462990,Knobe J.,
6506464411,Neelankavil J.P.,
6506491623,Awuah-Offei K.,
6506507785,Illemann J.,
6506510374,Janeiro V.,
6506520658,Geistfeld L.,
6506537018,D’Ambrisi A.,
6506544165,Gwebu K.L.,
6506545855,Keillor M.E.,
6506549346,Mazzulla G.,
6506550455,Terrance C.,
6506592790,Trivelli C.,
6506612954,Roheim C.A.,
6506684773,Ofterdinger U.,
6506686976,Suffredini E.,0000-0001-7605-0539
6506694726,Gubana A.,
6506707274,Castellaro S.,0000-0001-7714-7041
6506712323,Polverari A.,
6506725007,Koneff M.D.,
6506764099,Krakower D.S.,
6506784463,Sgambi L.,
6506865108,Van Bavel R.,
6506888134,Soulliere G.J.,
6506917465,Soberman D.,
6506943599,Sase E.,
6506967974,Douw K.H.P.,
6506970350,Kauppi H.,0000-0002-4115-102X
6506986792,Kreylos O.,
6506999193,Tiago I.,
6507030977,Bettinger E.P.,
6507036317,Aldana-Montes J.F.,
6507218210,Vranken L.,
6507253632,Fernandez-Peralta L.,
6507300413,Lecointe J.P.,
6507303347,Spraakman G.,
6507348904,Lothridge K.,
6507427139,Diep L.M.,
6507446350,Kaplanoglou G.,
