authid,name,orcid
6505910383,Tomz M.R.,
6505942728,Zamarro G.,0000-0002-3893-7523
6506172748,Miller-Perrin C.,0000-0002-0093-8037
6506309293,Ruva C.,0000-0001-8911-786X
6506316640,Chamnanvanakij S.,
6506394349,Segrist D.J.,
6506550455,Terrance C.,
6507348904,Lothridge K.,
6507544050,Kahlbaugh P.,
6507596835,Rivardo M.G.,
6507606128,Wyland C.,
6507736436,Linderholm T.,
6508187138,Caskie G.I.L.,0000-0003-2366-7695
6602074574,Warman D.,
6602110388,Bernauer T.,
6602124193,Schermer M.H.N.,
6602187469,Grieve F.G.,
6602213082,Ginis K.A.M.,
6602274167,Fiksenbaum L.,
6602359888,Hanoch Y.,0000-0001-9453-4588
6602375694,Kaphingst K.,0000-0003-2668-9080
6602375892,McColl-Kennedy J.R.,
6602474186,Forestell C.,
6602475480,Gruenewald T.L.,
6602519450,McComas K.,
6602528372,Sinatra G.M.,
6602601724,Puhl R.M.,
6602670041,Beike D.,
6602689838,van Ryn M.,
6602695193,Corker E.,
6602700252,Lemyre L.,
6602794666,Coote L.V.,
6602954006,Amstutz C.A.,
6602965052,Spencer-Rodgers J.,
6602984345,Brinõl P.,
6603004345,Camillus J.,
6603105013,Ægisdóttir S.,
6603107607,Ashburn-Nardo L.,
6603125325,Muehlenkamp J.J.,
6603149971,Vandebosch H.,0000-0001-6779-3170
6603226983,Gerend M.A.,
6603297842,Aruguete M.,
6603336784,Plaks J.,
6603351828,Vescio T.K.,
6603379273,McKibbin C.L.,
6603386933,Latner J.D.,
6603424679,Bravender T.,
6603442685,Proeve M.,
6603654027,Torres-Harding S.R.,0000-0001-7009-7117
6603745808,Sam D.L.,
6603809525,Haider-Markel D.P.,
6603848413,Salyers M.P.,
6603926425,Penton-Voak I.,
6701330685,Moradi B.,0000-0003-1085-2752
6701338441,Van Hiel A.,0000-0003-2286-737X
6701353575,Laux J.M.,0000-0002-3551-8593
6701480135,Soroka S.,0000-0001-7524-0859
6701491860,Domke D.,
6701559632,Therriault D.,
6701574316,Donnellan M.B.,
6701592375,Kobourov S.,
6701601881,Twohig M.P.,
6701720101,Neuschatz J.,
6701726999,Dozois D.,
6701732501,Sattler D.N.,0000-0003-3551-7459
6701735576,Salomon K.,
6701758408,Redlich A.D.,
6701806872,Skitka L.J.,0000-0002-7078-0650
6701921682,Monks C.,
7003284799,Krosnick J.A.,
7003287581,Greenglass E.R.,
7003452884,Dodge T.,
7003460100,Brossard D.,
7003486857,St. Louis K.O.,
7003566165,Gerstein L.,
7003654943,Hirt E.R.,
7003717640,Silk K.,
7003736811,Safer M.A.,
7003786580,Fraenkel L.,
7003815096,Hochleitner M.,
7003827326,Brannon L.A.,
7003882091,Scheufele D.A.,
7003905753,Hennessy E.,0000-0002-5826-6667
7003914850,Corley E.A.,
7003922794,Lyubomirsky S.,
7003936520,Ditto P.H.,0000-0001-6647-7336
7004000684,Eccleston C.P.,
7004030582,Shin L.M.,0000-0002-9802-2261
7004110327,Burge C.A.,
7004153750,Pietrowsky R.,
7004166348,Koslowsky M.,
7004231413,Burton V.S.,
7004321698,Stamm T.A.,0000-0003-3073-7284
7004484326,Munro G.D.,0000-0001-5438-5581
7004562351,Prapavessis H.,
7004576064,Mazzeo S.E.,
7004664085,Raynor D.K.,
7004898389,Silcock J.,
7004980399,Tenenbaum G.,
7004988837,Shields S.A.,
7005023452,Sheeran P.,
7005186641,Mittelman M.,
7005221028,Willard J.,
7005244946,McCutcheon L.E.,
7005336334,Quesenberry C.,
7005511140,Rigby D.,
7005529658,Menozzi M.,
7005639939,Sommers S.R.,0000-0003-2981-5396
7005655001,Major B.,
7005820019,Vega L.,
7005921154,Kiernan M.,
7005934781,Bateman I.J.,
7005942951,McFadden S.H.,
7006024841,Reiner P.B.,
7006184739,Mazza M.,
7006256590,Dovidio J.F.,
7006277794,Hogg M.A.,
7006344792,Cullen F.T.,
7006402348,Sparks B.,
7006411850,Anastasi J.S.,
7006622074,Eklund R.C.,
7006625081,Szeto A.C.H.,
7006651322,Parrott D.J.,
7006702063,Wirtz P.W.,0000-0001-7540-1608
7007005338,Sankar P.,
7007037095,Mares M.L.,
7007111080,Slovic P.,
7007149707,Jamieson K.H.,0000-0002-4167-3688
7007177113,Resnicow K.,
7101686591,Knapp P.,
7101728079,Morrison T.G.,0000-0001-8033-3822
7101734300,Laporte G.,
7101739997,Bradley G.,
7101785895,Glick P.,
7101860643,Schmidt N.B.,
7101879250,Mann T.,0000-0003-4853-3474
7101929398,Mahler H.I.M.,
7101967584,Fink E.L.,
7102057469,Dunn K.E.,
7102146930,Wardle J.,
7102261540,MacLean A.W.,
7102571342,Weaver T.L.,
7102577510,Sharpe L.,0000-0002-8790-6272
7102581294,McNally R.J.,
7102585591,France J.,
7102729349,McNulty J.K.,0000-0002-5476-7472
7102805534,Fung H.,
7102812392,Parrott R.,
7102932947,Stock M.L.,0000-0001-5224-1103
7102999964,Prieto L.R.,
7103043893,Papa A.,
7103099585,Thiel M.,
7103157283,France C.,
7103183461,Turpin G.,
7103382180,Bassett J.F.,
7103401959,Rothman A.J.,0000-0003-3163-1895
7201440291,Golding J.M.,
7201475798,Field M.,0000-0002-7790-5559
7201675447,Morrison M.A.,
7201695005,Simon N.M.,
7201762478,Janssen P.A.,
7201825206,Ferrara A.,
7202087525,Feng B.,
7202178627,Stewart T.L.,0000-0001-6654-4869
7202268588,Rowe M.L.,
7202338153,Davies W.H.,
7202490578,Webb T.L.,
7202547438,Appelbaum P.S.,
7202816237,Wiley J.,0000-0002-2590-7392
7202932445,Slater M.D.,
7203025401,An S.,
7203025729,Burgess D.J.,
7401448151,Wood S.,
7401471711,Choi I.,
7401563996,Schmidt L.A.,
7401598035,Parker K.A.,
7401842287,Pereira M.G.,
7402544503,Kahn J.,
7402732705,Fu S.S.,
7402774100,Levy S.R.,0000-0002-7056-179X
7402882449,Olson J.N.,
7403127682,Hay J.L.,0000-0002-3492-9331
7403159918,Furukawa T.A.,
7403353347,Cohen G.,
7403389716,Gibson J.L.,0000-0002-2571-6596
7403933485,Davidson J.R.,
7404424769,Anderson P.L.,0000-0002-3811-9088
7404684775,Cheng S.,
7404928873,Walker R.L.,
7406453167,Xu Y.,
7501317302,Yoshida T.,
7801538781,Galupo M.P.,0000-0002-7991-9970
7801629573,Gollust S.E.,
8082938100,Chen L.H.,
8104436200,Plumm K.,
8136378100,Thiele K.,
8206182700,Dickter C.,
8213303300,Molina L.E.,
8269742900,Reysen S.,0000-0002-6685-7977
8311204100,Simon A.E.,
8442337500,Löckenhoff C.E.,0000-0003-1605-1323
8501538600,Moser J.S.,
8502938900,Besley J.,
8523304800,Gervais S.J.,0000-0002-2667-6370
8551353900,Rancourt D.,
8602816500,Jeglic E.L.,
8607145700,van den Putte B.,
8671782200,Martin-Chang S.,
8690478100,Siegel J.T.,
8704136100,Knaak S.,0000-0001-7663-3451
8713572600,Hogarth L.,0000-0002-0299-5748
8717450000,Saeys W.,
8729048100,Kiviniemi M.,0000-0002-1299-8416
8736057300,Mar R.A.,
8742092800,MacDonald G.,
8765227400,Steiner H.H.,
8768847400,Green M.,0000-0002-5469-8470
8907994300,Armstrong S.C.,
8924124600,Tsai A.,
8940872900,Galván A.,
8959937600,Carretero-Dios H.,0000-0001-8822-3791
8963173700,Horcajo J.,
8967284700,Barry C.L.,
8976886100,Grover R.L.,
9038574200,Kendeou P.,
9133733600,Gum A.M.,
9238664600,Rodgers R.F.,
9276686200,Smith J.L.,
9333655700,Sovacool B.K.,
9334632900,Phelan S.,
9633141200,Ivanov B.,
9634376500,Luo S.,0000-0002-0022-8967
9634821200,Hobolt S.B.,0000-0002-9742-9502
9636777800,Holmstrom A.J.,
9733992900,Klonsky E.D.,
9840557400,Johnson M.W.,
10046192800,Dabbish L.,
10739977300,Barlett C.P.,
11540199200,Fernández-Albertos J.,
11839474900,Dillard A.J.,
12765261900,Warneken F.,0000-0003-1461-3855
12767146800,Kriner D.L.,
12783237900,Waters E.A.,0000-0001-7402-0133
12784701000,Widome R.,
12795811900,Fowler E.F.,
13003900900,Legerski E.,
13005416800,Van Nuffel A.,
13406317300,Mocaiber I.,
