change,scopus_id,doi,title,year,journal,source_id,in_frame,first_authid,last_authid,byline_complete,local_phrase_verified,matched_families
added,73649132959,10.1111/j.1537-2995.2009.02381.x,Education in donation coping strategies encourages individuals to give blood: Further evaluation of a donor recruitment brochure,2010,Transfusion,20186,false,7103157283,35810093800,true,true,text_assignment
added,77649140877,10.1542/peds.2009-1666,"A ""novel"" intervention: A pilot study of children's literature and healthy lifestyles",2010,Pediatrics,15756,true,6603424679,8907994300,true,true,text_assignment
added,77951211348,,Beliefs and perceptions about the personality characteristics of children and adults suffering from a terminal illness,2010,North American Journal of Psychology,3900148501,false,58039876800,6602187469,true,false,
added,78249285619,10.1016/j.paid.2010.09.007,Sex differences in response to imagining a partner's heterosexual or homosexual affair,2011,Personality and Individual Differences,12807,true,36016215000,36652467400,true,true,text_assignment
added,79958226584,10.1007/s12160-010-9242-0,Impact of genetic causal information on medical students' clinical encounters with an obese virtual patient: Health promotion and social stigma,2011,Annals of Behavioral Medicine,27473,true,23006054100,7004000684,true,false,
added,79960564053,10.1186/1741-7015-9-89,Can user testing of a clinical trial patient information sheet make it fit-for-purpose? - A randomized controlled trial,2011,BMC Medicine,28111,false,7101686591,35103238200,true,true,text_assignment
added,79961001062,10.1111/j.1943-278X.2010.00008.x,Effects of race and precipitating event on suicide versus nonsuicide death classification in a college sample,2011,Suicide and Life Threatening Behavior,15313,true,7404928873,45160938900,true,true,text_assignment
added,82055191591,10.1016/j.psychsport.2011.10.009,An experimental investigation of physical education teachers' and coaches' reactions to weight-based victimization in youth,2012,Psychology of Sport and Exercise,14033,true,53871858700,36611901900,true,false,
added,82255191207,10.1177/107769901108800303,The mediating role of emotions in the relationship between frames and attribution of responsibility for health problems,2011,Journalism and Mass Communication Quarterly,20687,true,25634077000,25634077000,true,true,text_assignment
added,82855167335,10.2304/plat.2011.10.1.25,Lesson learned: Using clinical examples for teaching research methods,2011,Psychology Learning and Teaching,20500195402,true,55515557400,36783934000,true,false,
added,84857606356,10.1108/08876041211199715,"Explanations: If, when, and how they aid service recovery",2012,Journal of Services Marketing,130049,false,7101739997,7006402348,true,true,text_assignment
added,84859227431,10.1177/1948550611420886,Attachment anxiety uniquely predicts regret proneness in close relationship contexts,2012,Social Psychological and Personality Science,19900193555,true,36760833600,6603336784,true,true,text_assignment
added,84859630916,10.1016/j.psychsport.2012.03.001,Enhancing self-efficacy and exercise readiness in pregnant women,2012,Psychology of Sport and Exercise,14033,true,35262245500,7004562351,true,true,text_assignment
added,84859903900,10.1016/j.psychsport.2012.03.004,Using efficacy information to manipulate proxy efficacy in novice exercisers,2012,Psychology of Sport and Exercise,14033,true,35762355900,56320597300,true,false,
added,84862565840,10.1016/j.jsr.2012.02.002,Young drivers' perceptions of culpability of sleep-deprived versus drinking drivers,2012,Journal of Safety Research,29284,true,36242666200,7102261540,true,false,
