scopus_id,doi,year,source_id,journal,title,identity,all_scopus_ids,candidate,named_base,named_extra,guarded_design,procedure,reading_assignment,latest_revised,initial_concepts,initial_exposure,initial_exposure_human
105014380817,,2025,21100228948,Tpm Testing Psychometrics Methodology in Applied Psychology,THE ROLE OF CARING LEADERSHIP IN ENHANCING STRATEGIC HORIZON: AN ANALYTICAL STUDY OF THE OPINIONS OF A RANDOM SAMPLE OF EMPLOYEES IN AL-KAFEEL HOSPITAL,SCOPUS_ID:105014380817,105014380817,true,false,false,false,true,false,false,true,false,false
105014386945,,2025,21100228948,Tpm Testing Psychometrics Methodology in Applied Psychology,PROBABILISTIC MODELLING OF NORM COMPLIANCE IN COLLECTIVE BEHAVIOUR,SCOPUS_ID:105014386945,105014386945,true,true,false,false,false,false,false,true,true,true
105023851262,,2025,19700174668,Annual Review of Cybertherapy and Telemedicine,The human behind the hack: exploiting the representativeness heuristic to combat cyber-attacks,SCOPUS_ID:105023851262,105023851262,true,false,false,false,true,false,false,true,false,false
105025552547,,2025,21100202907,International Journal of Communication,Effective Ways of Casting Doubt? Examining the Different Effects of Blatant and Suggestive Disinformation,SCOPUS_ID:105025552547,105025552547,true,true,false,false,false,false,true,true,true,true
105025961866,,2025,19700175904,Collegiate Aviation Review,Investigating Health-Promoting Lifestyle Factors and Demographic Impacts Among Collegiate Flight Students,SCOPUS_ID:105025961866,105025961866,true,true,false,false,false,false,false,true,true,true
105037508683,,2026,14306,Harvard Journal on Legislation,GENERATIVE MISINTERPRETATION,SCOPUS_ID:105037508683,105037508683,true,false,false,false,true,false,false,true,false,false
73149118569,,2010,13995,Teachers College Record,Does moving to better neighborhoods lead to better schooling opportunities? parental school choice in an experimental housing voucher program,SCOPUS_ID:73149118569,73149118569,true,false,false,false,true,false,false,true,true,true
77949526435,,2010,18502,International Journal of Tuberculosis and Lung Disease,Graphic tobacco health warnings: Which genre to choose?,SCOPUS_ID:77949526435,77949526435,true,false,false,false,true,false,false,true,false,false
77952314618,,2010,4000148311,Preventing Chronic Disease,"Impact of a multimedia campaign to increase intention to call 9-1-1 for stroke symptoms, upstate new york, 2006-2007",SCOPUS_ID:77952314618,77952314618,true,false,false,false,true,false,false,true,false,false
77955498716,,2010,12134,Journal of Official Statistics,Effects of answer space size on responses to open-ended questions in mail surveys,SCOPUS_ID:77955498716,77955498716,true,true,false,false,false,false,false,true,true,true
78149237501,,2010,12134,Journal of Official Statistics,Contact strategies to improve participation via the web in a mixed-mode mail and web survey,SCOPUS_ID:78149237501,78149237501,true,true,false,false,false,false,true,true,true,true
79952057994,,2010,22464,Pacific Health Dialog,"Evaluation of a ""traditional food for health"" intervention in Pohnpei, Federated States of Micronesia.",SCOPUS_ID:79952057994,79952057994,true,false,false,false,true,false,false,true,false,false
79960301021,,2011,69138,American Journal of Managed Care,Telemonitoring with case management for seniors with heart failure,SCOPUS_ID:79960301021,79960301021,true,false,false,false,true,false,false,true,false,false
79960980741,,2011,15269,Monographs of the Society for Research in Child Development,The development of ambiguous figure perception.,SCOPUS_ID:79960980741,79960980741,true,false,false,false,true,false,false,true,false,false
83655182264,,2011,13600,Georgetown Law Journal,Are all contractual obligations created equal?,SCOPUS_ID:83655182264,83655182264,true,true,false,false,true,false,true,true,true,true
84861707710,,2012,21100202907,International Journal of Communication,Peacemaker: Changing students' attitudes toward palestinians and Israelis through video game play,SCOPUS_ID:84861707710,84861707710,true,false,false,false,true,false,false,true,false,false
84863659470,,2012,13378,Psicothema,Childhood sexual behavior as an indicator of sexual abuse: Professionals' criteria and biases,SCOPUS_ID:84863659470,84863659470,true,true,false,false,true,false,true,true,true,true
