author_name,institution_tess,department_aggregated,study_count,auid,scopus_name,affil_found,n_docs,confidence,n_candidates
Adam Ozer,Deliveroo,Unknown,1,57202576828,Ozer Adam L.,Verian,9,medium,1
Aimee Chabot,Duke University,Marketing,1,51565431700,Chabot Aimee,"University of California, San Diego",2,medium,3
Alexander L Janus,University of Oxford,Sociology,1,35279563000,Janus Alexander L.,The University of Edinburgh,8,medium,3
Alexander Sahn,"University of California, Santa Barbara",Political Science,1,57211585764,Sahn Alexander,The University of North Carolina at Chapel Hill,12,medium,1
Andy Baker,University of Colorado at Boulder,Political Science,1,7403519922,Baker Andrew H.,The University of Edinburgh,369,medium,18
Anna-Kaisa Reiman,"University at Albany, SUNY",Psychology,1,57226244144,Reiman Anna Kaisa,State University of New York Albany,13,medium,1
Annelies Blom,"University of Mannheim, Germany",Political Science,1,41461060900,Blom Annelies G.,Universität Bremen,41,medium,1
Anthony Lemieux,University of Colorado at Boulder,Communication,1,15049433200,Lemieux Anthony F.,Georgia State University,54,medium,6
Arielle S. Gilman,National Cancer Institute,Psychology,1,,,,,none,0
Arnaud Maurel,Columbia University,Political Science,1,35190798800,Maurel Arnaud,Duke University,17,medium,1
Arthur Aron,State University of New York at Stony Brook,Psychology,1,57220851693,Aron Arthur P.,Stony Brook University,135,medium,1
Aruna Balakrishnan,Carnegie Mellon University,Human-Computer Interaction,1,57200138702,Aruna K. B.,S.A. Engineering College,22,medium,6
Basak Senova,Freelance Curator and Designer,Unknown,1,36960029800,Şenova Başak,Koç University,3,medium,2
Benjamin A. Converse,University of Virgina,Business,2,25822103900,Converse Benjamin A.,University of Virginia,24,medium,2
Bethany Albertson,The University of Texas at Austin | University of Texas at Austin,Political Science,2,7004417196,Albertson Bethany L.,The University of Texas at Austin,25,medium,1
Carrie Lee,U.S. Air War College,Political Science,1,21737241400,Lee Caroline G.,Duke-NUS Medical School,217,medium,22
Celia Paris,Independent researcher,Business,1,39962148200,Paris Celia,The University of Chicago Booth School of Business,5,medium,4
Christabel Rogalin,Purdue University North Central,Sociology,1,13406042600,Rogalin Christabel L.,Purdue University Northwest,23,medium,1
Christopher Bryan,"University of Chicago | University of California, San Diego",Business,3,7006946392,Bryan-Brown Christopher W.,Albert Einstein College of Medicine,147,medium,18
Christopher McLaughlin,United States Air Force,Unknown,1,13608346200,McLaughlin Christopher K.,University of Toronto,29,medium,25
Christopher Roth,University of Warwick | University of Oxford,Economics,2,21035926600,Roth Christopher Geordie,Thomas Jefferson University Hospital,52,medium,25
Christy Aroopala,"Decision Information Resources, Inc.",Unknown,1,36766861800,Aroopala Christy,Yale University,2,medium,1
Chuck Howard,The University of British Columbia,Business,1,57226192408,Howard Ray Charles “Chuck”,Mays Business School,3,medium,5
Craig Burnett,University of North Carolina at Wilmington,Public and International Affairs,1,55461249300,Burnett Craig M.,Florida Atlantic University,26,medium,8
David Nickerson,Temple University and Focus for Democracy | Temple University,Political Science,2,7005755956,Nickerson David Phillip,University of Auckland,104,medium,19
David Pedulla,Stanford University | Princeton University | University of Texas at Austin,Sociology,3,55939572800,Pedulla David S.,Harvard University,21,medium,2
David R. Jones,"City University of New York, Baruch College",Political Science,1,26642961000,Jones Davey Leonard,Bangor University,843,medium,25
David Scott Yeager,University of Texas at Austin | The University of Texas at Austin,Psychology,3,27468015800,Yeager David Scott,The University of Texas at Austin,95,medium,13
David Tannenbaum,"University of California, Los Angeles",Business,1,14029519500,Tannenbaum Emmanuel David,Harvard University,40,medium,5
Dimitri Kelly,University of Wisconsin-Madison,Political Science,1,57192207991,Kelly Dimitri,Linfield University,3,medium,1
Dr. Jonathan W. Leland,National Science Foundation,Political Science,1,,,,,none,0
