position,score_rank,authid,name,n_articles,n_text_cue_articles,n_first,n_last,n_panel_cue_articles,panel_provider_cues,fractional_credit_on_counted_articles,tess_investigator_in_frozen_roster,article_ids,scopus_author_url,status
1,1,6602110388,Bernauer T.,38,5,7,26,0,,12.742857,false,84878013138|84938946159|84975459634|84975789795|84992341283|85003864913|85016025310|85020961104|85058481501|85062085474|85064636420|85067680513|85082430134|85083376527|85083863861|85103645348|85104056574|85104712462|85109104338|85111099207|85112464435|85120781136|85124196620|85124455446|85141374427|85159235309|85159334579|85159582567|85179742651|85182577401|85187132462|85202949339|85203879255|85206976729|105006801172|105034645576|105037769935|105043534448,https://www.scopus.com/authid/detail.uri?authorId=6602110388,provisional_query_candidates
2,2,35759060800,Nyhan B.,23,6,5,6,1,YouGov,5.591804,true,80052366764|84898753023|84921984369|85047903545|85049075124|85071722932|85078960506|85088152491|85106697357|85106950513|85107352713|85114350257|85124140550|85127349686|85150526821|85162185399|85170631568|85174056404|85182629341|85190154740|105005845952|105015521246|105041095106,https://www.scopus.com/authid/detail.uri?authorId=35759060800,provisional_query_candidates
3,3,12767146800,Kriner D.L.,21,2,7,16,0,,10.666667,true,84870179613|84897075398|84907224950|84946070200|84978906427|84995578409|85014593137|85014649599|85014922403|85040085886|85041625323|85073310147|85094221120|85096943476|85099406266|85125698803|85127254828|85127581823|85136722514|85179678265|105042603565,https://www.scopus.com/authid/detail.uri?authorId=12767146800,provisional_query_candidates
4,4,6603696960,Druckman J.,20,4,8,3,1,Amazon Mechanical Turk,6.161111,false,84874501501|84901037027|84943199945|84945162574|85008246775|85012118612|85012122035|85037698515|85044370343|85058068103|85059946018|85107306214|85111979067|85116875533|85150414412|85159352129|85160596820|85204418104|105001180073|105031601408,https://www.scopus.com/authid/detail.uri?authorId=6603696960,provisional_query_candidates
5,4,38061940400,Pickett J.T.,20,8,5,6,2,YouGov,6.62619,false,85017479115|85030544249|85045541946|85060884767|85068826704|85074038685|85079468153|85091202562|85092499524|85099391391|85108992037|85116564035|85136529598|85185272128|85190319537|85200588412|85217932803|105001077495|105002495856|105005805574,https://www.scopus.com/authid/detail.uri?authorId=38061940400,provisional_query_candidates
6,6,35309171200,Bækgaard M.,19,3,10,5,0,,7.060256,false,84931077293|84931440609|84940822479|84977676153|84980034387|85019021043|85041652929|85059905845|85063679523|85067407501|85073946170|85096893189|85098134714|85103173621|85118144335|85164153637|85175738454|105005574189|105010591172,https://www.scopus.com/authid/detail.uri?authorId=35309171200,provisional_query_candidates
7,6,57217457882,Huber G.A.,19,10,2,10,0,,5.7671,false,84886750998|85060580173|85062681263|85064539825|85097381620|85098552838|85116884460|85119018835|85120875984|85132896321|85141907351|85152261401|85159331946|85183492832|85208657819|105007228428|105012258249|105013200123|105038423138,https://www.scopus.com/authid/detail.uri?authorId=57217457882,provisional_query_candidates
8,8,23095594600,Rand D.G.,18,5,0,13,1,Lucid,4.3,false,85101069099|85103049149|85111979067|85117921915|85120323140|85120491400|85127735283|85130585909|85149118557|85160596820|85163212575|85176547661|85186741013|85193970570|85205594046|85206618776|105005755328|105008878283,https://www.scopus.com/authid/detail.uri?authorId=23095594600,provisional_query_candidates
9,8,56734108300,Pedersen M.J.,18,5,10,4,1,Amazon Mechanical Turk|Prolific,8.0,false,84940214050|84975770291|85037044153|85038356713|85040459526|85054474475|85074017190|85092586367|85167655087|85174613687|85179695533|85183015664|85183977264|85190402580|85210732773|85212439594|105005574189|105010973131,https://www.scopus.com/authid/detail.uri?authorId=56734108300,provisional_query_candidates
10,8,57203170141,Petersen N.B.G.,18,7,7,12,0,,8.7,false,85062262291|85067407501|85074029219|85076524004|85087880256|85091181242|85092586367|85110055783|85110788543|85174613687|85186919352|85196067903|85214572618|86000435450|105002152711|105005574189|105024555682|105040241040,https://www.scopus.com/authid/detail.uri?authorId=57203170141,provisional_query_candidates
11,11,7003787305,Van Ryzin G.G.,17,1,4,11,0,,7.866667,false,84878955277|84884806119|84903992850|84908554750|84918780367|84930726235|84963994831|85014596724|85038355714|85067581830|85079424196|85087950052|85089815116|85096111198|85104756695|85112316568|105044856142,https://www.scopus.com/authid/detail.uri?authorId=7003787305,provisional_query_candidates
12,11,14034772300,Reifler J.,17,4,1,10,0,,3.543651,false,79958244532|84891494021|84898753023|84921984369|85088152491|85106697357|85108081254|85124140550|85142611479|85147720720|85162185399|85169557686|85170631568|85174056404|85213442851|105008461820|105027197362,https://www.scopus.com/authid/detail.uri?authorId=14034772300,provisional_query_candidates
13,11,25224644900,Pedersen R.T.,17,4,13,4,0,,8.166667,false,85034662474|85046645518|85061936887|85068002083|85070986430|85071235282|85083358513|85083672997|85107877075|85110876599|85125441524|85196067903|85214572618|105002152711|105019779764|105024555682|105040241040,https://www.scopus.com/authid/detail.uri?authorId=25224644900,provisional_query_candidates
14,14,7102611306,Horne C.,16,15,9,5,0,,6.866667,true,84878482584|84920265544|84921455919|85053509639|85058618008|85058698012|85074603977|85082048077|85085764776|85103905289|85111820523|85111834004|85133863087|85207005517|86000296951|105042428497,https://www.scopus.com/authid/detail.uri?authorId=7102611306,provisional_query_candidates
15,14,24168107200,Horiuchi Y.,16,1,5,8,0,,5.866667,false,85039933179|85052643404|85055870318|85062479527|85067962902|85092358123|85115188399|85123926675|85125415127|85136473193|85145327725|85145409036|105002696147|105030588739|105042398599|105045529994,https://www.scopus.com/authid/detail.uri?authorId=24168107200,provisional_query_candidates
16,14,57190806413,Rudolph L.,16,4,9,4,0,,6.75,false,85083863861|85104056574|85119401868|85119426755|85124455446|85159235309|85159334579|85159582567|85166589138|85188604798|85199982682|85207749628|105006801172|105027329225|105039204587|105043412577,https://www.scopus.com/authid/detail.uri?authorId=57190806413,provisional_query_candidates
17,17,7006059165,Verkuyten M.,15,4,9,4,0,,5.666667,false,84878661854|84894591630|84922551432|84943817918|84989282236|84994613652|85041371053|85073950357|85075548198|85078056345|85117335410|85131358788|85133968124|85140277195|85140278720,https://www.scopus.com/authid/detail.uri?authorId=7006059165,provisional_query_candidates
18,17,12794521600,Bolsen T.,15,11,10,2,1,Amazon Mechanical Turk,5.47619,true,84901037027|84943199945|85008246775|85044370343|85057148304|85062719018|85070298879|85097405858|85116111950|85130733510|85167408025|85209378959|85216215252|85217158927|105041076928,https://www.scopus.com/authid/detail.uri?authorId=12794521600,provisional_query_candidates
19,17,14832646600,Gearing R.E.,15,15,6,5,0,,2.475397,false,84871858111|84876049317|85100598411|85114677569|85123779284|85134747070|85145825392|85147143671|85169688524|85174071113|85205574905|105004450315|105010461822|105011988550|105019345621,https://www.scopus.com/authid/detail.uri?authorId=14832646600,provisional_query_candidates
20,17,15757402700,Loewen P.J.,15,1,1,7,0,,3.595635,false,84857236813|85047792819|85124140550|85125126673|85147209656|85170631568|85182629341|85183679885|85190154740|85200596759|105005845952|105007427471|105029615177|105032149587|105033577491,https://www.scopus.com/authid/detail.uri?authorId=15757402700,provisional_query_candidates
21,17,54790755800,Brewer K.B.,15,15,2,0,0,,2.475397,false,84871858111|84876049317|85100598411|85114677569|85123779284|85134747070|85145825392|85147143671|85169688524|85174071113|85205574905|105004450315|105010461822|105011988550|105019345621,https://www.scopus.com/authid/detail.uri?authorId=54790755800,provisional_query_candidates
22,22,7202316609,Prakash A.,14,2,0,11,0,,4.333333,false,85053490407|85059252534|85087378517|85096219826|85104593177|85122571011|85126806972|85131724414|85185836671|85193987772|85214296759|105010226878|105033260134|105039827469,https://www.scopus.com/authid/detail.uri?authorId=7202316609,provisional_query_candidates
23,22,7801629573,Gollust S.E.,14,10,2,4,0,,3.328114,false,84855649978|84895906473|84922827993|84963612048|85032820440|85053865862|85122303516|85135189737|85135896966|85171600308|85216006550|86000382291|105011377433|105023525899,https://www.scopus.com/authid/detail.uri?authorId=7801629573,provisional_query_candidates
24,22,16305967100,Willer R.,14,1,0,11,0,,4.042857,true,85052331497|85063348926|85084324260|85091718485|85111979067|85120885789|85160596820|85176547661|85191915888|85207105648|105005029873|105029289824|105029946035|105044369270,https://www.scopus.com/authid/detail.uri?authorId=16305967100,provisional_query_candidates
25,22,35725744600,Kreps S.,14,2,9,3,0,,6.5,true,84995444937|84998915284|85042090180|85094221120|85096943476|85125698803|85127254828|85127581823|85128583393|85165518545|85179678265|85188351147|85218155348|105029190749,https://www.scopus.com/authid/detail.uri?authorId=35725744600,provisional_query_candidates
26,22,54881904100,Bauer N.,14,5,10,8,0,,8.583333,true,84957805398|85014540568|85043332442|85048742659|85067352245|85076027417|85076167276|85095117105|85101803291|85122780387|85210413888|105005597308|105005626231|105012355723,https://www.scopus.com/authid/detail.uri?authorId=54881904100,provisional_query_candidates
27,22,55091186500,Ono Y.,14,7,3,9,0,,5.75,false,85054952173|85113817293|85114378267|85118444829|85129159055|85135896371|85136473193|85186447775|85219095528|105000131600|105009206681|105009501936|105021366057|105040509962,https://www.scopus.com/authid/detail.uri?authorId=55091186500,provisional_query_candidates
28,28,23010864600,Whitt S.,13,0,4,8,0,,4.666667,false,85071419972|85099962519|85108557459|85132755374|85193394259|85216104420|85216486046|85216620221|105000519465|105002134171|105003442248|105024217606|105041965396,https://www.scopus.com/authid/detail.uri?authorId=23010864600,provisional_query_candidates
29,28,23982874600,Liebe U.,13,4,5,4,0,,4.283333,false,80051637855|84907487526|85018788745|85049693637|85077691868|85084071067|85092904088|85153201787|85162979593|85193707009|85208985561|105014888259|105039696438,https://www.scopus.com/authid/detail.uri?authorId=23982874600,provisional_query_candidates
30,28,35861891200,Winters M.S.,13,2,4,7,0,,4.642857,false,84962730593|84967215008|85012297251|85019456641|85035364736|85073767137|85102071850|85152296772|85160547976|85186540861|86000376657|105001850441|105012597345,https://www.scopus.com/authid/detail.uri?authorId=35861891200,provisional_query_candidates
31,28,36775562800,Robbins B.,13,1,12,7,3,Amazon Mechanical Turk,9.0,false,84944232504|84983314158|85033780100|85033788510|85044032298|85066959974|85089290541|85097264174|85126184203|85136531185|85197852159|85200831312|105008067194,https://www.scopus.com/authid/detail.uri?authorId=36775562800,provisional_query_candidates
32,28,37065230200,Wagner M.,13,1,2,11,0,,4.583333,false,84927910242|85041617753|85065801512|85092367680|85102185208|85170705867|85174062271|85175473443|85175495163|85193819898|105014927185|105018032059|105048098704,https://www.scopus.com/authid/detail.uri?authorId=37065230200,provisional_query_candidates
33,28,57189074265,Mazepus H.,13,5,5,5,0,,5.561111,false,85070813530|85121452284|85147434032|85150819039|85163157405|85187151954|85214354427|105000252224|105004475485|105025108627|105025248279|105027159077|105029985491,https://www.scopus.com/authid/detail.uri?authorId=57189074265,provisional_query_candidates
34,34,7006126634,Blais A.,12,0,4,2,0,,3.709524,false,85078658570|85078899431|85088578914|85102826050|85105262374|85108140441|85120876506|85150968807|85153113226|85160106921|85163023728|85201964089,https://www.scopus.com/authid/detail.uri?authorId=7006126634,provisional_query_candidates
35,34,17345249500,Abraham M.,12,2,7,2,0,,4.233333,false,77955164049|84861746768|84872322437|84949519983|84960115436|84975048512|85059935468|85071372063|85087363138|85131278479|85144761803|85176382083,https://www.scopus.com/authid/detail.uri?authorId=17345249500,provisional_query_candidates
36,34,35745930100,Doherty D.,12,1,11,2,0,,5.283333,true,80054939891|84886750998|84929578243|84930584663|84945247501|85060580173|85068049998|85069695771|85086600850|105001650331|105007145263|105046220290,https://www.scopus.com/authid/detail.uri?authorId=35745930100,provisional_query_candidates
37,34,55746145800,Baert S.,12,11,1,8,1,Prolific,3.37619,false,84908021986|85056907668|85081613400|85087287708|85111958685|85140862757|85165352675|85168133308|85202899391|85215433861|105010332441|105047190761,https://www.scopus.com/authid/detail.uri?authorId=55746145800,provisional_query_candidates
