position,score_rank,authid,name,n_articles,n_text_cue_articles,n_first,n_last,n_panel_cue_articles,panel_provider_cues,fractional_credit_on_counted_articles,tess_investigator_in_frozen_roster,article_ids,scopus_author_url,status
1,2,12767146800,Kriner D.L.,21,2,7,16,0,,10.666667,true,84870179613|84897075398|84907224950|84946070200|84978906427|84995578409|85014593137|85014649599|85014922403|85040085886|85041625323|85073310147|85094221120|85096943476|85099406266|85125698803|85127254828|85127581823|85136722514|85179678265|105042603565,https://www.scopus.com/authid/detail.uri?authorId=12767146800,provisional_query_candidates
2,4,7102611306,Horne C.,14,13,9,5,0,,6.2,true,84878482584|84921455919|85053509639|85058618008|85058698012|85074603977|85085764776|85103905289|85111820523|85111834004|85133863087|85207005517|86000296951|105042428497,https://www.scopus.com/authid/detail.uri?authorId=7102611306,provisional_query_candidates
3,12,12794521600,Bolsen T.,12,8,10,2,0,,4.47619,true,84901037027|84943199945|85008246775|85044370343|85057148304|85062719018|85070298879|85130733510|85167408025|85209378959|85216215252|85217158927,https://www.scopus.com/authid/detail.uri?authorId=12794521600,provisional_query_candidates
4,12,54881904100,Bauer N.,12,3,10,8,0,,8.083333,true,84957805398|85014540568|85043332442|85048742659|85067352245|85076027417|85076167276|85095117105|85101803291|85122780387|105005597308|105005626231,https://www.scopus.com/authid/detail.uri?authorId=54881904100,provisional_query_candidates
5,19,16305967100,Willer R.,11,1,0,11,0,,3.27619,true,85052331497|85084324260|85091718485|85111979067|85120885789|85160596820|85176547661|85191915888|105005029873|105029946035|105044369270,https://www.scopus.com/authid/detail.uri?authorId=16305967100,provisional_query_candidates
6,19,35725744600,Kreps S.,11,2,9,3,0,,5.583333,true,84995444937|84998915284|85042090180|85094221120|85125698803|85127254828|85127581823|85128583393|85165518545|85179678265|105029190749,https://www.scopus.com/authid/detail.uri?authorId=35725744600,provisional_query_candidates
7,19,35745930100,Doherty D.,11,0,11,2,0,,5.083333,true,80054939891|84929578243|84930584663|84945247501|85060580173|85068049998|85069695771|85086600850|105001650331|105007145263|105046220290,https://www.scopus.com/authid/detail.uri?authorId=35745930100,provisional_query_candidates
8,19,57203528227,Chu J.A.,11,3,8,5,0,,5.833333,true,85052060424|85103382393|85107869445|85122139505|85124121558|85124170048|85127696366|85170289998|85176924618|85206830858|105012359420,https://www.scopus.com/authid/detail.uri?authorId=57203528227,provisional_query_candidates
9,29,35759060800,Nyhan B.,10,4,5,6,0,,3.315812,true,80052366764|84898753023|84921984369|85047903545|85049075124|85106950513|85114350257|85182629341|105005845952|105015521246,https://www.scopus.com/authid/detail.uri?authorId=35759060800,provisional_query_candidates
10,29,37063497400,Mullinix K.J.,10,1,5,6,1,Amazon Mechanical Turk,4.833333,true,84941353207|85012122035|85041603336|85053299605|85057578602|85059103503|85067057847|85123476525|85127190236|105038900974,https://www.scopus.com/authid/detail.uri?authorId=37063497400,provisional_query_candidates
11,34,35183713000,Pérez E.,9,2,7,4,0,,4.809524,true,84890418441|84955616709|85021736860|85066605513|85127783017|85139216162|85148945547|85162677133|105029060592,https://www.scopus.com/authid/detail.uri?authorId=35183713000,provisional_query_candidates
