position,score_rank,authid,name,n_articles,n_text_cue_articles,n_first,n_last,n_panel_cue_articles,panel_provider_cues,fractional_credit_on_counted_articles,tess_investigator_in_frozen_roster,article_ids,scopus_author_url,status
1,1,7102611306,Horne C.,13,13,9,4,0,,5.7,true,84878482584|84921455919|85053509639|85058618008|85058698012|85074603977|85085764776|85103905289|85111820523|85111834004|85133863087|86000296951|105042428497,https://www.scopus.com/authid/detail.uri?authorId=7102611306,provisional_query_candidates
2,2,14832646600,Gearing R.E.,11,11,6,5,0,,1.856349,false,84871858111|84876049317|85100598411|85134747070|85145825392|85147143671|85174071113|85205574905|105010461822|105011988550|105019345621,https://www.scopus.com/authid/detail.uri?authorId=14832646600,provisional_query_candidates
3,3,12794521600,Bolsen T.,8,8,6,2,0,,2.97619,true,85044370343|85057148304|85062719018|85070298879|85130733510|85209378959|85216215252|85217158927,https://www.scopus.com/authid/detail.uri?authorId=12794521600,provisional_query_candidates
4,3,55746145800,Baert S.,8,8,1,7,1,Prolific,2.47619,false,84908021986|85081613400|85087287708|85165352675|85202899391|85215433861|105010332441|105047190761,https://www.scopus.com/authid/detail.uri?authorId=55746145800,provisional_query_candidates
5,5,57217457882,Huber G.A.,7,7,2,5,0,,2.009524,false,85097381620|85119018835|85120875984|85183492832|105007228428|105012258249|105013200123,https://www.scopus.com/authid/detail.uri?authorId=57217457882,provisional_query_candidates
6,6,35727190200,Nagler R.H.,6,6,4,2,0,,1.242857,false,85063166355|85122303516|85135189737|85171600308|85216006550|86000382291,https://www.scopus.com/authid/detail.uri?authorId=35727190200,provisional_query_candidates
7,6,57193195374,Kingsland J.T.,6,6,0,6,1,Amazon Mechanical Turk,2.0,false,85062719018|85070298879|85097405858|85116111950|85130733510|105041076928,https://www.scopus.com/authid/detail.uri?authorId=57193195374,provisional_query_candidates
8,8,6507601724,Kessels U.,5,5,1,4,0,,2.5,false,84941420982|84989162307|85021792061|85083053425|85164741684,https://www.scopus.com/authid/detail.uri?authorId=6507601724,provisional_query_candidates
9,8,16029149900,Niederdeppe J.,5,5,2,3,2,Amazon Mechanical Turk|Lucid,1.277778,false,84891364778|84895906473|85032820440|85073105603|85184585795,https://www.scopus.com/authid/detail.uri?authorId=16029149900,provisional_query_candidates
10,8,23095594600,Rand D.G.,5,5,0,5,1,Lucid,1.45,false,85101069099|85120323140|85120491400|85149118557|85163212575,https://www.scopus.com/authid/detail.uri?authorId=23095594600,provisional_query_candidates
11,8,55091186500,Ono Y.,5,5,0,5,0,,2.333333,false,85113817293|85129159055|85135896371|85219095528|105021366057,https://www.scopus.com/authid/detail.uri?authorId=55091186500,provisional_query_candidates
12,8,55808386300,Heyder A.,5,5,4,1,0,,2.5,false,84941420982|84989162307|85083053425|85189022210|85217708017,https://www.scopus.com/authid/detail.uri?authorId=55808386300,provisional_query_candidates
13,8,56081528100,Reynolds-Tylus T.,5,5,5,1,0,,2.833333,false,85083320955|85134168352|85139817255|105009528152|105031821967,https://www.scopus.com/authid/detail.uri?authorId=56081528100,provisional_query_candidates
14,8,57203170141,Petersen N.B.G.,5,5,2,4,0,,2.25,false,85074029219|85092586367|86000435450|105002152711|105040241040,https://www.scopus.com/authid/detail.uri?authorId=57203170141,provisional_query_candidates
15,8,57219597903,Viskupič F.,5,5,5,0,0,,2.166667,false,85126999861|85127199567|85136147119|85185931485|105015504490,https://www.scopus.com/authid/detail.uri?authorId=57219597903,provisional_query_candidates
16,16,6602110388,Bernauer T.,4,4,1,3,0,,1.2,false,85120781136|85124455446|85159334579|105034645576,https://www.scopus.com/authid/detail.uri?authorId=6602110388,provisional_query_candidates
17,16,6603559510,Turgeon M.,4,4,2,2,0,,1.833333,true,85192081135|85205391449|85213031996|105044141502,https://www.scopus.com/authid/detail.uri?authorId=6603559510,provisional_query_candidates
18,16,6603567230,Schwappach D.,4,4,2,2,0,,1.233333,false,84885023194|84892582359|84905844148|84929940704,https://www.scopus.com/authid/detail.uri?authorId=6603567230,provisional_query_candidates
19,16,7201409088,Maier G.W.,4,4,0,4,0,,1.5,false,85053075271|85098282691|85134061868|85140629841,https://www.scopus.com/authid/detail.uri?authorId=7201409088,provisional_query_candidates
20,16,7201577863,Torres-Hostos L.R.,4,4,0,4,0,,0.619048,false,85114677569|85145825392|85169688524|105004450315,https://www.scopus.com/authid/detail.uri?authorId=7201577863,provisional_query_candidates
21,16,7406604498,Johnson M.K.,4,4,1,3,0,,1.833333,false,85103905289|85133863087|86000296951|105042428497,https://www.scopus.com/authid/detail.uri?authorId=7406604498,provisional_query_candidates
22,16,8967284700,Barry C.L.,4,4,2,2,0,,0.9,false,84895906473|84920264253|84938826081|85027916630,https://www.scopus.com/authid/detail.uri?authorId=8967284700,provisional_query_candidates
