position,score_rank,authid,name,n_articles,n_text_cue_articles,n_first,n_last,n_panel_cue_articles,panel_provider_cues,fractional_credit_on_counted_articles,tess_investigator_in_frozen_roster,article_ids,scopus_author_url,status
1,1,6602110388,Bernauer T.,21,2,4,17,0,,7.4,false,84878013138|84975459634|84975789795|84992341283|85003864913|85016025310|85062085474|85067680513|85083863861|85103645348|85104056574|85104712462|85120781136|85159334579|85159582567|85179742651|85182577401|85187132462|85202949339|85206976729|105006801172,https://www.scopus.com/authid/detail.uri?authorId=6602110388,provisional_query_candidates
2,1,12767146800,Kriner D.L.,21,2,7,16,0,,10.666667,true,84870179613|84897075398|84907224950|84946070200|84978906427|84995578409|85014593137|85014649599|85014922403|85040085886|85041625323|85073310147|85094221120|85096943476|85099406266|85125698803|85127254828|85127581823|85136722514|85179678265|105042603565,https://www.scopus.com/authid/detail.uri?authorId=12767146800,provisional_query_candidates
3,3,7102611306,Horne C.,13,12,9,4,0,,5.7,true,84878482584|84921455919|85053509639|85058618008|85074603977|85085764776|85103905289|85111820523|85111834004|85133863087|85207005517|86000296951|105042428497,https://www.scopus.com/authid/detail.uri?authorId=7102611306,provisional_query_candidates
4,3,23095594600,Rand D.G.,13,5,0,13,1,Lucid,3.3,false,85101069099|85103049149|85117921915|85120323140|85120491400|85127735283|85130585909|85149118557|85163212575|85193970570|85205594046|85206618776|105008878283,https://www.scopus.com/authid/detail.uri?authorId=23095594600,provisional_query_candidates
5,3,36775562800,Robbins B.,13,1,12,7,3,Amazon Mechanical Turk,9.0,false,84944232504|84983314158|85033780100|85033788510|85044032298|85066959974|85089290541|85097264174|85126184203|85136531185|85197852159|85200831312|105008067194,https://www.scopus.com/authid/detail.uri?authorId=36775562800,provisional_query_candidates
6,3,37065230200,Wagner M.,13,1,2,11,0,,4.583333,false,84927910242|85041617753|85065801512|85092367680|85102185208|85170705867|85174062271|85175473443|85175495163|85193819898|105014927185|105018032059|105048098704,https://www.scopus.com/authid/detail.uri?authorId=37065230200,provisional_query_candidates
7,7,12794521600,Bolsen T.,12,8,10,2,0,,4.47619,true,84901037027|84943199945|85008246775|85044370343|85057148304|85062719018|85070298879|85130733510|85167408025|85209378959|85216215252|85217158927,https://www.scopus.com/authid/detail.uri?authorId=12794521600,provisional_query_candidates
8,7,25224644900,Pedersen R.T.,12,3,12,2,0,,5.916667,false,85034662474|85046645518|85070986430|85071235282|85083358513|85083672997|85110876599|85125441524|85196067903|85214572618|105019779764|105040241040,https://www.scopus.com/authid/detail.uri?authorId=25224644900,provisional_query_candidates
9,7,54881904100,Bauer N.,12,3,10,8,0,,8.083333,true,84957805398|85014540568|85043332442|85048742659|85067352245|85076027417|85076167276|85095117105|85101803291|85122780387|105005597308|105005626231,https://www.scopus.com/authid/detail.uri?authorId=54881904100,provisional_query_candidates
10,7,55091186500,Ono Y.,12,5,3,9,0,,5.166667,false,85054952173|85113817293|85129159055|85135896371|85136473193|85186447775|85219095528|105000131600|105009206681|105009501936|105021366057|105040509962,https://www.scopus.com/authid/detail.uri?authorId=55091186500,provisional_query_candidates
