position,score_rank,authid,name,n_articles,n_text_cue_articles,n_first,n_last,n_panel_cue_articles,panel_provider_cues,fractional_credit_on_counted_articles,tess_investigator_in_frozen_roster,article_ids,scopus_author_url,status,in_dashboard_pool
96,96,6601956224,Gastil J.,6,2,3,3,0,,2.342857,false,85044835879|85052006071|85065670412|85112265805|85165893967|105024003881,https://www.scopus.com/authid/detail.uri?authorId=6601956224,provisional_query_candidates,true
97,96,6602533817,Tallberg J.,6,1,0,6,0,,2.333333,false,85063328286|85079670115|85143234663|85213405493|105012399638|105022218358,https://www.scopus.com/authid/detail.uri?authorId=6602533817,provisional_query_candidates,true
98,96,6602698051,Bonoli G.,6,2,2,4,0,,1.75,false,85096834370|85111715301|85113190278|85124909847|85199078378|85212286208,https://www.scopus.com/authid/detail.uri?authorId=6602698051,provisional_query_candidates,true
99,96,7006126634,Blais A.,6,0,4,2,0,,2.25,false,85078899431|85088578914|85108140441|85120876506|85160106921|85201964089,https://www.scopus.com/authid/detail.uri?authorId=7006126634,provisional_query_candidates,true
100,96,7102332636,James O.,6,0,4,2,0,,2.666667,false,85014596724|85038355714|85088856469|85089985354|85095755893|85101865548,https://www.scopus.com/authid/detail.uri?authorId=7102332636,provisional_query_candidates,true
101,96,7801629573,Gollust S.E.,6,3,2,4,0,,1.810256,false,84855649978|84922827993|85032820440|85053865862|85135189737|85135896966,https://www.scopus.com/authid/detail.uri?authorId=7801629573,provisional_query_candidates,false
102,96,8159413200,Tucker J.A.,6,2,0,6,0,,1.72619,false,84881256137|85079376382|85098065841|85134755415|85176605621|105014443993,https://www.scopus.com/authid/detail.uri?authorId=8159413200,provisional_query_candidates,false
103,96,8223892400,Kam C.D.,6,0,4,3,0,,3.5,true,77951243471|84965060503|84983269069|85074396257|85075487342|85076668775,https://www.scopus.com/authid/detail.uri?authorId=8223892400,provisional_query_candidates,false
104,96,8532420500,Wauters B.,6,1,1,5,0,,2.666667,false,85045047689|85056771847|85074752487|85087715181|85195873095|85210157920,https://www.scopus.com/authid/detail.uri?authorId=8532420500,provisional_query_candidates,false
105,96,8547908900,Geys B.,6,1,1,5,0,,2.666667,false,85042566118|85102431958|85125415908|85164153637|85181832228|105005871889,https://www.scopus.com/authid/detail.uri?authorId=8547908900,provisional_query_candidates,false
106,96,12779778800,Hopkins D.J.,6,1,6,1,0,,3.0,true,77952988385|84987948210|85019962970|85053875657|85086564155|85200315574,https://www.scopus.com/authid/detail.uri?authorId=12779778800,provisional_query_candidates,false
107,96,14035294700,Dafoe A.,6,0,4,2,0,,2.0,false,85054537592|85076132830|85091726021|85095409059|85102415653|85128232507,https://www.scopus.com/authid/detail.uri?authorId=14035294700,provisional_query_candidates,false
108,96,16029149900,Niederdeppe J.,6,5,2,4,2,Amazon Mechanical Turk|Lucid,1.777778,false,84891364778|84895906473|84955165916|85032820440|85073105603|85184585795,https://www.scopus.com/authid/detail.uri?authorId=16029149900,provisional_query_candidates,false
109,96,16066752900,Aharoni E.,6,4,6,0,0,,1.583333,false,85057293626|85089124721|85120438138|85132734289|85159865660|85205233423,https://www.scopus.com/authid/detail.uri?authorId=16066752900,provisional_query_candidates,false
110,96,16308652800,Christenson D.P.,6,0,6,0,0,,2.5,false,84995578409|85014649599|85014922403|85073310147|85091800462|85096943476,https://www.scopus.com/authid/detail.uri?authorId=16308652800,provisional_query_candidates,false
111,96,16744169900,Johns R.,6,1,3,3,0,,2.666667,true,84867729433|84910055748|85042088759|85097599267|85193702342|105000064992,https://www.scopus.com/authid/detail.uri?authorId=16744169900,provisional_query_candidates,false
112,96,23986892700,Woessmann L.,6,2,0,6,0,,1.644444,false,85054296507|85087123386|85091761345|85092077537|85140091650|85169833302,https://www.scopus.com/authid/detail.uri?authorId=23986892700,provisional_query_candidates,false
113,96,25958739200,Socia K.M.,6,4,4,3,1,YouGov,2.666667,false,85047170366|85075248126|85120698313|85129583494|85138407074|105039666012,https://www.scopus.com/authid/detail.uri?authorId=25958739200,provisional_query_candidates,false
114,96,35173613400,Robertson C.,6,3,5,1,0,,1.592857,false,85083499796|85116325673|85141941005|85168628918|85173862640|105024187231,https://www.scopus.com/authid/detail.uri?authorId=35173613400,provisional_query_candidates,false
115,96,35233854900,Kaneko S.,6,3,0,6,0,,3.0,false,85098731592|85100440176|85111671884|85116940241|85123170519|85161902670,https://www.scopus.com/authid/detail.uri?authorId=35233854900,provisional_query_candidates,false
116,96,35727190200,Nagler R.H.,6,6,4,2,0,,1.242857,false,85063166355|85122303516|85135189737|85171600308|85216006550|86000382291,https://www.scopus.com/authid/detail.uri?authorId=35727190200,provisional_query_candidates,false
117,96,36196237600,Balcells L.,6,1,5,1,0,,2.083333,false,84890164457|84938819185|85121049446|105003059726|105012502605|105039068556,https://www.scopus.com/authid/detail.uri?authorId=36196237600,provisional_query_candidates,false
118,96,36469243000,Stout C.T.,6,2,3,3,1,YouGov,2.583333,false,85053307757|85053519179|85113933079|85120311367|85143980366|85158850487,https://www.scopus.com/authid/detail.uri?authorId=36469243000,provisional_query_candidates,false
119,96,36473880700,Pardos-Prado S.,6,0,1,5,0,,2.833333,false,85071244588|85092319398|85113821753|85129147790|105015663876|105041479806,https://www.scopus.com/authid/detail.uri?authorId=36473880700,provisional_query_candidates,false
120,96,36992463600,Tilcsik A.,6,2,1,6,0,,3.166667,false,85002271166|85062990725|85097428724|85149278306|85173221804|105028036068,https://www.scopus.com/authid/detail.uri?authorId=36992463600,provisional_query_candidates,false
121,96,47062211000,Sauer C.,6,2,2,5,0,,2.333333,false,84875507076|84881086329|84894064305|84898884449|85011629108|85092469299,https://www.scopus.com/authid/detail.uri?authorId=47062211000,provisional_query_candidates,false
122,96,53983153400,Powers R.M.,6,0,3,4,0,,3.166667,false,85088843042|85122069202|85197394346|85200031287|85218098424|105032860235,https://www.scopus.com/authid/detail.uri?authorId=53983153400,provisional_query_candidates,false
123,96,54385071100,Grimmelikhuijsen S.G.,6,1,4,2,0,,2.016667,false,85054185907|85078863162|85087950052|85180178091|85183088890|85217151653,https://www.scopus.com/authid/detail.uri?authorId=54385071100,provisional_query_candidates,false
124,96,54402038900,Willems J.,6,3,2,4,0,,1.9,false,85115302760|85125332474|85129214191|85210732773|105022491747|105032162844,https://www.scopus.com/authid/detail.uri?authorId=54402038900,provisional_query_candidates,false
125,96,54785521400,Utych S.M.,6,0,2,4,0,,2.5,true,85092503959|85111802478|85113217939|85128342626|85128710149|85166397064,https://www.scopus.com/authid/detail.uri?authorId=54785521400,provisional_query_candidates,false
126,96,54939771600,Ayoub P.M.,6,1,6,0,0,,2.333333,false,85099962519|85216486046|105000519465|105002134171|105023045092|105041965396,https://www.scopus.com/authid/detail.uri?authorId=54939771600,provisional_query_candidates,false
127,96,55364149100,Newman B.J.,6,0,5,2,0,,2.916667,true,84995356828|85033714347|85056606391|85067402720|85079694710|85159616043,https://www.scopus.com/authid/detail.uri?authorId=55364149100,provisional_query_candidates,false
128,96,55498802400,Werner A.,6,0,1,5,0,,2.533333,false,85134217067|85143389438|85174613791|85184208831|85190383981|85209221117,https://www.scopus.com/authid/detail.uri?authorId=55498802400,provisional_query_candidates,false
129,96,55604227800,Porumbescu G.,6,0,4,2,0,,2.25,false,85026363078|85054185907|85077701916|85195165540|85210949815|105024575250,https://www.scopus.com/authid/detail.uri?authorId=55604227800,provisional_query_candidates,false
130,96,55735410100,Schlipphak B.,6,0,3,3,0,,2.25,false,85064750490|85124711493|85134557919|85134570877|85182157282|85209079402,https://www.scopus.com/authid/detail.uri?authorId=55735410100,provisional_query_candidates,false
131,96,55738296700,Huang H.,6,3,5,3,0,,4.0,false,85017439852|85046799072|85053873561|85091036820|85100758392|105040150837,https://www.scopus.com/authid/detail.uri?authorId=55738296700,provisional_query_candidates,false
132,96,55787363800,Liu B.,6,0,4,2,0,,1.833333,false,85129226690|85160835182|85161446266|85176725704|105001127398|105017167951,https://www.scopus.com/authid/detail.uri?authorId=55787363800,provisional_query_candidates,false
133,96,55955809300,Petzold K.,6,2,5,4,0,,4.5,false,85012923611|85050192071|85058308933|85066796429|85083390320|85136695741,https://www.scopus.com/authid/detail.uri?authorId=55955809300,provisional_query_candidates,false
134,96,56056445200,Lim S.,6,1,4,2,0,,2.5,false,85061035641|85126806972|85158154615|85206340986|85217138203|105001641509,https://www.scopus.com/authid/detail.uri?authorId=56056445200,provisional_query_candidates,false
135,96,56168369200,Thau M.,6,2,1,5,0,,2.083333,false,85176091880|85196067903|105002152711|105020764129|105024555682|105039885285,https://www.scopus.com/authid/detail.uri?authorId=56168369200,provisional_query_candidates,false
136,96,56180409500,Banda K.K.,6,1,4,5,0,,4.333333,false,84928809792|84991766097|85045027073|85065410868|85068611268|85071449219,https://www.scopus.com/authid/detail.uri?authorId=56180409500,provisional_query_candidates,false
137,96,56256131200,Kantorowicz J.,6,0,4,2,0,,2.45,false,85107472095|85177160946|85184401293|85211024270|105004056027|105041049895,https://www.scopus.com/authid/detail.uri?authorId=56256131200,provisional_query_candidates,false
138,96,56281778100,Yeh Y.Y.,6,2,2,4,2,Amazon Mechanical Turk,2.166667,false,85017439852|85109261971|85174313637|85201967593|105041986691|105047389993,https://www.scopus.com/authid/detail.uri?authorId=56281778100,provisional_query_candidates,false
139,96,56394620600,Kiratli O.S.,6,0,5,4,0,,4.333333,false,85075140130|85089676686|85124711493|85146277524|85182157282|105019246500,https://www.scopus.com/authid/detail.uri?authorId=56394620600,provisional_query_candidates,false
140,96,56421548300,McDowell D.,6,0,3,3,0,,2.416667,false,85198640867|85198928846|85198999643|85205707787|105014746447|105035324372,https://www.scopus.com/authid/detail.uri?authorId=56421548300,provisional_query_candidates,false
141,96,56432557600,Fossati F.,6,1,5,1,0,,2.116667,false,85077337141|85096301151|85096834370|85144266639|85154072857|85195662019,https://www.scopus.com/authid/detail.uri?authorId=56432557600,provisional_query_candidates,false
142,96,56487997200,Wratil C.,6,2,1,5,0,,2.233333,false,85087511720|85123717163|85146260244|85167901790|85210970407|105003592596,https://www.scopus.com/authid/detail.uri?authorId=56487997200,provisional_query_candidates,false
143,96,56523595800,Liu M.,6,2,6,2,0,,4.0,true,84943378770|84992630887|85042199807|85048798335|85056541355|85114939275,https://www.scopus.com/authid/detail.uri?authorId=56523595800,provisional_query_candidates,false
144,96,56554105500,Gummer T.,6,3,3,3,0,,2.166667,false,85030673307|85077722204|85090236618|85127278669|85139110080|85162915967,https://www.scopus.com/authid/detail.uri?authorId=56554105500,provisional_query_candidates,false
