authid,full_name,scopus_id,authorship_position,sample_us_label
6602110388,Thomas Bernauer,84975459634,first,non_us
6602110388,Thomas Bernauer,84975789795,first,unclear
6602110388,Thomas Bernauer,84992341283,last,unclear
6602110388,Thomas Bernauer,85003864913,last,non_us
6602110388,Thomas Bernauer,85016025310,first,non_us
6602110388,Thomas Bernauer,85062085474,last,us_explicit
6602110388,Thomas Bernauer,85064636420,first,non_us
6602110388,Thomas Bernauer,85067680513,last,non_us
6602110388,Thomas Bernauer,85082430134,last,us_explicit
6602110388,Thomas Bernauer,85083863861,last,non_us
6602110388,Thomas Bernauer,85103645348,last,us_explicit
6602110388,Thomas Bernauer,85104056574,last,non_us
6602110388,Thomas Bernauer,85104712462,last,us_explicit
6602110388,Thomas Bernauer,85112464435,last,unclear
6602110388,Thomas Bernauer,85120781136,last,non_us
6602110388,Thomas Bernauer,85124196620,last,us_explicit
6602110388,Thomas Bernauer,85124455446,last,non_us
6602110388,Thomas Bernauer,85141374427,last,us_inferred
6602110388,Thomas Bernauer,85159235309,last,non_us
6602110388,Thomas Bernauer,85159334579,last,non_us
6602110388,Thomas Bernauer,85159582567,last,non_us
6602110388,Thomas Bernauer,85179742651,last,us_explicit
6602110388,Thomas Bernauer,85182577401,last,non_us
6602110388,Thomas Bernauer,85187132462,last,non_us
6602110388,Thomas Bernauer,85202949339,last,us_explicit
6602110388,Thomas Bernauer,85203879255,last,non_us
6602110388,Thomas Bernauer,85206976729,last,non_us
6602110388,Thomas Bernauer,105006801172,last,non_us
6602110388,Thomas Bernauer,105034645576,first,non_us
6602110388,Thomas Bernauer,105037769935,last,non_us
6602110388,Thomas Bernauer,105043534448,last,us_explicit
12767146800,Douglas L. Kriner,84978906427,first,non_us
12767146800,Douglas L. Kriner,84995578409,last,us_explicit
12767146800,Douglas L. Kriner,85014593137,last,us_explicit
12767146800,Douglas L. Kriner,85014649599,last,us_inferred
12767146800,Douglas L. Kriner,85014922403,last,us_inferred
12767146800,Douglas L. Kriner,85040085886,first,us_explicit
12767146800,Douglas L. Kriner,85041625323,sole,us_inferred
12767146800,Douglas L. Kriner,85073310147,last,unclear
12767146800,Douglas L. Kriner,85094221120,last,us_explicit
12767146800,Douglas L. Kriner,85096943476,last,us_inferred
12767146800,Douglas L. Kriner,85099406266,last,us_explicit
12767146800,Douglas L. Kriner,85125698803,last,us_explicit
12767146800,Douglas L. Kriner,85127254828,last,us_explicit
12767146800,Douglas L. Kriner,85127581823,last,us_inferred
