authid,name,total_article_count,before_us_count,after_us_count,change_us_count,before_us_competition_rank,after_us_competition_rank,rank_scope
12794521600,Toby Bolsen,14,11,12,1,4,3,same_120_author_pool
37063497400,Kevin J. Mullinix,11,8,9,1,13,9,same_120_author_pool
16029149900,Niederdeppe J.,10,7,8,1,21,14,same_120_author_pool
56590030100,Alexander Coppock,9,7,8,1,21,14,same_120_author_pool
57203528227,Jonathan A. Chu,11,7,8,1,21,14,same_120_author_pool
35745930100,David Doherty,10,6,7,1,33,24,same_120_author_pool
56611317200,John V. Kane,9,6,7,1,33,24,same_120_author_pool
57188971604,Sarah R. Maxey,8,6,7,1,33,24,same_120_author_pool
57193195374,Kingsland J.T.,7,5,6,1,42,36,same_120_author_pool
8967284700,Barry C.L.,7,3,4,1,63,51,same_120_author_pool
56196951600,Omer Yair,8,1,2,1,86,74,same_120_author_pool
