authid,name,total_article_count,total_competition_rank,current_us_count,current_us_competition_rank,unresolved_articles,us_upper_resolution_scenario,total_leader_with_cutoff_ties,local_inbox_pdfs,queue_scopus_ids
57190437914,Yang J.,14,5,5,43,9,14,true,0,105006979320|105041055052|84871574553|85075347270|85078680582|85148430045|85148586642|85174311475|85175564499
25422239000,Pagliaro S.,10,33,0,101,8,8,true,0,105033016908|105044379006|84903748767|84925854096|85044528926|85068603406|85076153395|85108453160
36775562800,Blaine G. Robbins,13,10,6,36,7,13,true,0,105008067194|84983314158|85033780100|85033788510|85044032298|85066959974|85097264174
6603030334,de Vreese C.,7,83,0,101,7,7,true,0,84874531907|85011436327|105019107189|79952303910|84858188882|85011573622|85020013077
26036187400,Lecheler S.,8,53,0,101,6,6,true,0,84874531907|85011436327|84938421606|85048610997|85096343184|85162699203
57203655130,Kathleen Searles,8,53,3,64,5,8,true,0,77956761607|84995760092|85055564646|85114860836|85138320659
16066752900,Aharoni E.,7,83,2,74,5,7,true,0,84874724915|85057293626|85120438138|85159865660|85205233423
16244346100,Caillier J.G.,7,83,2,74,5,7,true,0,105020824878|85087519641|85138294292|85152024166|85196301348
25224644900,Rasmus Tue Pedersen,14,5,1,87,5,6,true,1,105019779764|85046645518|85083672997|85125441524|85196067903
7003787305,Gregg G. Van Ryzin,13,10,7,24,4,11,true,0,84918780367|84963994831|85067581830|85096111198
55319086800,Cabrera L.Y.,8,53,4,51,4,8,true,0,85147352823|85179785954|85194978458|85206878187
55494876700,David R. Miller,8,53,4,51,4,8,true,0,105019368716|85106176160|85126450365|85212059156
56180409500,Banda K.K.,8,53,4,51,4,8,true,0,84928809792|85045027073|85068611268|85071449219
57211410814,Hunter M. Boehme,8,53,4,51,4,8,true,0,105021850455|105034680050|85172009271|85196196052
35784707400,Susan M. Miller,7,83,3,64,4,7,true,0,85064259638|85127205226|85137333494|85162955443
36159270600,Teppei Yamamoto,10,33,3,64,4,7,true,0,105001181982|84892498539|85041214633|85172870189
56354967100,Donald P. Moynihan,8,53,3,64,4,7,true,0,105038401018|84882700655|84944081200|85019676280
54881904100,Nichole M. Bauer,12,16,9,9,3,12,true,0,85043332442|85076027417|85101803291
57217457882,Gregory A. Huber,12,16,9,9,3,12,true,0,105007228428|85064539825|85208657819
35745930100,David Doherty,10,33,7,24,3,10,true,0,84945247501|85069695771|85086600850
55612017400,Erik Peterson,9,38,6,36,3,9,true,0,85053665784|85064805724|85099984460
7801629573,Gollust S.E.,8,53,5,43,3,8,true,0,85135189737|85053865862|85173465973
7401620196,Daniel M. Butler,8,53,4,51,3,7,true,0,84929260244|84938501817|84992092827
8967284700,Barry C.L.,7,83,4,51,3,7,true,0,84928790041|84879423612|84920264253
35727190200,Nagler R.H.,7,83,4,51,3,7,true,0,85135189737|85122303516|85190156129
56734108300,Mogens Jin Pedersen,12,16,3,64,3,6,true,0,84940214050|84975770291|85040459526
7006059165,Maykel Verkuyten,13,10,0,101,3,3,true,0,84894591630|84922551432|84943817918
56689411500,Mette Kjærgaard Thomsen,8,53,0,101,3,3,true,0,105035149198|85084494184|85151429736
16305967100,Robb Willer,13,10,11,5,2,13,true,0,105009546258|85084324260
23095594600,David G. Rand,13,10,10,6,2,12,true,0,85205594046|85206618776
