scopus_id,identity,doi,title,year,journal,article_url,current_geography,credited_author_ids,credited_researchers,n_credited_pool_authors,n_top50_total_authors,n_top50_us_authors,n_total_leaders_including_cutoff_ties,top50_tied_pairs_broken_if_us,top50_new_ties_if_us,leader114_tied_pairs_broken_if_us,leader114_new_ties_if_us,pool120_tied_pairs_broken_if_us,pool120_new_ties_if_us,maximum_current_us_count,minimum_current_total_rank,available_historical_inbox_pdf,user_download_status,existing_followup,prior_automatic_acquisition_status,latest_priority_round_status,prior_open_location_url,review_action,interpretation,new_top50_tied_pairs_covered_at_selection,queue_position,download_batch,download_position,suggested_filename
105033016908,doi:10.1177/10778012261422244,10.1177/10778012261422244,"Morality and the Social Perception of Intimate Partner Violence (IPV): Women's Attributions of Prototypicality to, and Social Distancing Toward, the Victim",2026,Violence Against Women,https://doi.org/10.1177/10778012261422244,unclear,25422239000,Pagliaro S.,1,1,0,1,19,14,19,14,19,14,0,33,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,19,1,1,1,105033016908.pdf
84928790041,doi:10.1093/poq/nfu026,10.1093/poq/nfu026,Inoculation in competitive framing examining message effects on policy preferences,2014,Public Opinion Quarterly,https://doi.org/10.1093/poq/nfu026,unclear,16029149900|8967284700,Niederdeppe J.; Barry C.L.,2,1,1,2,9,13,19,13,21,13,8,33,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,9,14,1,2,84928790041.pdf
85179660008,doi:10.1111/1475-6765.12647,10.1111/1475-6765.12647,Carbon inequality and support for carbon taxation,2024,European Journal of Political Research,https://doi.org/10.1111/1475-6765.12647,unclear,57203434746,Liam F. Beiser-McGrath,1,1,1,1,7,7,7,7,7,7,5,38,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,6,24,1,3,85179660008.pdf
85135189737,doi:10.1177/10901981221110832,10.1177/10901981221110832,Vulnerability to the Effects of Conflicting Health Information: Testing the Moderating Roles of Trust in News Media and Research Literacy,2023,Health Education and Behavior,https://doi.org/10.1177/10901981221110832,unclear,35727190200|7801629573,Nagler R.H.; Gollust S.E.,2,0,1,2,7,14,17,14,19,14,5,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,5,28,1,4,85135189737.pdf
85192081135,doi:10.1016/j.electstud.2024.102792,10.1016/j.electstud.2024.102792,Loyalties and interests: How political motivations influence voters’ responses to scandals,2024,Electoral Studies,https://doi.org/10.1016/j.electstud.2024.102792,unclear,6603559510,Turgeon M.,1,0,0,1,8,3,13,12,13,13,1,53,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,4,33,1,5,85192081135.pdf
105020833070,doi:10.1080/1369118x.2025.2565333,10.1080/1369118x.2025.2565333,Promoting news and political information consumption on social media with self-interest and public-interest nudges,2026,Information Communication and Society,https://doi.org/10.1080/1369118x.2025.2565333,unclear,16023197400,Wojcieszak M.,1,0,1,1,7,7,7,7,7,7,5,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,3,35,1,6,105020833070.pdf
105020824878,doi:10.1080/14719037.2025.2582589,10.1080/14719037.2025.2582589,Social influence or normative conflict? An experimental study of online consumer reviews and citizen evaluations of an angency’s service,2025,Public Management Review,https://doi.org/10.1080/14719037.2025.2582589,unclear,16244346100,Caillier J.G.,1,0,0,1,3,2,11,7,12,10,2,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,3,37,1,7,105020824878.pdf
84874724915,doi:10.1037/a0025821,10.1037/a0025821,Punishment without reason: Isolating retribution in lay punishment of criminal offenders,2012,Psychology Public Policy and Law,https://doi.org/10.1037/a0025821,unclear,16066752900,Aharoni E.,1,0,0,1,3,2,11,7,12,10,2,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,3,38,1,8,84874724915.pdf
85182157282,doi:10.1007/s11558-023-09526-z,10.1007/s11558-023-09526-z,"Populism and public attitudes toward international organizations: Voting, communication, and education",2025,Review of International Organizations,https://doi.org/10.1007/s11558-023-09526-z,unclear,56394620600,Kiratli O.S.,1,0,0,1,3,2,11,7,12,10,2,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,3,40,1,9,85182157282.pdf
85097405858,doi:10.1175/wcas-d-19-0141.1,10.1175/wcas-d-19-0141.1,‘‘Don’t Tell Me What to Do’’: Resistance to Climate Change Messages Suggesting Behavior Changes,2020,Weather Climate and Society,https://doi.org/10.1175/wcas-d-19-0141.1,unclear,57193195374,Kingsland J.T.,1,0,1,1,6,12,6,12,6,12,6,83,false,,,not_previously_checked,,,Obtain methods/sampling pages or a source-verified country statement,Hypothetical US-positive resolution of this one article; no estimated probability and no change to total article counts,2,45,1,10,85097405858.pdf
