source_id,journal,issn,n_tess_investigators,investigator_article_links,frame_origin
12004,Journal of Trauma and Dissociation,15299732,2,2,all_publication_years_through_2026
12005,Journal of Traumatic Stress,08949867,2,2,all_publication_years_through_2026
12006,Journal of Vocational Behavior,00018791,5,5,all_publication_years_through_2026
12020,Anxiety Stress and Coping,10615806,2,2,all_publication_years_through_2026
12023,Applied and Preventive Psychology,09621849,5,7,all_publication_years_through_2026
12024,Applied Cognitive Psychology,08884080,11,13,all_publication_years_through_2026
12028,Applied Psychological Measurement,01466216,2,5,all_publication_years_through_2026
12053,Archives of Suicide Research,13811118,2,3,all_publication_years_through_2026
12055,Asian Journal of Social Psychology,13672223,3,3,all_publication_years_through_2026
12057,Media Psychology,15213269,10,27,all_publication_years_through_2026
12058,Assessment,10731911,6,10,all_publication_years_through_2026
12059,Memory,09658211,4,4,all_publication_years_through_2026
12061,Memory and Cognition,0090502X,12,14,all_publication_years_through_2026
12072,International Journal of Educational Development,07380593,3,4,all_publication_years_through_2026
12074,Bulletin of the American Meteorological Society,00030007,1,1,all_publication_years_through_2026
12082,Australian Journal of Psychology,00049530,3,3,all_publication_years_through_2026
12084,Australian Psychologist,00050067,1,1,all_publication_years_through_2026
12088,Basic and Applied Social Psychology,01973533,33,57,all_publication_years_through_2026
12094,Journal of the American Statistical Association,01621459,9,15,all_publication_years_through_2026
12102,Behavior Modification,01454455,3,4,all_publication_years_through_2026
12103,Behavior Research Methods Instruments Computers,07433808,2,2,all_publication_years_through_2026
12107,Behavior Therapy,00057894,4,9,all_publication_years_through_2026
12108,Behavioral and Brain Sciences,0140525X,19,28,all_publication_years_through_2026
12111,Behavioral Medicine,08964289,2,2,all_publication_years_through_2026
12115,Journal of Economic and Social Measurement,07479662,2,2,all_publication_years_through_2026
12123,Behavioral Sciences and the Law,07353936,5,7,all_publication_years_through_2026
12125,Behaviour and Information Technology,0144929X,4,4,all_publication_years_through_2026
12126,Behaviour Change,08134839,1,1,all_publication_years_through_2026
12127,Behaviour Research and Therapy,00057967,7,7,all_publication_years_through_2026
12134,Journal of Official Statistics,0282423X,10,24,all_publication_years_through_2026
12137,Journal of Statistical Software,15487660,4,8,all_publication_years_through_2026
12145,Biological Psychology,03010511,5,6,all_publication_years_through_2026
12162,Journal of the Marine Biological Association of the United Kingdom,00253154,1,1,all_publication_years_through_2026
12163,Brain and Cognition,02782626,1,1,all_publication_years_through_2026
12165,Marine Biology,00253162,1,2,all_publication_years_through_2026
12177,Climatic Change,01650009,10,25,all_publication_years_through_2026
12188,Simulation and Gaming,10468781,1,1,all_publication_years_through_2026
12191,Journal of Arthroplasty,08835403,1,1,all_publication_years_through_2026
12198,Journal of Bone and Joint Surgery,00219355,2,5,all_publication_years_through_2026
12201,Journal of Bone and Joint Surgery Series B,0301620X,1,1,all_publication_years_through_2026
12211,Journal of Bone and Mineral Research,08840431,1,1,all_publication_years_through_2026
12212,Journal of Critical Care,08839441,2,2,all_publication_years_through_2026
12216,Molecular Biology and Evolution,07374038,1,1,all_publication_years_through_2026
12220,Journal of Muscle Research and Cell Motility,01424319,1,2,all_publication_years_through_2026
12235,Journal of Neurotrauma,08977151,1,1,all_publication_years_through_2026
12239,Journal of Orthopaedic Research,07360266,2,3,all_publication_years_through_2026
12244,Journal of Health and Social Policy,08977186,1,1,all_publication_years_through_2026
12247,Journal of Human Behavior in the Social Environment,10911359,1,1,all_publication_years_through_2026
12252,Journal of Public Health United Kingdom,17413842,1,1,all_publication_years_through_2026
12265,Journal of Rehabilitation Research and Development,07487711,1,1,all_publication_years_through_2026
12282,Journal of Social Policy,00472794,1,1,all_publication_years_through_2026
12283,Journal of Social Service Research,01488376,1,1,all_publication_years_through_2026
12284,Surface Science,00396028,1,1,all_publication_years_through_2026
12308,Journal of Social Work Education,10437797,2,3,all_publication_years_through_2026
