version,measure,n_researchers,distinct_counts,tied_researchers,tied_pairs,all_pairs,tied_pair_percent,largest_tie_group,minimum,maximum,mean
previous_dashboard_2016_metadata,n_articles,100,12,96,774,4950,15.636,22,6,31,8.63
previous_dashboard_2016_metadata,n_us_articles,100,12,98,513,4950,10.364,17,0,14,3.52
previous_pool_2016_with_pdf_reviews,n_articles,100,12,96,774,4950,15.636,22,6,31,8.63
previous_pool_2016_with_pdf_reviews,n_us_articles,100,14,97,478,4950,9.657,17,0,15,3.95
current_pool_2016_metadata,n_articles,100,15,94,687,4950,13.879,22,3,31,8.54
current_pool_2016_metadata,n_us_articles,100,12,98,519,4950,10.485,17,0,14,3.51
current_pool_2010_metadata,n_articles,100,12,97,773,4950,15.616,29,6,33,9.3
current_pool_2010_metadata,n_us_articles,100,12,98,504,4950,10.182,17,0,18,3.77
current_pool_2016_with_pdf_reviews,n_articles,100,15,94,687,4950,13.879,22,3,31,8.54
current_pool_2016_with_pdf_reviews,n_us_articles,100,14,97,480,4950,9.697,17,0,15,3.94
current_dashboard_2010_with_pdf_reviews,n_articles,100,12,97,773,4950,15.616,29,6,33,9.3
current_dashboard_2010_with_pdf_reviews,n_us_articles,100,14,96,459,4950,9.273,17,0,19,4.28
