scopus_id,title,reviewer_shard
84892498539,Causal inference in conjoint analysis: Understanding multidimensional choices via stated preference experiments,root
84903748767,Helping victims of intimate partner violence: The influence of group norms among lay people and the police,root
84907487526,Three experimental approaches to measure the social context dependence of prejudice communication and discriminatory behavior,root
84922551432,In-group bias in children's intention to help can be overpowered by inducing empathy,root
84925854096,She’s Not a Person.. She’s Just a Woman! Infra-Humanization and Intimate Partner Violence,root
84928790041,Inoculation in competitive framing examining message effects on policy preferences,root
84943817918,First Arrival and Collective Land Ownership: How Children Reason About Who Owns the Land,strategy
84945247501,When is Changing Policy Positions Costly for Politicians? Experimental Evidence,strategy
84975770291,Improving Survey Response Rates in Online Panels: Effects of Low-Cost Incentives and Cost-Free Text Appeal Interventions,strategy
85012118612,The conditional nature of the local warming effect,strategy
85020188394,A Bottom-Up Theory of Public Opinion about Foreign Policy,strategy
85041214633,The Number of Choice Tasks and Survey Satisficing in Conjoint Experiments,strategy
85053865862,Communicating with providers about racial healthcare disparities: The role of providers’ prior beliefs on their receptivity to different narrative frames,participant
85059103503,Information and Issue Constraints on Party Cues,participant
85064539825,On the Meaning of Survey Reports of Roll-Call “Votes”,participant
85064805724,Demand effects in survey experiments: An empirical assessment,participant
85068603406,"Ethical climate(s), organizational identification, and employees' behavior",participant
