queue_position,batch,scopus_id,suggested_filename,title,year,journal,doi,article_url,credited_authids,credited_researchers,n_credited_researchers,rationale,question,requested_evidence,local_pdf_available,local_filenames,download_status,open_access_status,open_access_note,needed_material,fulltext_review_note,manual_download_url,acquired_from_url,top50_us_tied_pairs_separated_if_us,top50_total_ties_differentiated_if_us,distinct_tied_pairs_separated_if_us,new_top50_us_tied_pairs_if_us,potential_priority_weight,us_positive_scenario,manual_retrieval_status,manual_retrieval_note,new_pair_coverage_in_batch,tie_priority_position,tie_priority_batch
9,1,84878955277,84878955277.pdf,An Experimental Test of the Expectancy-Disconfirmation Theory of Citizen Satisfaction,2013,Journal of Policy Analysis and Management,10.1002/pam.21702,https://doi.org/10.1002/pam.21702,7003787305,Gregg G. Van Ryzin,1,The Internet panel's country is unspecified.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1002/pam.21702,,9,0,9,10,1.28571429,"Gregg G. Van Ryzin: US 6→7, rank 28→18",,,9,1,1
53,6,85106950513,85106950513.pdf,The limited effects of partisan and consensus messaging in correcting science misperceptions,2021,Research and Politics,10.1177/20531680211014980,https://doi.org/10.1177/20531680211014980,35759060800,Brendan Nyhan,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,gold,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://doi.org/10.1177/20531680211014980,,9,0,9,8,0.58730159,"Brendan Nyhan: US 7→8, rank 18→10",,,9,2,1
41,5,105008461820,105008461820.pdf,The Effects of Forecasts on the Accuracy and Precision of Expectations,2025,Public Opinion Quarterly,10.1093/poq/nfaf003,https://doi.org/10.1093/poq/nfaf003,14034772300,Jason Reifler,1,French election is treatment topic; respondent nationality or residence unstated.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,hybrid,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://academic.oup.com/poq/advance-article-pdf/doi/10.1093/poq/nfaf003/63139228/nfaf003.pdf,,9,0,9,8,0.58730159,"Jason Reifler: US 7→8, rank 18→10",,,8,3,1
42,5,80054939891,80054939891.pdf,Are financial or moral scandals worse? It depends,2011,PS Political Science and Politics,10.1017/S1049096511001247,https://doi.org/10.1017/S1049096511001247,35745930100,David Doherty,1,The country of the national survey is unspecified.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1017/S1049096511001247,,9,1,9,10,0.56390977,"David Doherty: US 6→7, rank 28→18",,,8,4,1
14,2,84944232504,84944232504.pdf,From the general to the specific: How social trust motivates relational trust,2016,Social Science Research,10.1016/j.ssresearch.2015.09.004,https://doi.org/10.1016/j.ssresearch.2015.09.004,36775562800,Blaine G. Robbins,1,MTurk and university students do not establish country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1016/j.ssresearch.2015.09.004,,7,0,7,10,1.0,"Blaine G. Robbins: US 5→6, rank 38→28",,,7,5,1
61,7,84887527789,84887527789.pdf,"Religious Value Priming, Threat, and Political Tolerance",2013,Political Research Quarterly,10.1177/1065912912471203,https://doi.org/10.1177/1065912912471203,24474160700,Brian R. Calfano,1,Religious values and tolerance do not identify respondent geography.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/1065912912471203,,7,2,7,1,0.7,"Brian R. Calfano: US 8→9, rank 10→9",,,7,6,1
46,5,85122139505,85122139505.pdf,Inferring Intentions from Consequences: How Moral Judgments Shape Citizen Perceptions of Wartime Conduct,2021,Journal of Experimental Political Science,10.1017/XPS.2020.7,https://doi.org/10.1017/XPS.2020.7,57203528227,Jonathan A. Chu,1,Wartime conduct experiments without sample country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,bronze,"Open location indexed, but no verified PDF could be downloaded automatically",complete article,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/C2EF3862F8069A7C411E28285356EB9A/S205226302000007Xa.pdf/div-class-title-inferring-intentions-from-consequences-how-moral-judgments-shape-citizen-perceptions-of-wartime-conduct-div.pdf,,9,1,9,10,0.56390977,"Jonathan A. Chu: US 6→7, rank 28→18",,,7,7,1
27,3,84957805398,84957805398.pdf,"Emotional, Sensitive, and Unfit for Office? Gender Stereotype Activation and Support Female Candidates",2015,Political Psychology,10.1111/pops.12186,https://doi.org/10.1111/pops.12186,54881904100,Nichole M. Bauer,1,Female-candidate stereotypes do not locate the experimental respondents.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1111/pops.12186,,7,0,7,1,0.7,"Nichole M. Bauer: US 8→9, rank 10→9",,,6,8,1
54,6,85030544249,85030544249.pdf,TOWARD A BIFURCATED THEORY OF EMOTIONAL DETERRENCE,2018,Criminology,10.1111/1745-9125.12153,https://doi.org/10.1111/1745-9125.12153,38061940400,Justin T. Pickett,1,Nationwide sample without country.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1111/1745-9125.12153,,9,0,9,10,0.46240602,"Justin T. Pickett: US 6→7, rank 28→18",,,6,9,1
98,10,85066842117,85066842117.pdf,"Backing up, not backing down: Mitigating audience costs through policy substitution",2019,Journal of Peace Research,10.1177/0022343319832641,https://doi.org/10.1177/0022343319832641,23479932300,Erik Lin-Greenberg,1,Available metadata does not locate the experimental sample.,Does at least one experimental sample include US-based participants?,"Methods/sampling page, participant country, and which experiment it applies to.",false,,manual_download_needed,closed,No open location found in the checked metadata; manual search or institutional access may succeed,complete article,,https://doi.org/10.1177/0022343319832641,,7,0,7,10,0.32706767,"Erik Lin-Greenberg: US 5→6, rank 38→28",,,6,10,1
