researcher,variant,any_author_position,first_last_candidate_articles,status
Jay J. Van Bavel,specific_clause,1,1,"Development author-bibliography retrieval only, not confirmed experiments or recall"
Jay J. Van Bavel,grouped_clause,1,1,"Development author-bibliography retrieval only, not confirmed experiments or recall"
Jay J. Van Bavel,previous_primary,0,0,"Development author-bibliography retrieval only, not confirmed experiments or recall"
Jay J. Van Bavel,previous_candidate,4,1,"Development author-bibliography retrieval only, not confirmed experiments or recall"
Jay J. Van Bavel,targeted,1,1,"Development author-bibliography retrieval only, not confirmed experiments or recall"
Jay J. Van Bavel,primary_plus_specific,1,1,"Development author-bibliography retrieval only, not confirmed experiments or recall"
Jay J. Van Bavel,broad_plus_specific,5,2,"Development author-bibliography retrieval only, not confirmed experiments or recall"
Kurt Gray,specific_clause,1,1,"Development author-bibliography retrieval only, not confirmed experiments or recall"
Kurt Gray,grouped_clause,1,1,"Development author-bibliography retrieval only, not confirmed experiments or recall"
Kurt Gray,previous_primary,0,0,"Development author-bibliography retrieval only, not confirmed experiments or recall"
Kurt Gray,previous_candidate,2,1,"Development author-bibliography retrieval only, not confirmed experiments or recall"
Kurt Gray,targeted,1,1,"Development author-bibliography retrieval only, not confirmed experiments or recall"
Kurt Gray,primary_plus_specific,1,1,"Development author-bibliography retrieval only, not confirmed experiments or recall"
Kurt Gray,broad_plus_specific,3,2,"Development author-bibliography retrieval only, not confirmed experiments or recall"
