authid,name,current_published_count,current_raw_frozen_byline_count,current_raw_harmonized_byline_count,count_difference_from_old_local_filter,count_difference_from_byline_enrichment,total_raw_minus_published
6503853641,Rowling C.M.,1,1,1,0,0,0
6503957547,Lingnau V.,1,1,1,0,0,0
6504003238,Trappmann M.,1,1,1,0,0,0
6504021970,Stoerk T.,1,1,1,0,0,0
6504039959,Slapin J.,1,1,1,0,0,0
6504062437,Walrave M.,1,1,1,0,0,0
6504243751,Wedeking J.,1,1,1,0,0,0
6504459459,Sulitzeanu-Kenan R.,2,2,2,0,0,0
6504591571,Spirling A.,1,1,1,0,0,0
6504607017,Loizides N.,2,2,2,0,0,0
6504610641,Harfst P.,1,1,1,0,0,0
6504645781,Weijters B.,3,3,3,0,0,0
6504647839,Decuypere A.,1,1,1,0,0,0
6504713225,Barigozzi F.,1,1,1,0,0,0
6505777923,Franchino F.,2,2,2,0,0,0
6505784617,Torcal M.,2,2,2,0,0,0
6505791820,Zouridis S.,1,1,1,0,0,0
6505792950,Brader T.,2,2,2,0,0,0
6505804802,Ponnet K.,1,1,1,0,0,0
6505807414,Bulling A.,1,1,1,0,0,0
6505868314,Dolnicar S.,5,5,5,0,0,0
6505870464,Kadivar H.,0,2,2,2,0,2
6505910383,Michael Tomz,7,7,7,0,0,0
6505912362,St-Amour P.,1,1,1,0,0,0
6505942728,Zamarro G.,1,1,1,0,0,0
6505943995,Cassino D.,1,1,1,0,0,0
6505965176,Sheringham J.,1,1,1,0,0,0
6506018677,Kuusisto H.,1,1,1,0,0,0
6506033030,Aardal B.,1,1,1,0,0,0
6506037678,Moyano-Díaz E.,1,1,1,0,0,0
6506070961,Mageau G.A.,1,1,1,0,0,0
6506090416,Nijstad B.,1,1,1,0,0,0
6506216106,Eifler S.,2,2,2,0,0,0
6506217442,Lopoo L.,1,1,1,0,0,0
6506223338,Piquero N.,1,1,1,0,0,0
6506245937,Stocklmayer S.,1,1,1,0,0,0
6506262757,Amirkhanyan A.A.,2,2,2,0,0,0
6506265295,Wampler B.,1,1,1,0,0,0
6506310989,Collins C.,1,1,1,0,0,0
6506375580,Vringer K.,1,1,1,0,0,0
