metric,candidate,comparator,change,authid,name,current_all_count,current_all_rank,current_all_position,current_us_count,current_us_rank,current_us_position,current_pool_count,current_pool_rank,current_pool_position,current_unclear,current_unreviewed,current_us_upper,full_all_count,full_all_rank,full_all_position,full_us_count,full_us_rank,full_us_position,full_pool_count,full_pool_rank,full_pool_position,full_unclear,full_unreviewed,full_us_upper,narrow_all_count,narrow_all_rank,narrow_all_position,narrow_us_count,narrow_us_rank,narrow_us_position,narrow_pool_count,narrow_pool_rank,narrow_pool_position,narrow_unclear,narrow_unreviewed,narrow_us_upper
all,full,current,enter,6603030334,de Vreese C.,3,513,530,,,,0,98,119,,,,7,83,84,0,496,511,0,101,116,7,0,7,7,83,84,0,492,507,0,101,116,7,0,7
all,full,current,enter,6603559510,Turgeon M.,5,166,171,,,,0,98,117,,,,8,53,53,1,149,157,1,86,94,1,0,2,8,53,53,1,149,157,1,86,94,1,0,2
all,full,current,enter,7801629573,Gollust S.E.,6,96,101,,,,4,47,54,,,,8,53,55,5,42,45,5,42,45,3,0,8,8,53,55,5,42,45,5,42,45,3,0,8
all,full,current,enter,8967284700,Barry C.L.,4,292,318,,,,2,69,82,,,,7,83,86,3,68,72,3,63,67,4,0,7,7,83,86,3,68,72,3,63,67,4,0,7
all,full,current,enter,16023197400,Wojcieszak M.,5,166,185,,,,4,47,57,,,,7,83,87,5,42,47,5,42,47,2,0,7,7,83,87,5,42,47,5,42,47,2,0,7
all,full,current,enter,16029149900,Niederdeppe J.,6,96,108,,,,5,40,46,,,,10,33,33,7,21,25,7,21,25,3,0,10,10,33,33,7,21,25,7,21,25,3,0,10
all,full,current,enter,16066752900,Eyal Aharoni,6,96,109,,,,2,69,78,,,,7,83,88,2,88,92,2,74,78,5,0,7,7,83,88,2,88,92,2,74,78,5,0,7
all,full,current,enter,16244346100,Caillier J.G.,4,292,333,,,,1,85,97,,,,7,83,89,2,88,93,2,74,79,5,0,7,7,83,89,2,88,93,2,74,79,5,0,7
all,full,current,enter,25422239000,Pagliaro S.,2,984,1271,,,,0,98,120,,,,10,33,34,0,496,499,0,101,104,8,0,8,10,33,34,0,492,495,0,101,104,8,0,8
all,full,current,enter,26036187400,Lecheler S.,5,166,197,,,,0,98,118,,,,8,53,60,0,496,505,0,101,110,6,0,6,8,53,60,0,492,501,0,101,110,6,0,6
all,full,current,enter,35727190200,Nagler R.H.,6,96,116,,,,4,47,55,,,,7,83,94,4,53,62,4,51,60,3,0,7,7,83,94,4,53,62,4,51,60,3,0,7
all,full,current,enter,36196237600,Balcells L.,6,96,117,,,,0,98,115,,,,7,83,96,0,496,513,0,101,118,0,0,0,7,83,96,0,492,509,0,101,118,0,0,0
all,full,current,enter,55319086800,Cabrera L.Y.,4,292,394,,,,2,69,83,,,,8,53,64,4,53,56,4,51,54,4,0,8,8,53,64,4,53,56,4,51,54,4,0,8
all,full,current,enter,56180409500,Banda K.K.,6,96,136,,,,2,69,79,,,,8,53,69,4,53,59,4,51,57,4,0,8,8,53,69,4,53,59,4,51,57,4,0,8
all,full,current,enter,57190437914,Janet Z. Yang,2,984,1726,,,,2,69,84,,,,14,5,9,5,42,42,5,42,42,9,0,14,13,9,15,5,42,42,5,42,42,8,0,13
all,full,current,enter,57201338729,Merkley E.,6,96,154,,,,1,85,96,,,,8,53,76,1,149,160,1,86,97,2,0,3,8,53,76,1,149,160,1,86,97,2,0,3
all,full,current,leave,6601956224,John Gastil,6,96,96,4,46,46,4,47,52,2,0,6,6,115,117,4,53,63,4,51,61,2,0,6,6,115,117,4,53,63,4,51,61,2,0,6
