variant,display_position,competition_rank,authid,name,n_articles,n_first,n_last,n_sole,n_first_excluding_sole,n_last_excluding_sole,score_tie_size,article_ids,scopus_author_url,status
original_query,83,83,6505910383,Michael Tomz,7,4,3,0,4,3,32,85076169910|85077074496|85116162897|85177488077|85185948624|105014100991|105018760904,https://www.scopus.com/authid/detail.uri?authorId=6505910383,unvalidated_query_candidate_articles
original_query,84,83,6603030334,de Vreese C.,7,2,5,0,2,5,32,79952303910|84858188882|84874531907|85011436327|85011573622|85020013077|105019107189,https://www.scopus.com/authid/detail.uri?authorId=6603030334,unvalidated_query_candidate_articles
original_query,85,83,7003772257,Thomas Hinz,7,0,7,0,0,7,32,77955164049|84897780635|85075374121|85147713538|85156243509|85185333173|85216288234,https://www.scopus.com/authid/detail.uri?authorId=7003772257,unvalidated_query_candidate_articles
original_query,86,83,8967284700,Barry C.L.,7,2,5,0,2,5,32,84879423612|84895906473|84920264253|84928790041|84938826081|85027916630|85064806998,https://www.scopus.com/authid/detail.uri?authorId=8967284700,unvalidated_query_candidate_articles
original_query,87,83,16023197400,Wojcieszak M.,7,1,6,0,1,6,32,84882652583|84939186199|85098748664|85124205644|85195603094|105020833070|105022440662,https://www.scopus.com/authid/detail.uri?authorId=16023197400,unvalidated_query_candidate_articles
original_query,88,83,16066752900,Aharoni E.,7,7,0,0,7,0,32,84874724915|85057293626|85089124721|85120438138|85132734289|85159865660|85205233423,https://www.scopus.com/authid/detail.uri?authorId=16066752900,unvalidated_query_candidate_articles
original_query,89,83,16244346100,Caillier J.G.,7,7,7,7,0,0,32,85042433032|85087519641|85138294292|85152024166|85170831794|85196301348|105020824878,https://www.scopus.com/authid/detail.uri?authorId=16244346100,unvalidated_query_candidate_articles
original_query,90,83,22836955000,Jeroen van der Waal,7,0,7,0,0,7,32,85121628744|85142750388|85169836117|85176231377|85176392346|85192535937|105037057133,https://www.scopus.com/authid/detail.uri?authorId=22836955000,unvalidated_query_candidate_articles
original_query,91,83,23479932300,Erik Lin-Greenberg,7,4,6,3,1,3,32,85066842117|85100751141|85106419798|85131596715|85144972223|85190436333|85208237881,https://www.scopus.com/authid/detail.uri?authorId=23479932300,unvalidated_query_candidate_articles
original_query,92,83,25654666600,Cheryl Boudreau,7,7,0,0,7,0,32,84891492083|85047666016|85050296213|85101015159|85174000856|85202761631|105040346734,https://www.scopus.com/authid/detail.uri?authorId=25654666600,unvalidated_query_candidate_articles
original_query,93,83,35233806200,Scott A. MacKenzie,7,0,7,0,0,7,32,84891492083|85047666016|85050296213|85101015159|85174000856|85202761631|105040346734,https://www.scopus.com/authid/detail.uri?authorId=35233806200,unvalidated_query_candidate_articles
original_query,94,83,35727190200,Nagler R.H.,7,4,3,0,4,3,32,85063166355|85122303516|85135189737|85171600308|85190156129|85216006550|86000382291,https://www.scopus.com/authid/detail.uri?authorId=35727190200,unvalidated_query_candidate_articles
original_query,95,83,35784707400,Susan M. Miller,7,4,3,0,4,3,32,85064259638|85067395049|85077022750|85127205226|85137333494|85162955443|85197616759,https://www.scopus.com/authid/detail.uri?authorId=35784707400,unvalidated_query_candidate_articles
original_query,96,83,36196237600,Balcells L.,7,6,1,0,6,1,32,84890164457|85121049446|85138265945|85202187721|105003059726|105012502605|105039068556,https://www.scopus.com/authid/detail.uri?authorId=36196237600,unvalidated_query_candidate_articles
original_query,97,83,36713939500,Paul Musgrave,7,4,6,3,1,3,32,85127296015|85145200849|85168004718|105000221636|105011632356|105025976814|105039310829,https://www.scopus.com/authid/detail.uri?authorId=36713939500,unvalidated_query_candidate_articles
