variant,comparator,scope,change,authid,name,new_count,old_count,new_rank,old_rank,new_display_position,old_display_position
original_query,current_published,exact_top100,entrant,6603030334,de Vreese C.,7,3,83,513,84,530
original_query,current_published,exact_top100,entrant,6603559510,Turgeon M.,8,5,53,166,53,171
original_query,current_published,exact_top100,entrant,7801629573,Gollust S.E.,8,6,53,96,55,101
original_query,current_published,exact_top100,entrant,8967284700,Barry C.L.,7,4,83,292,86,318
original_query,current_published,exact_top100,entrant,16023197400,Wojcieszak M.,7,5,83,166,87,185
original_query,current_published,exact_top100,entrant,16029149900,Niederdeppe J.,10,6,33,96,33,108
original_query,current_published,exact_top100,entrant,16066752900,Aharoni E.,7,6,83,96,88,109
original_query,current_published,exact_top100,entrant,16244346100,Caillier J.G.,7,4,83,292,89,333
original_query,current_published,exact_top100,entrant,25422239000,Pagliaro S.,10,2,33,984,34,1271
original_query,current_published,exact_top100,entrant,26036187400,Lecheler S.,8,5,53,166,60,197
original_query,current_published,exact_top100,entrant,35727190200,Nagler R.H.,7,6,83,96,94,116
original_query,current_published,exact_top100,entrant,36196237600,Balcells L.,7,6,83,96,96,117
original_query,current_published,exact_top100,entrant,55319086800,Cabrera L.Y.,8,4,53,292,64,394
original_query,current_published,exact_top100,entrant,56180409500,Banda K.K.,8,6,53,96,69,136
original_query,current_published,exact_top100,entrant,57190437914,Yang J.,14,2,5,984,9,1726
original_query,current_published,exact_top100,entrant,57201338729,Merkley E.,8,6,53,96,76,154
original_query,current_published,exact_top100,exit,6601956224,John Gastil,6,6,115,96,117,96
original_query,current_published,exact_top100,exit,6602533817,Jonas Tallberg,6,6,115,96,118,97
original_query,current_published,exact_top100,exit,6602698051,Giuliano Bonoli,6,6,115,96,119,98
original_query,current_published,exact_top100,exit,7006126634,André Blais,6,6,115,96,121,99
original_query,current_published,exact_top100,exit,7102332636,Oliver James,6,6,115,96,122,100
original_query,current_published,exact_top100,exit,24554597700,Geoffrey P. R. Wallace,6,7,115,67,132,72
original_query,current_published,exact_top100,exit,55454468300,Tatishe M. Nteta,7,7,83,67,101,81
original_query,current_published,exact_top100,exit,55461249300,Craig M. Burnett,7,7,83,67,102,82
original_query,current_published,exact_top100,exit,55636964600,Long Doan,7,7,83,67,103,84
