authid,name,n_articles,n_us_articles,n_us_explicit,n_us_inferred,n_non_us,n_unclear,n_unreviewed,n_not_applicable,n_us_upper,n_reviewed,annotation_coverage,resolved_geography_coverage,n_geography_conflicts,n_mixed_country_us_articles,article_ids,scope,count_interpretation,us_competition_rank,us_display_position,all_competition_rank
12767146800,Douglas L. Kriner,21,19,8,11,2,0,0,0,19,21,1.0,1.0,0,0,105042603565|84870179613|84897075398|84907224950|84946070200|84978906427|84995578409|85014593137|85014649599|85014922403|85040085886|85041625323|85073310147|85094221120|85096943476|85099406266|85125698803|85127254828|85127581823|85136722514|85179678265,fixed_author_comparison_pool_120,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",1,1,2
6602110388,Thomas Bernauer,33,14,13,1,19,0,0,0,14,33,1.0,1.0,0,11,105006801172|105034645576|105037769935|105043534448|84878013138|84938946159|84975459634|84975789795|84992341283|85003864913|85016025310|85062085474|85064636420|85067680513|85082430134|85083863861|85103645348|85104056574|85104712462|85112464435|85120781136|85124196620|85124455446|85141374427|85159235309|85159334579|85159582567|85179742651|85182577401|85187132462|85202949339|85203879255|85206976729,fixed_author_comparison_pool_120,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",2,2,1
7102611306,Christine Horne,14,12,8,4,2,0,0,0,12,14,1.0,1.0,0,0,105042428497|84878482584|84921455919|85053509639|85058618008|85058698012|85074603977|85085764776|85103905289|85111820523|85111834004|85133863087|85207005517|86000296951,fixed_author_comparison_pool_120,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",3,3,4
23095594600,David G. Rand,13,12,10,2,0,0,0,1,12,13,1.0,1.0,0,1,105008878283|85101069099|85103049149|85117921915|85120323140|85120491400|85127735283|85130585909|85149118557|85163212575|85193970570|85205594046|85206618776,fixed_author_comparison_pool_120,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",3,4,7
57217457882,Gregory A. Huber,12,12,2,10,0,0,0,0,12,12,1.0,1.0,0,0,105007228428|105012258249|105013200123|85060580173|85062681263|85064539825|85097381620|85119018835|85120875984|85132896321|85183492832|85208657819,fixed_author_comparison_pool_120,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",3,5,12
12794521600,Toby Bolsen,12,11,5,6,1,0,0,0,11,12,1.0,1.0,0,0,84901037027|84943199945|85008246775|85044370343|85057148304|85062719018|85070298879|85130733510|85167408025|85209378959|85216215252|85217158927,fixed_author_comparison_pool_120,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",6,6,12
6603696960,James N. Druckman,11,11,3,8,0,0,0,0,11,11,1.0,1.0,0,0,84874501501|84943199945|84945162574|85012118612|85037698515|85044370343|85058068103|85059946018|85116875533|85160596820|85204418104,fixed_author_comparison_pool_120,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",6,7,19
16305967100,Robb Willer,11,11,6,5,0,0,0,0,11,11,1.0,1.0,0,0,105005029873|105029946035|105044369270|85052331497|85084324260|85091718485|85111979067|85120885789|85160596820|85176547661|85191915888,fixed_author_comparison_pool_120,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",6,8,19
54881904100,Nichole M. Bauer,12,10,3,7,0,2,0,0,12,12,1.0,0.833333,0,0,105005597308|105005626231|84957805398|85014540568|85043332442|85048742659|85067352245|85076027417|85076167276|85095117105|85101803291|85122780387,fixed_author_comparison_pool_120,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",9,9,12
35725744600,Sarah E. Kreps,11,10,6,4,1,0,0,0,10,11,1.0,1.0,0,1,105029190749|84995444937|84998915284|85042090180|85094221120|85125698803|85127254828|85127581823|85128583393|85165518545|85179678265,fixed_author_comparison_pool_120,"query-candidate articles with reviewed US sample evidence; unresolved upper counts are scenarios, not confidence intervals",9,10,19
