scopus_id,doi,year,journal,title,sample_us_label,evidence_field,evidence_quote,rationale,us_and_non_us_samples_reported,metadata_sha256,abstract_sha256,reviewer,reviewer_type,review_date,human_validated,annotation_version,article_url,credited_authids,credited_researchers,n_credited_researchers,metadata_sample_us_label,source_review,fulltext_filename,fulltext_page,fulltext_source_sha256
77955164049,10.1111/j.1741-3737.2010.00736.x,2010,Journal of Marriage and Family,Migration decisions within dual-earner partnerships: A test of bargaining theory,non_us,abstract,European couples,The experimental respondents are explicitly European couples.,false,6a39094d618e281d43326b7172018e48fe7253312a5a7384d09a80731c94326e,2e3fcdd211e29b9df742dfc248dbe9fb8206eb82989ebc05245d066301d98112,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1111/j.1741-3737.2010.00736.x,17345249500|7003772257,Martin Abraham; Thomas Hinz,2,non_us,metadata,,,
77956761607,10.1080/1533015X.2010.510025,2010,Applied Environmental Education and Communication,Feeling good and doing good for the environment: The use of emotional appeals in pro- environmental public service announcements,unclear,abstract,Using a survey experiment,Environmental appeals do not identify respondents' country.,false,2876446386b24260d48e737243a1e3e5c01a113701a554a3299d08910f0abee1,dc6206d476b8da029dcab0079f056e5c04b113c2c968888d4111754765f3c380,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1080/1533015X.2010.510025,57203655130,Kathleen Searles,1,unclear,metadata,,,
80051637855,10.1007/s11577-011-0136-3,2011,Kolner Zeitschrift Fur Soziologie Und Sozialpsychologie,Choice-experiments and the measurement of behavioral decisions in sociology,not_applicable,abstract,choice experiments are introduced in their main features,Methods exposition; no identifiable original experimental sample in the metadata.,false,b0643aa0ef1aa6c91cbda9956d3987a9b7fa5debcdfc66e78200ade819d8bb5b,4cd3ec0e597013883889b9973ce60d5ae543da2faa9fb709e6d8c5dfbcfe794e,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1007/s11577-011-0136-3,23982874600|17345075500,Ulf Liebe; Katrin Auspurg,2,not_applicable,metadata,,,
80052366764,10.1007/s11127-010-9655-0,2011,Public Choice,The limited effects of testimony on political persuasion,us_inferred,abstract,congressional or court testimony,Experiments address persuasion by congressional testimony in a US institutional context; participant country is inferred.,false,95bedd0477d6ff8886d88892a22e3b0e4829665c975559559d60a8f031b3f56b,b6fce239c6742ba98b0130430d806e05cc10806fc100f27c8aa23d2b68fd052d,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1007/s11127-010-9655-0,35759060800,Brendan Nyhan,1,us_inferred,metadata,,,
80054939891,10.1017/S1049096511001247,2011,PS Political Science and Politics,Are financial or moral scandals worse? It depends,unclear,abstract,an experiment embedded in a national survey,The country of the national survey is unspecified.,false,3ed0d23543c7ac42c33b7bcea0d090322e3260de7e544027e2299420d3d3a17d,3c92a3951cf40bd6182fb283a5604d70dca7f2794f1f1a40706809629784ddfb,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1017/S1049096511001247,35745930100,David Doherty,1,unclear,metadata,,,
84857236813,10.1016/j.electstud.2011.07.003,2012,Electoral Studies,Testing the power of arguments in referendums: A Bradley-Terry approach,non_us,abstract,"Ontario, Canada",The experiment was conducted during an Ontario referendum.,false,a54374050ed09e2fadfcb84ac50c941c64d15c2fa498ad1091e2a079699e6200,f472a477546f524cd9a1ee36c5dfa63e79092b399062e079695ac67ff8ddb06d,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1016/j.electstud.2011.07.003,15757402700,Peter John Loewen,1,non_us,metadata,,,
84861746768,10.1177/1043463112440684,2012,Rationality and Society,A simple mobility game for couples' migration decisions and some quasi-experimental evidence,non_us,full_text,A total of 303 Swiss and German couples,The original factorial survey recruited couples in Switzerland and Germany.,false,b759bbdcd4cbfbb238bf7c99afc7e18a7c9c4b6b8578139a84fbf538fc043d27,80dfe29e873a24462d29be3d33402b435ed3a7caccf16253f609d87a0db86b46,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1177/1043463112440684,17345249500,Martin Abraham,1,unclear,full_text,84861746768.pdf,13,62a743f59ef6de1470c8746191c5828667a41e393d9cbcc5e9675afdd63c5ea7
84868652825,10.1177/1532440012442912,2012,State Politics and Policy Quarterly,Familiar Choices: Reconsidering the Institutional Effects of the Direct Initiative,us_inferred,abstract,voters in initiative states,Initiative-state versus noninitiative-state voters and ballot-measure framing support a US electoral-context inference.,false,bc838a8d9bac2b7d025c76d9e74164647cffc4c3b09d760e046557748db19a8b,36b6aee9ebfcf119a7e1b62eaed49afa483189cc4b440d4f6b53d33c96337d36,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1177/1532440012442912,55461249300,Craig M. Burnett,1,us_inferred,metadata,,,
84870179613,10.1093/poq/nfs048,2012,Public Opinion Quarterly,How Citizens Respond to Combat Casualties,us_inferred,abstract,casualty from their home state,Home-state military casualties and Afghanistan war opinion support a US public-context inference.,false,4741a05da4ae2d90e205eaeba5da49b8e08f0c23f2e7016c46a88fc0b98d04d9,edf31958e4d9e8fff6364fdcfc27810bf972e635b657b0a4fb580e8460b7f977,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1093/poq/nfs048,12767146800,Douglas L. Kriner,1,us_inferred,metadata,,,
84871858111,10.1097/NMD.0b013e31827ab283,2013,Journal of Nervous and Mental Disease,Stigma and adolescents with psychosis in the middle east: Implications for engaging in mental health treatment,non_us,abstract,One hundred four Jordanians,Respondents are explicitly Jordanian.,false,01e20abdc7c25b48fcf2952a3f914fe4a33475f2ccd7712ece22d1ca8a8df1d0,4f5eae7eb1cc8fef1da6e2ead3fbb02b8caf5044954ed9a36c9fb010440f9662,Codex (GPT-6),AI_assisted,2026-09-09,false,top100_2010_metadata_v1,https://doi.org/10.1097/NMD.0b013e31827ab283,14832646600,Robin E. Gearing,1,non_us,metadata,,,
