position,score_rank,authid,name,n_articles,n_text_cue_articles,n_first,n_last,n_panel_cue_articles,panel_provider_cues,fractional_credit_on_counted_articles,tess_investigator_in_frozen_roster,article_ids,scopus_author_url,status
1,1,6602110388,Bernauer T.,33,4,7,26,0,,11.242857,false,84878013138|84938946159|84975459634|84975789795|84992341283|85003864913|85016025310|85062085474|85064636420|85067680513|85082430134|85083863861|85103645348|85104056574|85104712462|85112464435|85120781136|85124196620|85124455446|85141374427|85159235309|85159334579|85159582567|85179742651|85182577401|85187132462|85202949339|85203879255|85206976729|105006801172|105034645576|105037769935|105043534448,https://www.scopus.com/authid/detail.uri?authorId=6602110388,provisional_query_candidates
2,2,12767146800,Kriner D.L.,21,2,7,16,0,,10.666667,true,84870179613|84897075398|84907224950|84946070200|84978906427|84995578409|85014593137|85014649599|85014922403|85040085886|85041625323|85073310147|85094221120|85096943476|85099406266|85125698803|85127254828|85127581823|85136722514|85179678265|105042603565,https://www.scopus.com/authid/detail.uri?authorId=12767146800,provisional_query_candidates
3,3,57203170141,Petersen N.B.G.,15,5,7,12,0,,7.783333,false,85062262291|85067407501|85074029219|85076524004|85087880256|85091181242|85092586367|85110788543|85174613687|85186919352|85214572618|86000435450|105002152711|105024555682|105040241040,https://www.scopus.com/authid/detail.uri?authorId=57203170141,provisional_query_candidates
4,4,7102611306,Horne C.,14,13,9,5,0,,6.2,true,84878482584|84921455919|85053509639|85058618008|85058698012|85074603977|85085764776|85103905289|85111820523|85111834004|85133863087|85207005517|86000296951|105042428497,https://www.scopus.com/authid/detail.uri?authorId=7102611306,provisional_query_candidates
5,4,25224644900,Pedersen R.T.,14,3,13,4,0,,7.25,false,85034662474|85046645518|85061936887|85068002083|85070986430|85071235282|85083358513|85083672997|85110876599|85125441524|85196067903|85214572618|105019779764|105040241040,https://www.scopus.com/authid/detail.uri?authorId=25224644900,provisional_query_candidates
6,4,35309171200,Bækgaard M.,14,1,10,5,0,,5.610256,false,84931077293|84931440609|84940822479|84977676153|84980034387|85019021043|85059905845|85063679523|85067407501|85073946170|85103173621|85118144335|85175738454|105010591172,https://www.scopus.com/authid/detail.uri?authorId=35309171200,provisional_query_candidates
7,7,7003787305,Van Ryzin G.G.,13,1,4,11,0,,6.666667,false,84878955277|84884806119|84908554750|84918780367|84963994831|85014596724|85038355714|85067581830|85087950052|85089815116|85096111198|85104756695|85112316568,https://www.scopus.com/authid/detail.uri?authorId=7003787305,provisional_query_candidates
8,7,23095594600,Rand D.G.,13,5,0,13,1,Lucid,3.3,false,85101069099|85103049149|85117921915|85120323140|85120491400|85127735283|85130585909|85149118557|85163212575|85193970570|85205594046|85206618776|105008878283,https://www.scopus.com/authid/detail.uri?authorId=23095594600,provisional_query_candidates
9,7,24168107200,Horiuchi Y.,13,1,5,8,0,,5.083333,false,85039933179|85052643404|85055870318|85062479527|85067962902|85115188399|85123926675|85125415127|85136473193|85145327725|85145409036|105030588739|105042398599,https://www.scopus.com/authid/detail.uri?authorId=24168107200,provisional_query_candidates
10,7,36775562800,Robbins B.,13,1,12,7,3,Amazon Mechanical Turk,9.0,false,84944232504|84983314158|85033780100|85033788510|85044032298|85066959974|85089290541|85097264174|85126184203|85136531185|85197852159|85200831312|105008067194,https://www.scopus.com/authid/detail.uri?authorId=36775562800,provisional_query_candidates
11,7,37065230200,Wagner M.,13,1,2,11,0,,4.583333,false,84927910242|85041617753|85065801512|85092367680|85102185208|85170705867|85174062271|85175473443|85175495163|85193819898|105014927185|105018032059|105048098704,https://www.scopus.com/authid/detail.uri?authorId=37065230200,provisional_query_candidates
12,12,7006059165,Verkuyten M.,12,2,9,4,0,,4.666667,false,84878661854|84894591630|84922551432|84943817918|84989282236|85041371053|85073950357|85075548198|85131358788|85133968124|85140277195|85140278720,https://www.scopus.com/authid/detail.uri?authorId=7006059165,provisional_query_candidates
