selection_order,scopus_id,doi,title,credited_researchers,status,sample_us_label,source_url,rationale,suggested_filename
1,84895906473,10.1002/oby.20570,Effects of messages from a media campaign to increase public awareness of childhood obesity,Niederdeppe J.; Barry C.L.,reviewed_public_pdf,us_explicit,https://www.fichier-pdf.fr/2018/01/08/oby20570/oby20570.pdf,The paper explicitly states that this experiment used a representative US population sample; methods describe recruitment from residential addresses covering US households.,84895906473.pdf
2,84918780367,10.1080/14719037.2013.798027,Benchmarks and Citizen Judgments of Local Government Performance: Findings from a survey experiment,Gregg G. Van Ryzin,awaiting_alternative_copy,unclear,https://doi.org/10.1080/14719037.2013.798027,"The user cannot obtain Taylor & Francis papers. Exact-title and author-page searches found no usable public copy. Await an accepted manuscript or another lawful copy; the DOI is retained for identification, not a request to retry the publisher download.",84918780367.pdf
3,85062719018,10.1177/1075547019834565,Counteracting Climate Science Politicization With Effective Frames and Imagery,Toby Bolsen; Kingsland J.T.,reviewed_public_pdf,us_inferred,https://scholarworks.gsu.edu/server/api/core/bitstreams/2f660e16-0ffd-4a22-be61-ae335e672d4f/content,The experiment measures respondents' own willingness to pay additional yearly taxes for US government climate preparations and benchmarks the sample's Democratic/Republican identification. This supports an inferred US taxpayer/public sample; respondent residence is not explicitly specified and MTurk is not treated as geographic proof.,85062719018.pdf
4,85124121558,10.1093/isq/sqab032,Validating Threat: IO Approval and Public Support for Joining Military Counterterrorism Coalitions,Jonathan A. Chu,reviewed_public_pdf,us_explicit,https://pdfs.semanticscholar.org/5b54/5c384fbe478ae363859f3eb46c1426d35abf.pdf,"The research-design section identifies three experimental samples: United States (1226), Great Britain (1697), and Germany (1129). At least one experimental sample is explicitly US based.",85124121558.pdf
5,85125280963,10.1086/716294,Do Belief Systems Exhibit Dynamic Constraint?,Alexander Coppock,reviewed_public_pdf,us_inferred,https://alexandercoppock.com/coppock_green_2022.pdf,"Study 1 includes an experimental elite sample constructed from mailing lists of Capitol Hill staffers and other professionals. This US legislative recruitment context supports US inference; residence is not stated explicitly, and MTurk or Lucid alone do not establish geography. Classification harmonized to US_inferred for consistency with other institutional-context reviews.",85125280963.pdf
6,105008067194,10.1177/01902725251331032,"Affect, Efficacy, and Protest Intentions: Testing a Multilevel, Dual-Pathway Model of Collective Action",Blaine G. Robbins,needs_manual_download,unclear,https://digitalcommons.chapman.edu/sociology_articles/129/,"Chapman University advertises an accepted manuscript, but its download returned HTTP 403. The author site did not supply another copy. A browser or institutional route may succeed; this is not proof of a paywall.",105008067194.pdf
7,105046220290,10.1177/1532673x261470402,Partisanship and Voting Rule Trade-offs,David Doherty,reviewed_public_pdf,us_inferred,https://www.dropbox.com/scl/fi/ro6qlkaljjy3ryo1cp6ri/26-APR.pdf?dl=1&rlkey=a1s3bvpjp9a555oyyrd4jovry,The experiments ask respondents to choose rules for a US town election with Democratic and Republican endorsements. In the surrounding account of American voting attitudes this supports a US participant inference; Verasight alone is not used as geographic evidence. This is an author-linked manuscript of the matching article.,105046220290.pdf
8,105006979320,10.1177/13591053251338341,"Managing per- and polyfluoroalkyl substances (PFAS) risk amid uncertainty: Personal relevance, conflicting information, and communication behaviors",Yang J.,needs_manual_download,unclear,https://doi.org/10.1177/13591053251338341,"Publisher, PubMed, and university record searches exposed the abstract or access page but no usable public full text. Sample country remains unresolved; author affiliations were not used.",105006979320.pdf
9,85041603336,10.1177/1065912917729037,Civic Duty and Political Preference Formation,Kevin J. Mullinix,reviewed_public_pdf,us_explicit,https://faculty.wcas.northwestern.edu/jnd260/pub/Mullinix2018_CivicDuty.pdf,The Samples and Stimuli section expressly describes the experimental SSI sample as representative of the US adult population; analyses cover 1122 partisans.,85041603336.pdf
10,85033714347,10.1177/1065912917719501,Economic inequality and public support for organized labor,John V. Kane,reviewed_public_pdf,us_inferred,https://cooperative-individualism.org/newman-benjamin_economic-inequality-and-public-support-for-labor-2017-dec.pdf,"The Survey Experiment section describes randomized US-city news stories and an outcome about expanding US labor-union influence, within an investigation of Americans' responses to inequality. This supports an inferred US experimental sample; the MTurk platform alone does not establish residence.",85033714347.pdf
