authid,name,n_articles_2016,n_us_articles_2016,n_unclear_articles_2016,n_articles_2010,n_us_articles_2010,n_unclear_articles_2010,added_articles_2010_2015,added_us_articles_2010_2015
6602110388,Bernauer T.,31,12,0,33,14,0,2,2
12767146800,Kriner D.L.,17,15,0,21,19,0,4,4
57203170141,Petersen N.B.G.,15,0,1,15,0,1,0,0
7102611306,Horne C.,12,11,0,14,12,0,2,1
25224644900,Pedersen R.T.,14,1,5,14,1,5,0,0
35309171200,Bækgaard M.,12,1,0,14,1,0,2,0
7003787305,Van Ryzin G.G.,9,4,3,13,6,5,4,2
23095594600,Rand D.G.,13,10,2,13,10,2,0,0
24168107200,Horiuchi Y.,13,7,0,13,7,0,0,0
36775562800,Robbins B.,13,5,8,13,5,8,0,0
37065230200,Wagner M.,12,0,1,13,0,1,1,0
7006059165,Verkuyten M.,8,0,0,12,0,3,4,0
12794521600,Bolsen T.,9,7,1,12,10,1,3,3
23010864600,Whitt S.,12,2,0,12,2,0,0,0
54881904100,Bauer N.,11,8,3,12,8,4,1,0
55091186500,Ono Y.,12,0,2,12,0,2,0,0
56734108300,Pedersen M.J.,11,3,2,12,3,3,1,0
57217457882,Huber G.A.,12,9,3,12,9,3,0,0
6603696960,Druckman J.,9,8,1,11,10,1,2,2
7202316609,Prakash A.,11,8,0,11,8,0,0,0
14034772300,Reifler J.,9,6,1,11,7,1,2,1
14832646600,Gearing R.E.,9,5,0,11,5,0,2,0
16305967100,Willer R.,11,10,1,11,10,1,0,0
35725744600,Kreps S.,10,9,0,11,10,0,1,1
35745930100,Doherty D.,8,4,4,11,6,5,3,2
35861891200,Winters M.S.,9,1,0,11,1,0,2,0
57190806413,Rudolph L.,11,1,0,11,1,0,0,0
57203528227,Chu J.A.,11,6,4,11,6,4,0,0
35759060800,Nyhan B.,7,4,1,10,7,1,3,3
36159270600,Yamamoto T.,8,3,3,10,3,4,2,0
37063497400,Mullinix K.J.,9,7,2,10,8,2,1,1
38061940400,Pickett J.T.,10,6,3,10,6,3,0,0
57205672554,Tanaka S.,10,2,0,10,2,0,0,0
17345249500,Abraham M.,6,0,0,9,0,1,3,0
23982874600,Liebe U.,7,0,1,9,0,2,2,0
24474160700,Calfano B.,8,8,0,9,8,1,1,0
35183713000,Pérez E.,8,6,0,9,7,0,1,1
35492113000,Zeitzoff T.,9,1,1,9,1,1,0,0
55603014300,Heinrich T.,9,8,1,9,8,1,0,0
55612017400,Peterson E.,9,6,3,9,6,3,0,0
55746145800,Baert S.,8,1,0,9,1,1,1,0
56448439600,Aytaç S.E.,9,2,0,9,2,0,0,0
56556884300,Brutger R.,9,8,1,9,8,1,0,0
56611317200,Kane J.V.,9,6,2,9,6,2,0,0
57189074265,Mazepus H.,9,1,0,9,1,0,0,0
57191360465,Zhang J.,9,0,2,9,0,2,0,0
15757402700,Loewen P.J.,7,1,1,8,1,1,1,0
17345075500,Auspurg K.,5,0,1,8,0,1,3,0
24339564700,Steinberg D.A.,8,4,0,8,4,0,0,0
36676605900,Spilker G.,8,3,1,8,3,1,0,0
49861923700,Schachter A.,8,8,0,8,8,0,0,0
50861069700,Arnesen S.,8,0,2,8,0,2,0,0
55672957800,Smetana M.,8,4,0,8,4,0,0,0
